Air temperature,Process temperature,Rotational speed,Torque,Tool wear,class
298.1,,1551.0,42.8,0.0,False
,,1408.0,46.3,,False
298.1,308.5,1498.0,49.4,5.0,False
298.2,,1433.0,39.5,,False
298.2,,,40.0,9.0,False
298.1,,1425.0,,11.0,False
298.1,308.6,,42.4,14.0,False
298.1,308.6,1527.0,40.2,16.0,False
298.3,308.7,1667.0,28.6,18.0,False
298.5,309.0,1741.0,28.0,,False
298.4,,1782.0,23.9,24.0,True
298.6,309.1,1423.0,44.3,29.0,True
298.6,,1339.0,51.1,34.0,False
298.6,309.2,1742.0,,,False
298.6,,2035.0,19.6,40.0,False
298.6,309.2,,48.4,42.0,False
298.6,309.2,,46.6,44.0,False
298.7,309.2,,45.6,,False
298.8,,1306.0,54.5,50.0,True
298.9,309.3,1632.0,,55.0,False
298.9,309.3,1375.0,42.7,58.0,True
298.8,309.3,,44.8,63.0,False
298.9,,1581.0,30.7,,False
,309.4,,,68.0,False
299.0,309.4,1561.0,37.3,70.0,False
299.0,309.5,1861.0,23.3,73.0,False
299.1,309.5,1512.0,,,False
299.1,309.4,1811.0,24.6,77.0,True
299.1,309.4,,44.2,82.0,False
299.0,309.4,,30.1,84.0,False
,309.5,1339.0,,,False
299.0,309.4,,25.5,89.0,False
299.0,309.4,1419.0,48.3,91.0,False
298.9,309.3,1665.0,32.5,,False
298.8,,,,,False
298.8,309.2,,,,False
298.9,,1581.0,36.7,,False
298.8,309.1,1439.0,39.2,,False
298.9,309.2,1379.0,50.7,106.0,True
298.8,309.1,1350.0,52.5,111.0,False
298.8,309.1,1362.0,45.4,113.0,False
298.8,309.1,,50.8,115.0,False
,309.1,1368.0,49.1,117.0,False
,,1372.0,48.5,,True
,309.1,,,125.0,False
298.8,309.1,1489.0,49.1,128.0,False
298.7,309.0,1843.0,25.8,,False
298.8,309.1,1418.0,46.3,133.0,False
,309.2,1425.0,,135.0,True
298.9,309.2,,,140.0,False
298.9,309.1,2861.0,4.6,143.0,False
298.9,,,54.9,,False
298.8,309.0,1497.0,43.8,147.0,True
,309.0,,35.1,152.0,False
,309.0,1691.0,30.1,154.0,False
298.8,309.1,,40.7,,False
298.8,309.1,1477.0,42.4,158.0,False
,309.1,1513.0,40.3,160.0,False
298.8,309.0,,29.5,162.0,False
298.8,309.1,1378.0,,165.0,False
298.8,309.1,1393.0,,167.0,False
298.8,309.0,1592.0,38.2,169.0,False
298.8,309.0,1829.0,22.9,172.0,False
,309.0,1812.0,25.9,174.0,False
299.0,309.1,,38.6,177.0,False
299.0,309.1,1394.0,45.1,,False
298.9,,1679.0,28.7,,False
298.8,308.9,1466.0,44.1,184.0,True
298.8,308.9,1527.0,32.4,189.0,False
298.9,309.0,1410.0,65.7,,False
298.9,309.0,1924.0,,193.0,False
298.9,309.1,1452.0,45.5,,False
,309.1,,44.4,,False
299.0,309.1,1592.0,35.0,200.0,False
298.9,309.0,1601.0,32.3,202.0,False
298.8,,1379.0,46.7,,False
298.8,308.9,1461.0,47.9,206.0,False
298.8,308.9,1455.0,41.3,208.0,False
298.8,308.9,,51.5,,False
298.8,,1402.0,37.9,2.0,False
,308.8,1445.0,49.9,4.0,True
298.9,308.9,,,9.0,False
298.9,308.9,1453.0,40.8,,False
299.0,309.0,,40.1,13.0,False
298.9,308.9,1422.0,47.6,,False
299.0,309.0,1804.0,26.8,17.0,False
299.0,309.0,1436.0,43.9,,True
299.0,309.0,1544.0,31.8,,False
299.0,,1419.0,45.2,,False
298.9,308.9,1487.0,39.5,30.0,False
298.9,308.9,1753.0,,33.0,False
,,,24.9,35.0,False
298.9,308.9,1727.0,27.1,37.0,False
299.1,,1450.0,43.0,40.0,False
299.0,308.9,1622.0,31.9,42.0,False
299.0,309.0,1351.0,52.2,44.0,False
299.0,309.0,,35.3,47.0,False
298.9,308.9,1750.0,29.9,50.0,False
298.9,,1529.0,32.7,53.0,False
298.8,308.8,1523.0,44.4,55.0,False
,308.9,,25.0,,False
,308.8,1991.0,20.7,59.0,False
,308.8,1555.0,,61.0,False
298.8,308.8,1441.0,40.5,63.0,False
298.8,308.7,1450.0,43.4,66.0,False
298.8,308.7,1591.0,31.1,,False
,308.7,1445.0,48.5,70.0,False
298.8,308.8,1497.0,46.8,72.0,False
298.9,308.8,1621.0,32.7,,True
,308.7,,34.1,80.0,False
298.8,,1872.0,22.5,82.0,False
298.7,308.6,1499.0,,84.0,True
298.8,,1498.0,39.5,89.0,False
298.8,308.6,1486.0,41.9,,False
298.8,308.6,1680.0,,95.0,False
298.8,308.6,1431.0,45.7,97.0,False
298.9,308.7,1564.0,34.1,99.0,False
298.8,,1599.0,33.0,101.0,False
298.8,308.6,1707.0,28.1,103.0,False
298.7,,1467.0,40.7,106.0,False
298.9,308.7,1433.0,,108.0,False
298.9,308.7,,41.2,110.0,False
299.0,308.8,1310.0,50.7,112.0,False
,308.7,1546.0,43.4,114.0,False
298.9,308.7,1727.0,29.4,116.0,False
298.9,308.6,1560.0,32.2,118.0,False
299.0,308.6,1329.0,60.5,120.0,False
298.9,308.6,,46.5,122.0,False
,308.6,1587.0,38.6,124.0,False
298.9,,,34.3,,False
298.8,308.4,,41.1,128.0,False
298.8,,1737.0,27.7,130.0,False
298.7,308.4,1441.0,43.2,132.0,False
298.7,,1430.0,,135.0,False
298.8,308.4,1369.0,53.0,138.0,False
298.8,,1711.0,,140.0,False
298.7,308.5,1420.0,45.7,143.0,True
298.7,308.6,1297.0,55.3,148.0,False
298.8,308.6,1449.0,49.4,150.0,True
298.8,308.6,1268.0,,,False
298.8,308.6,1511.0,,157.0,False
,,,35.2,,False
,308.4,1778.0,28.2,161.0,False
298.6,308.4,1407.0,50.5,164.0,True
298.6,308.4,1391.0,42.4,,False
298.5,308.4,,33.6,172.0,False
298.5,308.4,1612.0,36.1,174.0,True
298.4,308.4,1515.0,,179.0,False
,,1379.0,48.0,181.0,False
298.4,308.3,1473.0,39.9,184.0,False
,308.3,1422.0,42.7,,False
298.4,308.2,1463.0,37.6,188.0,False
,308.2,1584.0,41.0,,False
298.4,,1850.0,27.0,194.0,False
298.4,308.2,1528.0,36.2,196.0,False
298.4,,1987.0,19.8,198.0,True
298.4,308.1,1495.0,46.0,,False
298.4,308.2,1478.0,43.5,,True
298.4,308.2,1499.0,40.0,211.0,False
298.4,308.2,1471.0,47.0,214.0,False
,308.2,1282.0,60.7,216.0,False
298.3,308.1,,,,False
298.3,308.1,1586.0,35.5,0.0,False
298.4,308.2,1468.0,43.8,2.0,False
,308.3,1440.0,43.6,5.0,False
,308.4,1733.0,26.0,,False
298.4,308.2,1612.0,32.6,,True
,308.3,,42.9,15.0,True
298.4,308.3,1433.0,62.3,20.0,False
298.4,308.3,,59.1,22.0,False
298.4,308.2,1610.0,35.0,24.0,False
298.2,308.1,1462.0,50.8,27.0,False
298.1,308.0,1924.0,,29.0,False
,308.0,,33.7,32.0,False
298.2,,1306.0,58.3,35.0,False
,,1382.0,43.5,37.0,False
298.2,308.1,1618.0,,39.0,False
298.2,308.2,,21.4,,False
298.2,,1436.0,,,False
298.2,308.3,1304.0,49.8,45.0,False
298.2,,1475.0,49.9,47.0,False
298.2,308.3,1824.0,24.2,,True
298.1,308.2,1342.0,48.1,,False
298.1,308.2,1485.0,40.7,57.0,False
,308.2,1667.0,,59.0,False
298.2,308.2,1446.0,38.2,61.0,False
298.1,308.3,1301.0,56.0,63.0,False
298.2,308.4,1379.0,43.1,65.0,False
298.3,308.5,1606.0,33.6,,False
298.3,308.4,1539.0,43.4,69.0,False
298.2,308.4,1477.0,,72.0,False
298.2,308.4,1666.0,,,False
,308.4,1398.0,51.8,76.0,True
298.2,,,34.6,81.0,True
298.2,308.5,2678.0,,,False
298.3,,1453.0,42.9,89.0,False
298.3,308.6,1432.0,49.5,,True
298.4,308.6,1527.0,40.9,96.0,False
298.4,308.7,,35.0,99.0,False
298.4,,,47.1,101.0,False
298.4,308.6,,35.0,103.0,False
298.3,,,41.2,105.0,False
298.4,,1636.0,35.7,,False
298.4,308.5,1490.0,37.9,110.0,False
298.4,308.5,1741.0,32.8,112.0,False
,308.6,1344.0,,114.0,False
298.5,308.7,1609.0,35.3,117.0,False
298.4,,1421.0,,119.0,False
298.4,308.6,1591.0,36.7,122.0,False
,,,44.0,,False
298.4,308.7,1523.0,36.1,126.0,False
298.5,308.7,1575.0,33.9,128.0,False
298.4,308.7,1344.0,,,True
,308.7,1386.0,44.9,135.0,False
298.3,,1589.0,37.1,137.0,False
298.3,308.6,,,140.0,False
,308.6,,38.3,,False
298.3,308.5,,31.6,,False
298.3,308.6,1447.0,38.1,146.0,False
298.3,308.5,1434.0,46.2,148.0,False
298.3,308.5,1416.0,52.7,151.0,False
298.4,308.5,,24.3,153.0,True
298.4,308.6,1304.0,45.0,158.0,False
