Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,class
3.89,,4.18,0.6,,2.5,0.2,0.5,6.68,,0.2,1.0,3.38,0.2,0.676,2,0.2,,0,0.2,0.0,2.4,8.574,0.4,0.5,1.7148,1
3.89,,0.0,0.2,,4.83,0.2,0.966,4.83,,0.2,,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0.0,,2.554,0.4,,0.5108,0
3.89,6,0.51,0.2,,0.23,0.2,0.046,0.74,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.548,0.4,0.5,,0
3.89,6,0.0,0.2,,10.8,,6.48,10.8,6.0,,3.6,11.75,,,,0.2,,0,0.2,0.0,4.4,17.53,0.4,0.5,3.506,1
3.89,6,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,,0,0.2,0.0,,,0.4,0.5,0.2832,0
,,0.0,,0.0,,0.2,0.166,0.83,5.0,0.2,1.0,2.95,0.2,,2,,0.4,0,,0.0,2.0,2.156,0.4,,,0
3.89,7,1.1,,0.44,7.41,0.4,2.964,8.51,5.0,0.2,1.0,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0.0,3.2,31.774,0.4,0.5,6.3548,1
,8,8.5,0.6,,12.03,0.6,7.218,20.53,5.5,0.4,2.2,7.79,0.4,3.116,2,0.2,0.4,,0.2,0.0,4.2,18.034,0.4,0.5,3.6068,1
3.89,8,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,,2,0.2,0.4,,,0.0,4.2,17.206,0.4,0.5,,1
3.89,8,3.98,,2.388,0.99,0.2,0.198,4.97,5.0,,1.0,1.93,0.2,,2,0.2,0.4,0,0.2,0.0,2.4,,,0.5,,0
3.89,8,,0.6,3.258,10.77,0.6,6.462,,5.0,0.2,1.0,,0.2,0.884,2,0.2,,0,0.2,0.0,3.6,,0.4,0.5,2.4008,1
3.89,8,15.38,,9.228,,0.6,24.084,55.52,,0.2,1.0,0.96,0.2,0.192,2,0.4,0.8,1,0.4,,4.0,35.704,1.2,0.5,21.4224,1
3.89,,5.47,0.6,,7.63,0.4,3.052,13.1,5.0,0.2,1.0,10.43,,6.258,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,0.5,5.7568,1
3.89,8,1.09,0.4,,,0.2,0.07,1.44,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,,,,2.2,1.906,0.4,0.5,0.3812,0
3.89,8,0.0,0.2,0.0,0.84,,0.168,0.84,5.0,0.2,1.0,0.007,0.2,,,,0.4,,0.2,0.0,,1.5694,0.4,,0.31388,0
3.89,13,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5.0,0.2,,9.0,0.4,3.6,2,0.2,0.4,,0.2,,3.0,9.384,,0.5,,1
