Dataset,method,Experiment,RMSE
11_iris,datawig,1,0.5866 ± 0.0000
11_iris,datawig,2,0.5261 ± 0.0605
11_iris,datawig,3,0.5648 ± 0.0737
11_iris,datawig,4,0.5731 ± 0.0654
11_iris,datawig,5,0.5901 ± 0.0677
11_iris,datawig,6,0.5785 ± 0.0670
11_iris,datawig,7,0.5663 ± 0.0689
11_iris,datawig,8,0.5515 ± 0.0753
11_iris,datawig,9,0.5460 ± 0.0727
11_iris,datawig,10,0.5408 ± 0.0707
11_iris,datawig,11,0.5393 ± 0.0676
11_iris,datawig,12,0.5189 ± 0.0937
11_iris,datawig,13,0.5308 ± 0.0990
11_iris,datawig,14,0.5294 ± 0.0955
11_iris,datawig,15,0.5401 ± 0.1005
11_iris,datawig,16,0.5344 ± 0.0998
11_iris,datawig,17,0.5307 ± 0.0979
11_iris,datawig,18,0.5243 ± 0.0988
11_iris,datawig,19,0.5226 ± 0.0964
11_iris,datawig,20,0.5163 ± 0.0979
11_iris,datawig,21,0.5204 ± 0.0973
11_iris,datawig,22,0.5206 ± 0.0950
11_iris,datawig,23,0.5243 ± 0.0945
11_iris,datawig,24,0.5243 ± 0.0926
11_iris,datawig,25,0.5316 ± 0.0975
11_iris,datawig,26,0.5351 ± 0.0971
11_iris,datawig,27,0.5357 ± 0.0954
11_iris,datawig,28,0.5388 ± 0.0950
11_iris,datawig,29,0.5323 ± 0.0995
11_iris,datawig,30,0.5352 ± 0.0991
11_iris,multi,1,0.6831 ± 0.0000
11_iris,multi,2,0.6707 ± 0.0124
11_iris,multi,3,0.6666 ± 0.0117
11_iris,multi,4,0.6443 ± 0.0399
11_iris,multi,5,0.6187 ± 0.0624
11_iris,multi,6,0.6410 ± 0.0758
11_iris,multi,7,0.6631 ± 0.0886
11_iris,multi,8,0.6593 ± 0.0835
11_iris,multi,9,0.6502 ± 0.0828
11_iris,multi,10,0.6484 ± 0.0788
11_iris,multi,11,0.6516 ± 0.0758
11_iris,multi,12,0.6500 ± 0.0727
11_iris,multi,13,0.6506 ± 0.0699
11_iris,multi,14,0.6454 ± 0.0700
11_iris,multi,15,0.6427 ± 0.0683
11_iris,multi,16,0.6453 ± 0.0669
11_iris,multi,17,0.6395 ± 0.0688
11_iris,multi,18,0.6406 ± 0.0670
11_iris,multi,19,0.6428 ± 0.0659
11_iris,multi,20,0.6436 ± 0.0643
11_iris,multi,21,0.6488 ± 0.0670
11_iris,multi,22,0.6503 ± 0.0658
11_iris,multi,23,0.6431 ± 0.0728
11_iris,multi,24,0.6447 ± 0.0718
11_iris,multi,25,0.6409 ± 0.0728
11_iris,multi,26,0.6361 ± 0.0753
11_iris,multi,27,0.6339 ± 0.0747
11_iris,multi,28,0.6338 ± 0.0734
11_iris,multi,29,0.6372 ± 0.0742
11_iris,multi,30,0.6403 ± 0.0749
11_iris,knn,1,0.9642 ± 0.0000
11_iris,knn,2,0.8566 ± 0.1076
11_iris,knn,3,0.8114 ± 0.1087
11_iris,knn,4,0.7447 ± 0.1489
11_iris,knn,5,0.7847 ± 0.1553
11_iris,knn,6,0.7629 ± 0.1499
11_iris,knn,7,0.7218 ± 0.1715
11_iris,knn,8,0.6946 ± 0.1758
11_iris,knn,9,0.6995 ± 0.1663
11_iris,knn,10,0.7045 ± 0.1585
11_iris,knn,11,0.7003 ± 0.1517
11_iris,knn,12,0.6808 ± 0.1590
11_iris,knn,13,0.6804 ± 0.1527
11_iris,knn,14,0.6628 ± 0.1603
11_iris,knn,15,0.6905 ± 0.1863
11_iris,knn,16,0.6798 ± 0.1851
11_iris,knn,17,0.6701 ± 0.1837
11_iris,knn,18,0.6556 ± 0.1883
11_iris,knn,19,0.6635 ± 0.1862
11_iris,knn,20,0.6599 ± 0.1822
11_iris,knn,21,0.6547 ± 0.1793
11_iris,knn,22,0.6630 ± 0.1792
11_iris,knn,23,0.6725 ± 0.1808
11_iris,knn,24,0.6815 ± 0.1822
11_iris,knn,25,0.6828 ± 0.1786
11_iris,knn,26,0.6754 ± 0.1790
11_iris,knn,27,0.6761 ± 0.1757
11_iris,knn,28,0.6820 ± 0.1752
11_iris,knn,29,0.6688 ± 0.1859
11_iris,knn,30,0.6710 ± 0.1832
