Dataset,method,Experiment,RMSE
15_magic,datawig,1,0.1516 ± 0.0000
15_magic,datawig,2,0.1493 ± 0.0023
15_magic,datawig,3,0.1481 ± 0.0025
15_magic,datawig,4,0.1470 ± 0.0029
15_magic,datawig,5,0.1469 ± 0.0026
15_magic,datawig,6,0.1473 ± 0.0026
15_magic,datawig,7,0.1476 ± 0.0025
15_magic,datawig,8,0.1480 ± 0.0025
15_magic,datawig,9,0.1477 ± 0.0025
15_magic,datawig,10,0.1478 ± 0.0025
15_magic,datawig,11,0.1478 ± 0.0024
15_magic,datawig,12,0.1475 ± 0.0024
15_magic,datawig,13,0.1473 ± 0.0024
15_magic,datawig,14,0.1476 ± 0.0026
15_magic,datawig,15,0.1476 ± 0.0025
15_magic,datawig,16,0.1473 ± 0.0026
15_magic,datawig,17,0.1473 ± 0.0025
15_magic,datawig,18,0.1471 ± 0.0025
15_magic,datawig,19,0.1471 ± 0.0025
15_magic,datawig,20,0.1472 ± 0.0025
15_magic,datawig,21,0.1471 ± 0.0025
15_magic,datawig,22,0.1470 ± 0.0025
15_magic,datawig,23,0.1473 ± 0.0029
15_magic,datawig,24,0.1472 ± 0.0028
15_magic,datawig,25,0.1470 ± 0.0029
15_magic,datawig,26,0.1469 ± 0.0029
15_magic,datawig,27,0.1470 ± 0.0028
15_magic,datawig,28,0.1471 ± 0.0028
15_magic,datawig,29,0.1469 ± 0.0028
15_magic,datawig,30,0.1469 ± 0.0028
15_magic,multi,1,0.6681 ± 0.0000
15_magic,multi,2,0.6644 ± 0.0038
15_magic,multi,3,0.6626 ± 0.0040
15_magic,multi,4,0.6619 ± 0.0036
15_magic,multi,5,0.6609 ± 0.0038
15_magic,multi,6,0.6599 ± 0.0041
15_magic,multi,7,0.6596 ± 0.0039
15_magic,multi,8,0.6597 ± 0.0036
15_magic,multi,9,0.6605 ± 0.0041
15_magic,multi,10,0.6613 ± 0.0046
15_magic,multi,11,0.6619 ± 0.0048
15_magic,multi,12,0.6624 ± 0.0048
15_magic,multi,13,0.6620 ± 0.0048
15_magic,multi,14,0.6628 ± 0.0054
15_magic,multi,15,0.6625 ± 0.0054
15_magic,multi,16,0.6626 ± 0.0052
15_magic,multi,17,0.6625 ± 0.0051
15_magic,multi,18,0.6626 ± 0.0050
15_magic,multi,19,0.6627 ± 0.0049
15_magic,multi,20,0.6623 ± 0.0051
15_magic,multi,21,0.6622 ± 0.0050
15_magic,multi,22,0.6623 ± 0.0049
15_magic,multi,23,0.6624 ± 0.0048
15_magic,multi,24,0.6624 ± 0.0047
15_magic,multi,25,0.6624 ± 0.0046
15_magic,multi,26,0.6625 ± 0.0045
15_magic,multi,27,0.6627 ± 0.0046
15_magic,multi,28,0.6623 ± 0.0049
15_magic,multi,29,0.6622 ± 0.0049
15_magic,multi,30,0.6624 ± 0.0049
15_magic,knn,1,0.1727 ± 0.0000
15_magic,knn,2,0.1718 ± 0.0010
15_magic,knn,3,0.1695 ± 0.0033
15_magic,knn,4,0.1692 ± 0.0029
15_magic,knn,5,0.1689 ± 0.0026
15_magic,knn,6,0.1702 ± 0.0037
15_magic,knn,7,0.1703 ± 0.0034
15_magic,knn,8,0.1707 ± 0.0033
15_magic,knn,9,0.1701 ± 0.0035
15_magic,knn,10,0.1703 ± 0.0034
15_magic,knn,11,0.1701 ± 0.0033
15_magic,knn,12,0.1693 ± 0.0041
15_magic,knn,13,0.1693 ± 0.0039
15_magic,knn,14,0.1692 ± 0.0038
15_magic,knn,15,0.1690 ± 0.0038
15_magic,knn,16,0.1689 ± 0.0037
15_magic,knn,17,0.1689 ± 0.0036
15_magic,knn,18,0.1686 ± 0.0036
15_magic,knn,19,0.1686 ± 0.0035
15_magic,knn,20,0.1686 ± 0.0034
15_magic,knn,21,0.1686 ± 0.0034
15_magic,knn,22,0.1682 ± 0.0038
15_magic,knn,23,0.1686 ± 0.0042
15_magic,knn,24,0.1686 ± 0.0041
15_magic,knn,25,0.1682 ± 0.0044
15_magic,knn,26,0.1680 ± 0.0045
15_magic,knn,27,0.1681 ± 0.0044
15_magic,knn,28,0.1683 ± 0.0045
15_magic,knn,29,0.1684 ± 0.0045
15_magic,knn,30,0.1684 ± 0.0044
