Dataset,method,Experiment,RMSE
17_bank,datawig,1,0.2628 ± 0.0000
17_bank,datawig,2,0.2633 ± 0.0005
17_bank,datawig,3,0.2664 ± 0.0044
17_bank,datawig,4,0.2662 ± 0.0039
17_bank,datawig,5,0.2638 ± 0.0058
17_bank,datawig,6,0.2629 ± 0.0057
17_bank,datawig,7,0.2630 ± 0.0053
17_bank,datawig,8,0.2621 ± 0.0055
17_bank,datawig,9,0.2618 ± 0.0052
17_bank,datawig,10,0.2615 ± 0.0050
17_bank,datawig,11,0.2616 ± 0.0048
17_bank,datawig,12,0.2624 ± 0.0053
17_bank,datawig,13,0.2628 ± 0.0053
17_bank,datawig,14,0.2629 ± 0.0051
17_bank,datawig,15,0.2627 ± 0.0050
17_bank,datawig,16,0.2625 ± 0.0048
17_bank,datawig,17,0.2623 ± 0.0048
17_bank,datawig,18,0.2617 ± 0.0053
17_bank,datawig,19,0.2611 ± 0.0056
17_bank,datawig,20,0.2610 ± 0.0055
17_bank,datawig,21,0.2608 ± 0.0055
17_bank,datawig,22,0.2607 ± 0.0054
17_bank,datawig,23,0.2608 ± 0.0053
17_bank,datawig,24,0.2609 ± 0.0052
17_bank,datawig,25,0.2610 ± 0.0051
17_bank,datawig,26,0.2610 ± 0.0050
17_bank,datawig,27,0.2609 ± 0.0050
17_bank,datawig,28,0.2610 ± 0.0049
17_bank,datawig,29,0.2611 ± 0.0048
17_bank,datawig,30,0.2614 ± 0.0052
17_bank,multi,1,0.3989 ± 0.0000
17_bank,multi,2,0.3940 ± 0.0049
17_bank,multi,3,0.3860 ± 0.0119
17_bank,multi,4,0.3806 ± 0.0140
17_bank,multi,5,0.3770 ± 0.0145
17_bank,multi,6,0.3773 ± 0.0132
17_bank,multi,7,0.3790 ± 0.0129
17_bank,multi,8,0.3786 ± 0.0121
17_bank,multi,9,0.3810 ± 0.0133
17_bank,multi,10,0.3836 ± 0.0148
17_bank,multi,11,0.3847 ± 0.0145
17_bank,multi,12,0.3833 ± 0.0146
17_bank,multi,13,0.3846 ± 0.0147
17_bank,multi,14,0.3835 ± 0.0148
17_bank,multi,15,0.3844 ± 0.0147
17_bank,multi,16,0.3851 ± 0.0144
17_bank,multi,17,0.3860 ± 0.0145
17_bank,multi,18,0.3854 ± 0.0142
17_bank,multi,19,0.3856 ± 0.0139
17_bank,multi,20,0.3851 ± 0.0137
17_bank,multi,21,0.3845 ± 0.0137
17_bank,multi,22,0.3846 ± 0.0134
17_bank,multi,23,0.3839 ± 0.0135
17_bank,multi,24,0.3832 ± 0.0136
17_bank,multi,25,0.3845 ± 0.0146
17_bank,multi,26,0.3851 ± 0.0146
17_bank,multi,27,0.3848 ± 0.0144
17_bank,multi,28,0.3843 ± 0.0144
17_bank,multi,29,0.3846 ± 0.0142
17_bank,multi,30,0.3842 ± 0.0142
17_bank,knn,1,0.3249 ± 0.0000
17_bank,knn,2,0.3193 ± 0.0056
17_bank,knn,3,0.3223 ± 0.0063
17_bank,knn,4,0.3213 ± 0.0057
17_bank,knn,5,0.3211 ± 0.0051
17_bank,knn,6,0.3196 ± 0.0058
17_bank,knn,7,0.3204 ± 0.0056
17_bank,knn,8,0.3205 ± 0.0053
17_bank,knn,9,0.3193 ± 0.0059
17_bank,knn,10,0.3187 ± 0.0059
17_bank,knn,11,0.3187 ± 0.0056
17_bank,knn,12,0.3194 ± 0.0060
17_bank,knn,13,0.3193 ± 0.0058
17_bank,knn,14,0.3195 ± 0.0056
17_bank,knn,15,0.3195 ± 0.0054
17_bank,knn,16,0.3195 ± 0.0052
17_bank,knn,17,0.3190 ± 0.0054
17_bank,knn,18,0.3175 ± 0.0079
17_bank,knn,19,0.3172 ± 0.0079
17_bank,knn,20,0.3169 ± 0.0078
17_bank,knn,21,0.3166 ± 0.0077
17_bank,knn,22,0.3166 ± 0.0075
17_bank,knn,23,0.3165 ± 0.0074
17_bank,knn,24,0.3166 ± 0.0072
17_bank,knn,25,0.3165 ± 0.0071
17_bank,knn,26,0.3167 ± 0.0070
17_bank,knn,27,0.3166 ± 0.0069
17_bank,knn,28,0.3165 ± 0.0068
17_bank,knn,29,0.3165 ± 0.0067
17_bank,knn,30,0.3165 ± 0.0066
