Dataset,method,Experiment,RMSE
18_maternal,datawig,1,0.2649 ± 0.0000
18_maternal,datawig,2,0.2535 ± 0.0113
18_maternal,datawig,3,0.2971 ± 0.0622
18_maternal,datawig,4,0.2855 ± 0.0575
18_maternal,datawig,5,0.2711 ± 0.0589
18_maternal,datawig,6,0.2651 ± 0.0554
18_maternal,datawig,7,0.2620 ± 0.0519
18_maternal,datawig,8,0.2575 ± 0.0500
18_maternal,datawig,9,0.2582 ± 0.0472
18_maternal,datawig,10,0.2560 ± 0.0453
18_maternal,datawig,11,0.2532 ± 0.0441
18_maternal,datawig,12,0.2517 ± 0.0425
18_maternal,datawig,13,0.2504 ± 0.0411
18_maternal,datawig,14,0.2489 ± 0.0399
18_maternal,datawig,15,0.2483 ± 0.0386
18_maternal,datawig,16,0.2468 ± 0.0379
18_maternal,datawig,17,0.2460 ± 0.0369
18_maternal,datawig,18,0.2453 ± 0.0360
18_maternal,datawig,19,0.2459 ± 0.0351
18_maternal,datawig,20,0.2459 ± 0.0342
18_maternal,datawig,21,0.2451 ± 0.0336
18_maternal,datawig,22,0.2445 ± 0.0329
18_maternal,datawig,23,0.2437 ± 0.0324
18_maternal,datawig,24,0.2424 ± 0.0323
18_maternal,datawig,25,0.2424 ± 0.0317
18_maternal,datawig,26,0.2468 ± 0.0381
18_maternal,datawig,27,0.2511 ± 0.0432
18_maternal,datawig,28,0.2497 ± 0.0430
18_maternal,datawig,29,0.2536 ± 0.0468
18_maternal,datawig,30,0.2571 ± 0.0497
18_maternal,multi,1,0.6038 ± 0.0000
18_maternal,multi,2,0.6421 ± 0.0384
18_maternal,multi,3,0.6360 ± 0.0325
18_maternal,multi,4,0.6330 ± 0.0286
18_maternal,multi,5,0.6395 ± 0.0288
18_maternal,multi,6,0.6402 ± 0.0263
18_maternal,multi,7,0.6378 ± 0.0250
18_maternal,multi,8,0.6385 ± 0.0235
18_maternal,multi,9,0.6411 ± 0.0233
18_maternal,multi,10,0.6421 ± 0.0223
18_maternal,multi,11,0.6408 ± 0.0217
18_maternal,multi,12,0.6394 ± 0.0213
18_maternal,multi,13,0.6391 ± 0.0205
18_maternal,multi,14,0.6383 ± 0.0200
18_maternal,multi,15,0.6386 ± 0.0193
18_maternal,multi,16,0.6377 ± 0.0190
18_maternal,multi,17,0.6378 ± 0.0185
18_maternal,multi,18,0.6366 ± 0.0186
18_maternal,multi,19,0.6331 ± 0.0234
18_maternal,multi,20,0.6320 ± 0.0233
18_maternal,multi,21,0.6320 ± 0.0227
18_maternal,multi,22,0.6316 ± 0.0223
18_maternal,multi,23,0.6333 ± 0.0231
18_maternal,multi,24,0.6317 ± 0.0239
18_maternal,multi,25,0.6319 ± 0.0234
18_maternal,multi,26,0.6313 ± 0.0231
18_maternal,multi,27,0.6314 ± 0.0227
18_maternal,multi,28,0.6306 ± 0.0227
18_maternal,multi,29,0.6294 ± 0.0232
18_maternal,multi,30,0.6281 ± 0.0238
18_maternal,knn,1,0.2351 ± 0.0000
18_maternal,knn,2,0.2178 ± 0.0173
18_maternal,knn,3,0.2630 ± 0.0655
18_maternal,knn,4,0.2600 ± 0.0570
18_maternal,knn,5,0.2572 ± 0.0513
18_maternal,knn,6,0.2567 ± 0.0468
18_maternal,knn,7,0.2512 ± 0.0454
18_maternal,knn,8,0.2480 ± 0.0433
18_maternal,knn,9,0.2477 ± 0.0408
18_maternal,knn,10,0.2476 ± 0.0387
18_maternal,knn,11,0.2415 ± 0.0416
18_maternal,knn,12,0.2412 ± 0.0398
18_maternal,knn,13,0.2406 ± 0.0383
18_maternal,knn,14,0.2392 ± 0.0373
18_maternal,knn,15,0.2356 ± 0.0385
18_maternal,knn,16,0.2351 ± 0.0373
18_maternal,knn,17,0.2338 ± 0.0366
18_maternal,knn,18,0.2325 ± 0.0360
18_maternal,knn,19,0.2324 ± 0.0350
18_maternal,knn,20,0.2321 ± 0.0342
18_maternal,knn,21,0.2298 ± 0.0348
18_maternal,knn,22,0.2292 ± 0.0341
18_maternal,knn,23,0.2282 ± 0.0337
18_maternal,knn,24,0.2280 ± 0.0330
18_maternal,knn,25,0.2281 ± 0.0323
18_maternal,knn,26,0.2330 ± 0.0399
18_maternal,knn,27,0.2384 ± 0.0478
18_maternal,knn,28,0.2383 ± 0.0469
18_maternal,knn,29,0.2431 ± 0.0526
18_maternal,knn,30,0.2469 ± 0.0557
