Dataset,method,Experiment,RMSE
20_obesity,datawig,1,0.2850 ± 0.0000
20_obesity,datawig,2,0.2706 ± 0.0144
20_obesity,datawig,3,0.2662 ± 0.0133
20_obesity,datawig,4,0.2659 ± 0.0115
20_obesity,datawig,5,0.2669 ± 0.0105
20_obesity,datawig,6,0.2673 ± 0.0096
20_obesity,datawig,7,0.2686 ± 0.0095
20_obesity,datawig,8,0.2682 ± 0.0090
20_obesity,datawig,9,0.2670 ± 0.0091
20_obesity,datawig,10,0.2683 ± 0.0095
20_obesity,datawig,11,0.2691 ± 0.0095
20_obesity,datawig,12,0.2696 ± 0.0092
20_obesity,datawig,13,0.2686 ± 0.0095
20_obesity,datawig,14,0.2683 ± 0.0092
20_obesity,datawig,15,0.2688 ± 0.0091
20_obesity,datawig,16,0.2691 ± 0.0088
20_obesity,datawig,17,0.2693 ± 0.0086
20_obesity,datawig,18,0.2705 ± 0.0097
20_obesity,datawig,19,0.2708 ± 0.0095
20_obesity,datawig,20,0.2710 ± 0.0093
20_obesity,datawig,21,0.2714 ± 0.0093
20_obesity,datawig,22,0.2706 ± 0.0098
20_obesity,datawig,23,0.2706 ± 0.0095
20_obesity,datawig,24,0.2706 ± 0.0094
20_obesity,datawig,25,0.2703 ± 0.0093
20_obesity,datawig,26,0.2701 ± 0.0092
20_obesity,datawig,27,0.2700 ± 0.0090
20_obesity,datawig,28,0.2704 ± 0.0091
20_obesity,datawig,29,0.2702 ± 0.0090
20_obesity,datawig,30,0.2700 ± 0.0090
20_obesity,multi,1,0.5099 ± 0.0000
20_obesity,multi,2,0.5041 ± 0.0059
20_obesity,multi,3,0.4915 ± 0.0184
20_obesity,multi,4,0.4877 ± 0.0172
20_obesity,multi,5,0.4840 ± 0.0172
20_obesity,multi,6,0.4810 ± 0.0170
20_obesity,multi,7,0.4797 ± 0.0161
20_obesity,multi,8,0.4792 ± 0.0151
20_obesity,multi,9,0.4781 ± 0.0146
20_obesity,multi,10,0.4762 ± 0.0150
20_obesity,multi,11,0.4766 ± 0.0144
20_obesity,multi,12,0.4772 ± 0.0139
20_obesity,multi,13,0.4764 ± 0.0137
20_obesity,multi,14,0.4769 ± 0.0133
20_obesity,multi,15,0.4774 ± 0.0130
20_obesity,multi,16,0.4778 ± 0.0127
20_obesity,multi,17,0.4757 ± 0.0148
20_obesity,multi,18,0.4748 ± 0.0149
20_obesity,multi,19,0.4739 ± 0.0149
20_obesity,multi,20,0.4737 ± 0.0146
20_obesity,multi,21,0.4736 ± 0.0142
20_obesity,multi,22,0.4741 ± 0.0142
20_obesity,multi,23,0.4734 ± 0.0143
20_obesity,multi,24,0.4730 ± 0.0142
20_obesity,multi,25,0.4719 ± 0.0149
20_obesity,multi,26,0.4719 ± 0.0146
20_obesity,multi,27,0.4718 ± 0.0143
20_obesity,multi,28,0.4725 ± 0.0145
20_obesity,multi,29,0.4726 ± 0.0142
20_obesity,multi,30,0.4724 ± 0.0140
20_obesity,knn,1,0.3001 ± 0.0000
20_obesity,knn,2,0.2842 ± 0.0159
20_obesity,knn,3,0.2803 ± 0.0141
20_obesity,knn,4,0.2804 ± 0.0122
20_obesity,knn,5,0.2770 ± 0.0129
20_obesity,knn,6,0.2790 ± 0.0127
20_obesity,knn,7,0.2804 ± 0.0122
20_obesity,knn,8,0.2798 ± 0.0115
20_obesity,knn,9,0.2797 ± 0.0108
20_obesity,knn,10,0.2801 ± 0.0103
20_obesity,knn,11,0.2789 ± 0.0105
20_obesity,knn,12,0.2790 ± 0.0100
20_obesity,knn,13,0.2785 ± 0.0098
20_obesity,knn,14,0.2790 ± 0.0096
20_obesity,knn,15,0.2796 ± 0.0095
20_obesity,knn,16,0.2803 ± 0.0096
20_obesity,knn,17,0.2806 ± 0.0094
20_obesity,knn,18,0.2823 ± 0.0115
20_obesity,knn,19,0.2818 ± 0.0114
20_obesity,knn,20,0.2827 ± 0.0118
20_obesity,knn,21,0.2832 ± 0.0117
20_obesity,knn,22,0.2834 ± 0.0115
20_obesity,knn,23,0.2838 ± 0.0113
20_obesity,knn,24,0.2839 ± 0.0111
20_obesity,knn,25,0.2841 ± 0.0109
20_obesity,knn,26,0.2836 ± 0.0110
20_obesity,knn,27,0.2831 ± 0.0111
20_obesity,knn,28,0.2832 ± 0.0109
20_obesity,knn,29,0.2831 ± 0.0108
20_obesity,knn,30,0.2828 ± 0.0107
