Dataset,method,Experiment,RMSE
21_yeast,datawig,1,0.1047 ± 0.0000
21_yeast,datawig,2,0.2098 ± 0.1051
21_yeast,datawig,3,0.1788 ± 0.0964
21_yeast,datawig,4,0.1651 ± 0.0868
21_yeast,datawig,5,0.1590 ± 0.0786
21_yeast,datawig,6,0.1554 ± 0.0722
21_yeast,datawig,7,0.1525 ± 0.0672
21_yeast,datawig,8,0.1970 ± 0.1335
21_yeast,datawig,9,0.1876 ± 0.1287
21_yeast,datawig,10,0.1822 ± 0.1231
21_yeast,datawig,11,0.1765 ± 0.1188
21_yeast,datawig,12,0.1739 ± 0.1140
21_yeast,datawig,13,0.1698 ± 0.1105
21_yeast,datawig,14,0.1678 ± 0.1067
21_yeast,datawig,15,0.1645 ± 0.1038
21_yeast,datawig,16,0.1625 ± 0.1008
21_yeast,datawig,17,0.1644 ± 0.0981
21_yeast,datawig,18,0.1623 ± 0.0957
21_yeast,datawig,19,0.1605 ± 0.0935
21_yeast,datawig,20,0.1587 ± 0.0914
21_yeast,datawig,21,0.1574 ± 0.0894
21_yeast,datawig,22,0.1559 ± 0.0876
21_yeast,datawig,23,0.1557 ± 0.0857
21_yeast,datawig,24,0.1554 ± 0.0839
21_yeast,datawig,25,0.1553 ± 0.0822
21_yeast,datawig,26,0.1542 ± 0.0808
21_yeast,datawig,27,0.1539 ± 0.0793
21_yeast,datawig,28,0.1545 ± 0.0779
21_yeast,datawig,29,0.1650 ± 0.0945
21_yeast,datawig,30,0.1641 ± 0.0930
21_yeast,multi,1,0.5974 ± 0.0000
21_yeast,multi,2,0.6152 ± 0.0178
21_yeast,multi,3,0.6176 ± 0.0149
21_yeast,multi,4,0.6181 ± 0.0129
21_yeast,multi,5,0.6189 ± 0.0117
21_yeast,multi,6,0.6204 ± 0.0112
21_yeast,multi,7,0.6198 ± 0.0104
21_yeast,multi,8,0.6198 ± 0.0097
21_yeast,multi,9,0.6195 ± 0.0092
21_yeast,multi,10,0.6187 ± 0.0091
21_yeast,multi,11,0.6221 ± 0.0139
21_yeast,multi,12,0.6226 ± 0.0134
21_yeast,multi,13,0.6221 ± 0.0130
21_yeast,multi,14,0.6225 ± 0.0126
21_yeast,multi,15,0.6241 ± 0.0135
21_yeast,multi,16,0.6255 ± 0.0141
21_yeast,multi,17,0.6256 ± 0.0137
21_yeast,multi,18,0.6254 ± 0.0133
21_yeast,multi,19,0.6245 ± 0.0135
21_yeast,multi,20,0.6243 ± 0.0132
21_yeast,multi,21,0.6237 ± 0.0132
21_yeast,multi,22,0.6230 ± 0.0133
21_yeast,multi,23,0.6220 ± 0.0138
21_yeast,multi,24,0.6213 ± 0.0139
21_yeast,multi,25,0.6220 ± 0.0140
21_yeast,multi,26,0.6206 ± 0.0154
21_yeast,multi,27,0.6214 ± 0.0156
21_yeast,multi,28,0.6212 ± 0.0153
21_yeast,multi,29,0.6209 ± 0.0151
21_yeast,multi,30,0.6199 ± 0.0158
21_yeast,knn,1,0.1499 ± 0.0000
21_yeast,knn,2,0.1555 ± 0.0056
21_yeast,knn,3,0.1553 ± 0.0046
21_yeast,knn,4,0.1623 ± 0.0128
21_yeast,knn,5,0.1630 ± 0.0115
21_yeast,knn,6,0.1670 ± 0.0139
21_yeast,knn,7,0.1673 ± 0.0129
21_yeast,knn,8,0.1680 ± 0.0122
21_yeast,knn,9,0.1659 ± 0.0130
21_yeast,knn,10,0.1658 ± 0.0124
21_yeast,knn,11,0.1647 ± 0.0123
21_yeast,knn,12,0.1649 ± 0.0118
21_yeast,knn,13,0.1645 ± 0.0115
21_yeast,knn,14,0.1651 ± 0.0113
21_yeast,knn,15,0.1637 ± 0.0122
21_yeast,knn,16,0.1648 ± 0.0126
21_yeast,knn,17,0.1636 ± 0.0131
21_yeast,knn,18,0.1633 ± 0.0128
21_yeast,knn,19,0.1626 ± 0.0128
21_yeast,knn,20,0.1620 ± 0.0127
21_yeast,knn,21,0.1627 ± 0.0128
21_yeast,knn,22,0.1635 ± 0.0130
21_yeast,knn,23,0.1647 ± 0.0140
21_yeast,knn,24,0.1671 ± 0.0177
21_yeast,knn,25,0.1660 ± 0.0182
21_yeast,knn,26,0.1653 ± 0.0181
21_yeast,knn,27,0.1651 ± 0.0178
21_yeast,knn,28,0.1652 ± 0.0175
21_yeast,knn,29,0.1655 ± 0.0173
21_yeast,knn,30,0.1659 ± 0.0171
