Dataset,method,Experiment,RMSE
23_ai4i,datawig,1,0.1695 ± 0.0000
23_ai4i,datawig,2,0.1709 ± 0.0014
23_ai4i,datawig,3,0.1728 ± 0.0029
23_ai4i,datawig,4,0.1720 ± 0.0029
23_ai4i,datawig,5,0.1724 ± 0.0027
23_ai4i,datawig,6,0.1727 ± 0.0026
23_ai4i,datawig,7,0.1729 ± 0.0024
23_ai4i,datawig,8,0.1733 ± 0.0026
23_ai4i,datawig,9,0.1734 ± 0.0024
23_ai4i,datawig,10,0.1729 ± 0.0027
23_ai4i,datawig,11,0.1724 ± 0.0030
23_ai4i,datawig,12,0.1727 ± 0.0030
23_ai4i,datawig,13,0.1724 ± 0.0031
23_ai4i,datawig,14,0.1721 ± 0.0032
23_ai4i,datawig,15,0.1724 ± 0.0033
23_ai4i,datawig,16,0.1727 ± 0.0035
23_ai4i,datawig,17,0.1724 ± 0.0036
23_ai4i,datawig,18,0.1722 ± 0.0036
23_ai4i,datawig,19,0.1726 ± 0.0040
23_ai4i,datawig,20,0.1727 ± 0.0039
23_ai4i,datawig,21,0.1724 ± 0.0041
23_ai4i,datawig,22,0.1722 ± 0.0040
23_ai4i,datawig,23,0.1723 ± 0.0040
23_ai4i,datawig,24,0.1726 ± 0.0041
23_ai4i,datawig,25,0.1726 ± 0.0040
23_ai4i,datawig,26,0.1724 ± 0.0040
23_ai4i,datawig,27,0.1726 ± 0.0040
23_ai4i,datawig,28,0.1725 ± 0.0039
23_ai4i,datawig,29,0.1727 ± 0.0039
23_ai4i,datawig,30,0.1726 ± 0.0039
23_ai4i,multi,1,0.3162 ± 0.0000
23_ai4i,multi,2,0.3258 ± 0.0096
23_ai4i,multi,3,0.3221 ± 0.0094
23_ai4i,multi,4,0.3186 ± 0.0101
23_ai4i,multi,5,0.3185 ± 0.0091
23_ai4i,multi,6,0.3174 ± 0.0086
23_ai4i,multi,7,0.3173 ± 0.0080
23_ai4i,multi,8,0.3158 ± 0.0084
23_ai4i,multi,9,0.3170 ± 0.0086
23_ai4i,multi,10,0.3179 ± 0.0086
23_ai4i,multi,11,0.3178 ± 0.0082
23_ai4i,multi,12,0.3170 ± 0.0083
23_ai4i,multi,13,0.3169 ± 0.0080
23_ai4i,multi,14,0.3179 ± 0.0085
23_ai4i,multi,15,0.3176 ± 0.0083
23_ai4i,multi,16,0.3173 ± 0.0081
23_ai4i,multi,17,0.3182 ± 0.0085
23_ai4i,multi,18,0.3179 ± 0.0084
23_ai4i,multi,19,0.3185 ± 0.0085
23_ai4i,multi,20,0.3185 ± 0.0083
23_ai4i,multi,21,0.3190 ± 0.0084
23_ai4i,multi,22,0.3192 ± 0.0083
23_ai4i,multi,23,0.3191 ± 0.0081
23_ai4i,multi,24,0.3190 ± 0.0079
23_ai4i,multi,25,0.3189 ± 0.0078
23_ai4i,multi,26,0.3187 ± 0.0077
23_ai4i,multi,27,0.3186 ± 0.0076
23_ai4i,multi,28,0.3189 ± 0.0075
23_ai4i,multi,29,0.3188 ± 0.0074
23_ai4i,multi,30,0.3192 ± 0.0076
23_ai4i,knn,1,0.2566 ± 0.0000
23_ai4i,knn,2,0.2487 ± 0.0080
23_ai4i,knn,3,0.2466 ± 0.0071
23_ai4i,knn,4,0.2434 ± 0.0083
23_ai4i,knn,5,0.2448 ± 0.0079
23_ai4i,knn,6,0.2428 ± 0.0085
23_ai4i,knn,7,0.2408 ± 0.0093
23_ai4i,knn,8,0.2409 ± 0.0087
23_ai4i,knn,9,0.2435 ± 0.0110
23_ai4i,knn,10,0.2425 ± 0.0109
23_ai4i,knn,11,0.2431 ± 0.0105
23_ai4i,knn,12,0.2444 ± 0.0109
23_ai4i,knn,13,0.2454 ± 0.0110
23_ai4i,knn,14,0.2463 ± 0.0112
23_ai4i,knn,15,0.2475 ± 0.0116
23_ai4i,knn,16,0.2468 ± 0.0115
23_ai4i,knn,17,0.2455 ± 0.0122
23_ai4i,knn,18,0.2452 ± 0.0120
23_ai4i,knn,19,0.2458 ± 0.0119
23_ai4i,knn,20,0.2464 ± 0.0119
23_ai4i,knn,21,0.2439 ± 0.0164
23_ai4i,knn,22,0.2444 ± 0.0162
23_ai4i,knn,23,0.2438 ± 0.0161
23_ai4i,knn,24,0.2432 ± 0.0159
23_ai4i,knn,25,0.2433 ± 0.0156
23_ai4i,knn,26,0.2437 ± 0.0155
23_ai4i,knn,27,0.2442 ± 0.0153
23_ai4i,knn,28,0.2433 ± 0.0157
23_ai4i,knn,29,0.2439 ± 0.0157
23_ai4i,knn,30,0.2448 ± 0.0161
