Dataset,method,Experiment,RMSE
24_credit,knn,1,0.4251 ± 0.0000
24_credit,knn,2,0.4061 ± 0.0190
24_credit,knn,3,0.4128 ± 0.0181
24_credit,knn,4,0.4064 ± 0.0192
24_credit,knn,5,0.4087 ± 0.0177
24_credit,knn,6,0.4073 ± 0.0165
24_credit,knn,7,0.4026 ± 0.0191
24_credit,knn,8,0.4001 ± 0.0191
24_credit,knn,9,0.3981 ± 0.0189
24_credit,knn,10,0.3962 ± 0.0188
24_credit,knn,11,0.4052 ± 0.0337
24_credit,knn,12,0.4035 ± 0.0328
24_credit,knn,13,0.4013 ± 0.0324
24_credit,knn,14,0.3978 ± 0.0338
24_credit,knn,15,0.3960 ± 0.0333
24_credit,knn,16,0.3960 ± 0.0322
24_credit,knn,17,0.3933 ± 0.0331
24_credit,knn,18,0.3961 ± 0.0342
24_credit,knn,19,0.3958 ± 0.0333
24_credit,knn,20,0.3933 ± 0.0342
24_credit,knn,21,0.3939 ± 0.0335
24_credit,knn,22,0.3934 ± 0.0328
24_credit,knn,23,0.3917 ± 0.0330
24_credit,knn,24,0.3907 ± 0.0327
24_credit,knn,25,0.3913 ± 0.0322
24_credit,knn,26,0.3911 ± 0.0316
24_credit,knn,27,0.3920 ± 0.0313
24_credit,knn,28,0.3909 ± 0.0312
24_credit,knn,29,0.3899 ± 0.0312
24_credit,knn,30,0.3905 ± 0.0308
24_credit,multi,1,0.7020 ± 0.0000
24_credit,multi,2,0.7196 ± 0.0176
24_credit,multi,3,0.7188 ± 0.0144
24_credit,multi,4,0.7197 ± 0.0126
24_credit,multi,5,0.7151 ± 0.0145
24_credit,multi,6,0.7094 ± 0.0184
24_credit,multi,7,0.7007 ± 0.0273
24_credit,multi,8,0.7021 ± 0.0258
24_credit,multi,9,0.7055 ± 0.0261
24_credit,multi,10,0.7072 ± 0.0253
24_credit,multi,11,0.7053 ± 0.0249
24_credit,multi,12,0.7050 ± 0.0238
24_credit,multi,13,0.7067 ± 0.0236
24_credit,multi,14,0.7056 ± 0.0231
24_credit,multi,15,0.7064 ± 0.0225
24_credit,multi,16,0.7071 ± 0.0220
24_credit,multi,17,0.7074 ± 0.0213
24_credit,multi,18,0.7062 ± 0.0213
24_credit,multi,19,0.7052 ± 0.0212
24_credit,multi,20,0.7055 ± 0.0207
24_credit,multi,21,0.7049 ± 0.0204
24_credit,multi,22,0.7033 ± 0.0212
24_credit,multi,23,0.7037 ± 0.0208
24_credit,multi,24,0.7027 ± 0.0209
24_credit,multi,25,0.7039 ± 0.0213
24_credit,multi,26,0.7030 ± 0.0213
24_credit,multi,27,0.7034 ± 0.0210
24_credit,multi,28,0.7029 ± 0.0207
24_credit,multi,29,0.7033 ± 0.0204
24_credit,multi,30,0.7025 ± 0.0205
24_credit,datawig,1,0.3506 ± 0.0000
24_credit,datawig,2,0.3309 ± 0.0197
24_credit,datawig,3,0.3374 ± 0.0186
24_credit,datawig,4,0.3377 ± 0.0161
24_credit,datawig,5,0.3338 ± 0.0163
24_credit,datawig,6,0.3357 ± 0.0155
24_credit,datawig,7,0.3408 ± 0.0191
24_credit,datawig,8,0.3353 ± 0.0230
24_credit,datawig,9,0.3381 ± 0.0231
24_credit,datawig,10,0.3416 ± 0.0243
24_credit,datawig,11,0.3398 ± 0.0238
24_credit,datawig,12,0.3383 ± 0.0234
24_credit,datawig,13,0.3410 ± 0.0244
24_credit,datawig,14,0.3373 ± 0.0270
24_credit,datawig,15,0.3344 ± 0.0283
24_credit,datawig,16,0.3330 ± 0.0279
24_credit,datawig,17,0.3311 ± 0.0282
24_credit,datawig,18,0.3314 ± 0.0274
24_credit,datawig,19,0.3367 ± 0.0351
24_credit,datawig,20,0.3383 ± 0.0348
24_credit,datawig,21,0.3378 ± 0.0341
24_credit,datawig,22,0.3361 ± 0.0342
24_credit,datawig,23,0.3341 ± 0.0348
24_credit,datawig,24,0.3335 ± 0.0341
24_credit,datawig,25,0.3340 ± 0.0335
24_credit,datawig,26,0.3351 ± 0.0333
24_credit,datawig,27,0.3348 ± 0.0328
24_credit,datawig,28,0.3347 ± 0.0322
24_credit,datawig,29,0.3358 ± 0.0322
24_credit,datawig,30,0.3368 ± 0.0321
