Dataset,method,Experiment,RMSE
25_hepatitis,knn,1,0.3846 ± 0.0000
25_hepatitis,knn,2,0.3888 ± 0.0042
25_hepatitis,knn,3,0.3822 ± 0.0099
25_hepatitis,knn,4,0.3967 ± 0.0265
25_hepatitis,knn,5,0.4026 ± 0.0264
25_hepatitis,knn,6,0.4103 ± 0.0296
25_hepatitis,knn,7,0.4204 ± 0.0370
25_hepatitis,knn,8,0.4136 ± 0.0390
25_hepatitis,knn,9,0.4175 ± 0.0384
25_hepatitis,knn,10,0.4204 ± 0.0375
25_hepatitis,knn,11,0.4216 ± 0.0359
25_hepatitis,knn,12,0.4182 ± 0.0362
25_hepatitis,knn,13,0.4176 ± 0.0349
25_hepatitis,knn,14,0.4178 ± 0.0336
25_hepatitis,knn,15,0.4180 ± 0.0325
25_hepatitis,knn,16,0.4157 ± 0.0327
25_hepatitis,knn,17,0.4148 ± 0.0320
25_hepatitis,knn,18,0.4145 ± 0.0311
25_hepatitis,knn,19,0.4125 ± 0.0314
25_hepatitis,knn,20,0.4143 ± 0.0316
25_hepatitis,knn,21,0.4156 ± 0.0314
25_hepatitis,knn,22,0.4183 ± 0.0330
25_hepatitis,knn,23,0.4192 ± 0.0326
25_hepatitis,knn,24,0.4215 ± 0.0338
25_hepatitis,knn,25,0.4212 ± 0.0331
25_hepatitis,knn,26,0.4217 ± 0.0326
25_hepatitis,knn,27,0.4203 ± 0.0327
25_hepatitis,knn,28,0.4203 ± 0.0321
25_hepatitis,knn,29,0.4179 ± 0.0340
25_hepatitis,knn,30,0.4182 ± 0.0334
25_hepatitis,datawig,1,0.4262 ± 0.0000
25_hepatitis,datawig,2,0.4493 ± 0.0230
25_hepatitis,datawig,3,0.4271 ± 0.0365
25_hepatitis,datawig,4,0.4309 ± 0.0323
25_hepatitis,datawig,5,0.4459 ± 0.0416
25_hepatitis,datawig,6,0.4421 ± 0.0389
25_hepatitis,datawig,7,0.4437 ± 0.0362
25_hepatitis,datawig,8,0.4475 ± 0.0353
25_hepatitis,datawig,9,0.4528 ± 0.0365
25_hepatitis,datawig,10,0.4611 ± 0.0427
25_hepatitis,datawig,11,0.4582 ± 0.0417
25_hepatitis,datawig,12,0.4621 ± 0.0419
25_hepatitis,datawig,13,0.4639 ± 0.0408
25_hepatitis,datawig,14,0.4646 ± 0.0394
25_hepatitis,datawig,15,0.4676 ± 0.0397
25_hepatitis,datawig,16,0.4649 ± 0.0397
25_hepatitis,datawig,17,0.4645 ± 0.0386
25_hepatitis,datawig,18,0.4627 ± 0.0382
25_hepatitis,datawig,19,0.4632 ± 0.0372
25_hepatitis,datawig,20,0.4636 ± 0.0363
25_hepatitis,datawig,21,0.4665 ± 0.0376
25_hepatitis,datawig,22,0.4674 ± 0.0370
25_hepatitis,datawig,23,0.4670 ± 0.0363
25_hepatitis,datawig,24,0.4705 ± 0.0392
25_hepatitis,datawig,25,0.4704 ± 0.0384
25_hepatitis,datawig,26,0.4694 ± 0.0380
25_hepatitis,datawig,27,0.4687 ± 0.0375
25_hepatitis,datawig,28,0.4667 ± 0.0383
25_hepatitis,datawig,29,0.4651 ± 0.0386
25_hepatitis,datawig,30,0.4654 ± 0.0380
25_hepatitis,multi,1,1.0000 ± 0.0000
25_hepatitis,multi,2,0.9666 ± 0.0334
25_hepatitis,multi,3,0.9935 ± 0.0468
25_hepatitis,multi,4,1.0069 ± 0.0467
25_hepatitis,multi,5,1.0150 ± 0.0448
25_hepatitis,multi,6,1.0229 ± 0.0446
25_hepatitis,multi,7,1.0264 ± 0.0421
25_hepatitis,multi,8,1.0010 ± 0.0779
25_hepatitis,multi,9,0.9991 ± 0.0737
25_hepatitis,multi,10,1.0113 ± 0.0790
25_hepatitis,multi,11,1.0103 ± 0.0754
25_hepatitis,multi,12,1.0024 ± 0.0768
25_hepatitis,multi,13,1.0010 ± 0.0739
25_hepatitis,multi,14,0.9949 ± 0.0745
25_hepatitis,multi,15,0.9984 ± 0.0732
25_hepatitis,multi,16,0.9995 ± 0.0710
25_hepatitis,multi,17,0.9995 ± 0.0689
25_hepatitis,multi,18,0.9996 ± 0.0669
25_hepatitis,multi,19,0.9979 ± 0.0655
25_hepatitis,multi,20,0.9971 ± 0.0639
25_hepatitis,multi,21,0.9973 ± 0.0624
25_hepatitis,multi,22,0.9988 ± 0.0614
25_hepatitis,multi,23,1.0010 ± 0.0609
25_hepatitis,multi,24,1.0009 ± 0.0596
25_hepatitis,multi,25,1.0002 ± 0.0585
25_hepatitis,multi,26,0.9983 ± 0.0581
25_hepatitis,multi,27,0.9932 ± 0.0626
25_hepatitis,multi,28,0.9911 ± 0.0625
25_hepatitis,multi,29,0.9930 ± 0.0623
25_hepatitis,multi,30,0.9933 ± 0.0612
