Dataset,method,Experiment,RMSE
27_wholesale,knn,1,0.1418 ± 0.0000
27_wholesale,knn,2,0.1546 ± 0.0128
27_wholesale,knn,3,0.1763 ± 0.0324
27_wholesale,knn,4,0.1896 ± 0.0363
27_wholesale,knn,5,0.1887 ± 0.0326
27_wholesale,knn,6,0.1811 ± 0.0343
27_wholesale,knn,7,0.1834 ± 0.0322
27_wholesale,knn,8,0.1852 ± 0.0305
27_wholesale,knn,9,0.1889 ± 0.0307
27_wholesale,knn,10,0.1860 ± 0.0303
27_wholesale,knn,11,0.1849 ± 0.0292
27_wholesale,knn,12,0.1890 ± 0.0310
27_wholesale,knn,13,0.1891 ± 0.0298
27_wholesale,knn,14,0.1823 ± 0.0377
27_wholesale,knn,15,0.1811 ± 0.0368
27_wholesale,knn,16,0.1794 ± 0.0362
27_wholesale,knn,17,0.1852 ± 0.0419
27_wholesale,knn,18,0.1873 ± 0.0416
27_wholesale,knn,19,0.1832 ± 0.0441
27_wholesale,knn,20,0.1836 ± 0.0430
27_wholesale,knn,21,0.1813 ± 0.0432
27_wholesale,knn,22,0.1832 ± 0.0430
27_wholesale,knn,23,0.1821 ± 0.0424
27_wholesale,knn,24,0.1809 ± 0.0419
27_wholesale,knn,25,0.1797 ± 0.0414
27_wholesale,knn,26,0.1790 ± 0.0408
27_wholesale,knn,27,0.1786 ± 0.0401
27_wholesale,knn,28,0.1789 ± 0.0394
27_wholesale,knn,29,0.1757 ± 0.0422
27_wholesale,knn,30,0.1726 ± 0.0448
27_wholesale,multi,1,1.2613 ± 0.0000
27_wholesale,multi,2,1.2499 ± 0.0114
27_wholesale,multi,3,1.2306 ± 0.0289
27_wholesale,multi,4,1.2493 ± 0.0410
27_wholesale,multi,5,1.2481 ± 0.0368
27_wholesale,multi,6,1.2347 ± 0.0450
27_wholesale,multi,7,1.2346 ± 0.0416
27_wholesale,multi,8,1.2298 ± 0.0409
27_wholesale,multi,9,1.2256 ± 0.0404
27_wholesale,multi,10,1.2232 ± 0.0390
27_wholesale,multi,11,1.2242 ± 0.0373
27_wholesale,multi,12,1.2162 ± 0.0445
27_wholesale,multi,13,1.2196 ± 0.0444
27_wholesale,multi,14,1.2190 ± 0.0429
27_wholesale,multi,15,1.2172 ± 0.0420
27_wholesale,multi,16,1.2171 ± 0.0406
27_wholesale,multi,17,1.2107 ± 0.0471
27_wholesale,multi,18,1.2109 ± 0.0458
27_wholesale,multi,19,1.2114 ± 0.0446
27_wholesale,multi,20,1.2100 ± 0.0439
27_wholesale,multi,21,1.2082 ± 0.0436
27_wholesale,multi,22,1.2106 ± 0.0440
27_wholesale,multi,23,1.2118 ± 0.0434
27_wholesale,multi,24,1.2116 ± 0.0425
27_wholesale,multi,25,1.2126 ± 0.0420
27_wholesale,multi,26,1.2126 ± 0.0412
27_wholesale,multi,27,1.2113 ± 0.0409
27_wholesale,multi,28,1.2113 ± 0.0402
27_wholesale,multi,29,1.2154 ± 0.0452
27_wholesale,multi,30,1.2148 ± 0.0446
27_wholesale,datawig,1,0.1458 ± 0.0000
27_wholesale,datawig,2,0.1619 ± 0.0161
27_wholesale,datawig,3,0.1769 ± 0.0249
27_wholesale,datawig,4,0.1852 ± 0.0259
27_wholesale,datawig,5,0.1835 ± 0.0234
27_wholesale,datawig,6,0.1752 ± 0.0283
27_wholesale,datawig,7,0.1711 ± 0.0281
27_wholesale,datawig,8,0.1759 ± 0.0293
27_wholesale,datawig,9,0.1806 ± 0.0306
27_wholesale,datawig,10,0.1786 ± 0.0296
27_wholesale,datawig,11,0.1756 ± 0.0297
27_wholesale,datawig,12,0.1792 ± 0.0308
27_wholesale,datawig,13,0.1814 ± 0.0306
27_wholesale,datawig,14,0.1754 ± 0.0366
27_wholesale,datawig,15,0.1730 ± 0.0365
27_wholesale,datawig,16,0.1737 ± 0.0354
27_wholesale,datawig,17,0.1784 ± 0.0392
27_wholesale,datawig,18,0.1815 ± 0.0402
27_wholesale,datawig,19,0.1801 ± 0.0396
27_wholesale,datawig,20,0.1779 ± 0.0398
27_wholesale,datawig,21,0.1751 ± 0.0407
27_wholesale,datawig,22,0.1738 ± 0.0402
27_wholesale,datawig,23,0.1718 ± 0.0405
27_wholesale,datawig,24,0.1707 ± 0.0400
27_wholesale,datawig,25,0.1698 ± 0.0394
27_wholesale,datawig,26,0.1683 ± 0.0394
27_wholesale,datawig,27,0.1673 ± 0.0389
27_wholesale,datawig,28,0.1664 ± 0.0385
27_wholesale,datawig,29,0.1643 ± 0.0394
27_wholesale,datawig,30,0.1613 ± 0.0420
