Dataset,method,Experiment,RMSE
28_haberman,datawig,1,0.2147 ± 0.0000
28_haberman,datawig,2,0.1860 ± 0.0287
28_haberman,datawig,3,0.1977 ± 0.0287
28_haberman,datawig,4,0.1973 ± 0.0249
28_haberman,datawig,5,0.1946 ± 0.0229
28_haberman,datawig,6,0.2057 ± 0.0324
28_haberman,datawig,7,0.2090 ± 0.0311
28_haberman,datawig,8,0.2110 ± 0.0295
28_haberman,datawig,9,0.2206 ± 0.0391
28_haberman,datawig,10,0.2203 ± 0.0371
28_haberman,datawig,11,0.2196 ± 0.0354
28_haberman,datawig,12,0.2179 ± 0.0343
28_haberman,datawig,13,0.2228 ± 0.0371
28_haberman,datawig,14,0.2257 ± 0.0372
28_haberman,datawig,15,0.2229 ± 0.0374
28_haberman,datawig,16,0.2241 ± 0.0364
28_haberman,datawig,17,0.2219 ± 0.0364
28_haberman,datawig,18,0.2228 ± 0.0356
28_haberman,datawig,19,0.2224 ± 0.0347
28_haberman,datawig,20,0.2226 ± 0.0338
28_haberman,datawig,21,0.2225 ± 0.0330
28_haberman,datawig,22,0.2229 ± 0.0323
28_haberman,datawig,23,0.2218 ± 0.0320
28_haberman,datawig,24,0.2218 ± 0.0313
28_haberman,datawig,25,0.2215 ± 0.0307
28_haberman,datawig,26,0.2213 ± 0.0301
28_haberman,datawig,27,0.2220 ± 0.0298
28_haberman,datawig,28,0.2219 ± 0.0293
28_haberman,datawig,29,0.2228 ± 0.0291
28_haberman,datawig,30,0.2222 ± 0.0288
28_haberman,knn,1,0.3721 ± 0.0000
28_haberman,knn,2,0.3342 ± 0.0379
28_haberman,knn,3,0.3253 ± 0.0334
28_haberman,knn,4,0.3179 ± 0.0316
28_haberman,knn,5,0.2956 ± 0.0528
28_haberman,knn,6,0.3074 ± 0.0549
28_haberman,knn,7,0.3092 ± 0.0510
28_haberman,knn,8,0.3041 ± 0.0496
28_haberman,knn,9,0.3065 ± 0.0473
28_haberman,knn,10,0.3038 ± 0.0455
28_haberman,knn,11,0.3092 ± 0.0467
28_haberman,knn,12,0.3042 ± 0.0477
28_haberman,knn,13,0.3054 ± 0.0460
28_haberman,knn,14,0.3054 ± 0.0443
28_haberman,knn,15,0.3058 ± 0.0429
28_haberman,knn,16,0.3096 ± 0.0439
28_haberman,knn,17,0.3070 ± 0.0438
28_haberman,knn,18,0.3020 ± 0.0474
28_haberman,knn,19,0.3034 ± 0.0465
28_haberman,knn,20,0.3040 ± 0.0454
28_haberman,knn,21,0.3050 ± 0.0445
28_haberman,knn,22,0.3034 ± 0.0441
28_haberman,knn,23,0.3003 ± 0.0456
28_haberman,knn,24,0.3076 ± 0.0566
28_haberman,knn,25,0.3050 ± 0.0569
28_haberman,knn,26,0.3028 ± 0.0568
28_haberman,knn,27,0.3028 ± 0.0557
28_haberman,knn,28,0.3019 ± 0.0549
28_haberman,knn,29,0.3040 ± 0.0551
28_haberman,knn,30,0.3045 ± 0.0543
28_haberman,multi,1,1.3429 ± 0.0000
28_haberman,multi,2,1.3084 ± 0.0345
28_haberman,multi,3,1.2926 ± 0.0359
28_haberman,multi,4,1.2485 ± 0.0825
28_haberman,multi,5,1.2686 ± 0.0840
28_haberman,multi,6,1.2737 ± 0.0775
28_haberman,multi,7,1.2624 ± 0.0770
28_haberman,multi,8,1.2614 ± 0.0721
28_haberman,multi,9,1.2663 ± 0.0694
28_haberman,multi,10,1.2632 ± 0.0665
28_haberman,multi,11,1.2624 ± 0.0634
28_haberman,multi,12,1.2639 ± 0.0609
28_haberman,multi,13,1.2558 ± 0.0648
28_haberman,multi,14,1.2543 ± 0.0627
28_haberman,multi,15,1.2521 ± 0.0611
28_haberman,multi,16,1.2523 ± 0.0592
28_haberman,multi,17,1.2489 ± 0.0590
28_haberman,multi,18,1.2506 ± 0.0578
28_haberman,multi,19,1.2487 ± 0.0568
28_haberman,multi,20,1.2493 ± 0.0555
28_haberman,multi,21,1.2523 ± 0.0558
28_haberman,multi,22,1.2567 ± 0.0581
28_haberman,multi,23,1.2586 ± 0.0575
28_haberman,multi,24,1.2579 ± 0.0564
28_haberman,multi,25,1.2550 ± 0.0569
28_haberman,multi,26,1.2555 ± 0.0559
28_haberman,multi,27,1.2535 ± 0.0558
28_haberman,multi,28,1.2533 ± 0.0548
28_haberman,multi,29,1.2580 ± 0.0594
28_haberman,multi,30,1.2584 ± 0.0584
