Dataset,method,Experiment,RMSE
29_echocardiogram,knn,1,0.3618 ± 0.0000
29_echocardiogram,knn,2,0.3954 ± 0.0336
29_echocardiogram,knn,3,0.4038 ± 0.0299
29_echocardiogram,knn,4,0.4075 ± 0.0266
29_echocardiogram,knn,5,0.4056 ± 0.0241
29_echocardiogram,knn,6,0.4254 ± 0.0494
29_echocardiogram,knn,7,0.4147 ± 0.0527
29_echocardiogram,knn,8,0.4222 ± 0.0531
29_echocardiogram,knn,9,0.4099 ± 0.0610
29_echocardiogram,knn,10,0.4123 ± 0.0584
29_echocardiogram,knn,11,0.4107 ± 0.0559
29_echocardiogram,knn,12,0.4096 ± 0.0536
29_echocardiogram,knn,13,0.4082 ± 0.0517
29_echocardiogram,knn,14,0.4054 ± 0.0509
29_echocardiogram,knn,15,0.3993 ± 0.0542
29_echocardiogram,knn,16,0.4065 ± 0.0594
29_echocardiogram,knn,17,0.4041 ± 0.0584
29_echocardiogram,knn,18,0.4072 ± 0.0582
29_echocardiogram,knn,19,0.4088 ± 0.0571
29_echocardiogram,knn,20,0.4131 ± 0.0587
29_echocardiogram,knn,21,0.4127 ± 0.0573
29_echocardiogram,knn,22,0.4082 ± 0.0596
29_echocardiogram,knn,23,0.4064 ± 0.0589
29_echocardiogram,knn,24,0.4066 ± 0.0577
29_echocardiogram,knn,25,0.4052 ± 0.0569
29_echocardiogram,knn,26,0.4039 ± 0.0562
29_echocardiogram,knn,27,0.4037 ± 0.0552
29_echocardiogram,knn,28,0.4040 ± 0.0542
29_echocardiogram,knn,29,0.4033 ± 0.0534
29_echocardiogram,knn,30,0.4030 ± 0.0525
29_echocardiogram,datawig,1,0.3506 ± 0.0000
29_echocardiogram,datawig,2,0.3245 ± 0.0262
29_echocardiogram,datawig,3,0.3465 ± 0.0378
29_echocardiogram,datawig,4,0.3485 ± 0.0329
29_echocardiogram,datawig,5,0.3746 ± 0.0598
29_echocardiogram,datawig,6,0.3833 ± 0.0581
29_echocardiogram,datawig,7,0.3793 ± 0.0547
29_echocardiogram,datawig,8,0.3911 ± 0.0600
29_echocardiogram,datawig,9,0.3824 ± 0.0618
29_echocardiogram,datawig,10,0.3902 ± 0.0632
29_echocardiogram,datawig,11,0.3858 ± 0.0619
29_echocardiogram,datawig,12,0.3885 ± 0.0599
29_echocardiogram,datawig,13,0.3897 ± 0.0577
29_echocardiogram,datawig,14,0.3864 ± 0.0569
29_echocardiogram,datawig,15,0.3833 ± 0.0562
29_echocardiogram,datawig,16,0.3865 ± 0.0558
29_echocardiogram,datawig,17,0.3865 ± 0.0541
29_echocardiogram,datawig,18,0.3876 ± 0.0528
29_echocardiogram,datawig,19,0.3871 ± 0.0515
29_echocardiogram,datawig,20,0.3873 ± 0.0502
29_echocardiogram,datawig,21,0.3892 ± 0.0497
29_echocardiogram,datawig,22,0.3879 ± 0.0489
29_echocardiogram,datawig,23,0.3872 ± 0.0480
29_echocardiogram,datawig,24,0.3861 ± 0.0472
29_echocardiogram,datawig,25,0.3853 ± 0.0464
29_echocardiogram,datawig,26,0.3864 ± 0.0458
29_echocardiogram,datawig,27,0.3874 ± 0.0453
29_echocardiogram,datawig,28,0.3890 ± 0.0452
29_echocardiogram,datawig,29,0.3863 ± 0.0465
29_echocardiogram,datawig,30,0.3853 ± 0.0461
29_echocardiogram,multi,1,0.4385 ± 0.0000
29_echocardiogram,multi,2,0.4787 ± 0.0402
29_echocardiogram,multi,3,0.4921 ± 0.0379
29_echocardiogram,multi,4,0.4892 ± 0.0332
29_echocardiogram,multi,5,0.5214 ± 0.0710
29_echocardiogram,multi,6,0.5076 ± 0.0718
29_echocardiogram,multi,7,0.5143 ± 0.0685
29_echocardiogram,multi,8,0.5276 ± 0.0730
29_echocardiogram,multi,9,0.5266 ± 0.0689
29_echocardiogram,multi,10,0.5328 ± 0.0679
29_echocardiogram,multi,11,0.5348 ± 0.0651
29_echocardiogram,multi,12,0.5392 ± 0.0640
29_echocardiogram,multi,13,0.5404 ± 0.0617
29_echocardiogram,multi,14,0.5361 ± 0.0614
29_echocardiogram,multi,15,0.5324 ± 0.0609
29_echocardiogram,multi,16,0.5316 ± 0.0591
29_echocardiogram,multi,17,0.5349 ± 0.0589
29_echocardiogram,multi,18,0.5296 ± 0.0613
29_echocardiogram,multi,19,0.5270 ± 0.0607
29_echocardiogram,multi,20,0.5346 ± 0.0678
29_echocardiogram,multi,21,0.5300 ± 0.0693
29_echocardiogram,multi,22,0.5341 ± 0.0702
29_echocardiogram,multi,23,0.5279 ± 0.0745
29_echocardiogram,multi,24,0.5291 ± 0.0732
29_echocardiogram,multi,25,0.5271 ± 0.0723
29_echocardiogram,multi,26,0.5253 ± 0.0715
29_echocardiogram,multi,27,0.5204 ± 0.0745
29_echocardiogram,multi,28,0.5216 ± 0.0735
29_echocardiogram,multi,29,0.5228 ± 0.0724
29_echocardiogram,multi,30,0.5213 ± 0.0716
