Dataset,method,Experiment,RMSE
2_heart,datawig,1,0.3767 ± 0.0000
2_heart,datawig,2,0.3912 ± 0.0145
2_heart,datawig,3,0.3866 ± 0.0135
2_heart,datawig,4,0.3746 ± 0.0240
2_heart,datawig,5,0.3774 ± 0.0222
2_heart,datawig,6,0.3783 ± 0.0203
2_heart,datawig,7,0.3751 ± 0.0204
2_heart,datawig,8,0.3728 ± 0.0201
2_heart,datawig,9,0.3761 ± 0.0211
2_heart,datawig,10,0.3724 ± 0.0229
2_heart,datawig,11,0.3727 ± 0.0218
2_heart,datawig,12,0.3697 ± 0.0232
2_heart,datawig,13,0.3674 ± 0.0236
2_heart,datawig,14,0.3670 ± 0.0228
2_heart,datawig,15,0.3674 ± 0.0221
2_heart,datawig,16,0.3654 ± 0.0228
2_heart,datawig,17,0.3660 ± 0.0222
2_heart,datawig,18,0.3662 ± 0.0216
2_heart,datawig,19,0.3665 ± 0.0210
2_heart,datawig,20,0.3667 ± 0.0205
2_heart,datawig,21,0.3661 ± 0.0202
2_heart,datawig,22,0.3645 ± 0.0211
2_heart,datawig,23,0.3646 ± 0.0207
2_heart,datawig,24,0.3644 ± 0.0203
2_heart,datawig,25,0.3641 ± 0.0199
2_heart,datawig,26,0.3642 ± 0.0195
2_heart,datawig,27,0.3645 ± 0.0192
2_heart,datawig,28,0.3643 ± 0.0189
2_heart,datawig,29,0.3627 ± 0.0203
2_heart,datawig,30,0.3627 ± 0.0200
2_heart,multi,1,0.6402 ± 0.0000
2_heart,multi,2,0.7042 ± 0.0640
2_heart,multi,3,0.6912 ± 0.0554
2_heart,multi,4,0.6785 ± 0.0528
2_heart,multi,5,0.6807 ± 0.0475
2_heart,multi,6,0.6935 ± 0.0519
2_heart,multi,7,0.6929 ± 0.0481
2_heart,multi,8,0.7023 ± 0.0514
2_heart,multi,9,0.7022 ± 0.0485
2_heart,multi,10,0.7021 ± 0.0460
2_heart,multi,11,0.7020 ± 0.0439
2_heart,multi,12,0.7058 ± 0.0438
2_heart,multi,13,0.7072 ± 0.0423
2_heart,multi,14,0.7084 ± 0.0410
2_heart,multi,15,0.7071 ± 0.0399
2_heart,multi,16,0.7116 ± 0.0424
2_heart,multi,17,0.7137 ± 0.0419
2_heart,multi,18,0.7136 ± 0.0407
2_heart,multi,19,0.7111 ± 0.0411
2_heart,multi,20,0.7082 ± 0.0420
2_heart,multi,21,0.7089 ± 0.0411
2_heart,multi,22,0.7091 ± 0.0402
2_heart,multi,23,0.7108 ± 0.0401
2_heart,multi,24,0.7108 ± 0.0392
2_heart,multi,25,0.7080 ± 0.0408
2_heart,multi,26,0.7091 ± 0.0404
2_heart,multi,27,0.7105 ± 0.0403
2_heart,multi,28,0.7125 ± 0.0410
2_heart,multi,29,0.7117 ± 0.0405
2_heart,multi,30,0.7098 ± 0.0412
2_heart,knn,1,0.4414 ± 0.0000
2_heart,knn,2,0.4712 ± 0.0298
2_heart,knn,3,0.4654 ± 0.0257
2_heart,knn,4,0.4592 ± 0.0248
2_heart,knn,5,0.4624 ± 0.0231
2_heart,knn,6,0.4645 ± 0.0216
2_heart,knn,7,0.4629 ± 0.0203
2_heart,knn,8,0.4560 ± 0.0264
2_heart,knn,9,0.4570 ± 0.0250
2_heart,knn,10,0.4484 ± 0.0352
2_heart,knn,11,0.4507 ± 0.0344
2_heart,knn,12,0.4485 ± 0.0337
2_heart,knn,13,0.4412 ± 0.0410
2_heart,knn,14,0.4413 ± 0.0395
2_heart,knn,15,0.4412 ± 0.0381
2_heart,knn,16,0.4379 ± 0.0390
2_heart,knn,17,0.4404 ± 0.0392
2_heart,knn,18,0.4386 ± 0.0388
2_heart,knn,19,0.4381 ± 0.0378
2_heart,knn,20,0.4377 ± 0.0369
2_heart,knn,21,0.4353 ± 0.0376
2_heart,knn,22,0.4342 ± 0.0371
2_heart,knn,23,0.4339 ± 0.0363
2_heart,knn,24,0.4328 ± 0.0359
2_heart,knn,25,0.4318 ± 0.0356
2_heart,knn,26,0.4315 ± 0.0349
2_heart,knn,27,0.4319 ± 0.0343
2_heart,knn,28,0.4308 ± 0.0341
2_heart,knn,29,0.4292 ± 0.0346
2_heart,knn,30,0.4295 ± 0.0340
