Dataset,method,Experiment,RMSE
30_monk,knn,1,0.5551 ± 0.0000
30_monk,knn,2,0.5709 ± 0.0158
30_monk,knn,3,0.5664 ± 0.0144
30_monk,knn,4,0.5538 ± 0.0251
30_monk,knn,5,0.5471 ± 0.0262
30_monk,knn,6,0.5490 ± 0.0242
30_monk,knn,7,0.5479 ± 0.0226
30_monk,knn,8,0.5456 ± 0.0220
30_monk,knn,9,0.5415 ± 0.0237
30_monk,knn,10,0.5450 ± 0.0249
30_monk,knn,11,0.5450 ± 0.0237
30_monk,knn,12,0.5442 ± 0.0228
30_monk,knn,13,0.5430 ± 0.0224
30_monk,knn,14,0.5406 ± 0.0233
30_monk,knn,15,0.5449 ± 0.0277
30_monk,knn,16,0.5437 ± 0.0272
30_monk,knn,17,0.5438 ± 0.0264
30_monk,knn,18,0.5418 ± 0.0271
30_monk,knn,19,0.5399 ± 0.0275
30_monk,knn,20,0.5363 ± 0.0311
30_monk,knn,21,0.5336 ± 0.0326
30_monk,knn,22,0.5347 ± 0.0322
30_monk,knn,23,0.5334 ± 0.0321
30_monk,knn,24,0.5329 ± 0.0315
30_monk,knn,25,0.5322 ± 0.0311
30_monk,knn,26,0.5307 ± 0.0314
30_monk,knn,27,0.5314 ± 0.0310
30_monk,knn,28,0.5310 ± 0.0305
30_monk,knn,29,0.5309 ± 0.0300
30_monk,knn,30,0.5307 ± 0.0295
30_monk,multi,1,0.7683 ± 0.0000
30_monk,multi,2,0.7225 ± 0.0459
30_monk,multi,3,0.7159 ± 0.0386
30_monk,multi,4,0.7148 ± 0.0335
30_monk,multi,5,0.7158 ± 0.0300
30_monk,multi,6,0.7093 ± 0.0310
30_monk,multi,7,0.7096 ± 0.0287
30_monk,multi,8,0.7020 ± 0.0334
30_monk,multi,9,0.7040 ± 0.0320
30_monk,multi,10,0.7064 ± 0.0312
30_monk,multi,11,0.7004 ± 0.0354
30_monk,multi,12,0.6991 ± 0.0341
30_monk,multi,13,0.6974 ± 0.0333
30_monk,multi,14,0.7002 ± 0.0336
30_monk,multi,15,0.7009 ± 0.0326
30_monk,multi,16,0.6977 ± 0.0340
30_monk,multi,17,0.6954 ± 0.0342
30_monk,multi,18,0.6972 ± 0.0341
30_monk,multi,19,0.6966 ± 0.0333
30_monk,multi,20,0.6965 ± 0.0324
30_monk,multi,21,0.6960 ± 0.0317
30_monk,multi,22,0.6951 ± 0.0313
30_monk,multi,23,0.6943 ± 0.0308
30_monk,multi,24,0.6928 ± 0.0310
30_monk,multi,25,0.6918 ± 0.0308
30_monk,multi,26,0.6935 ± 0.0314
30_monk,multi,27,0.6922 ± 0.0315
30_monk,multi,28,0.6900 ± 0.0330
30_monk,multi,29,0.6869 ± 0.0362
30_monk,multi,30,0.6863 ± 0.0358
30_monk,datawig,1,0.3949 ± 0.0000
30_monk,datawig,2,0.4024 ± 0.0074
30_monk,datawig,3,0.3949 ± 0.0122
30_monk,datawig,4,0.3958 ± 0.0106
30_monk,datawig,5,0.3941 ± 0.0101
30_monk,datawig,6,0.3955 ± 0.0098
30_monk,datawig,7,0.3952 ± 0.0091
30_monk,datawig,8,0.3937 ± 0.0094
30_monk,datawig,9,0.3944 ± 0.0091
30_monk,datawig,10,0.3942 ± 0.0087
30_monk,datawig,11,0.3947 ± 0.0085
30_monk,datawig,12,0.3938 ± 0.0086
30_monk,datawig,13,0.3937 ± 0.0083
30_monk,datawig,14,0.3929 ± 0.0086
30_monk,datawig,15,0.3935 ± 0.0086
30_monk,datawig,16,0.3930 ± 0.0085
30_monk,datawig,17,0.3942 ± 0.0095
30_monk,datawig,18,0.3925 ± 0.0116
30_monk,datawig,19,0.3912 ± 0.0125
30_monk,datawig,20,0.3898 ± 0.0137
30_monk,datawig,21,0.3892 ± 0.0136
30_monk,datawig,22,0.3887 ± 0.0135
30_monk,datawig,23,0.3885 ± 0.0132
30_monk,datawig,24,0.3889 ± 0.0131
30_monk,datawig,25,0.3883 ± 0.0131
30_monk,datawig,26,0.3885 ± 0.0129
30_monk,datawig,27,0.3888 ± 0.0128
30_monk,datawig,28,0.3885 ± 0.0126
30_monk,datawig,29,0.3884 ± 0.0124
30_monk,datawig,30,0.3885 ± 0.0122
