Dataset,method,Experiment,RMSE
31_blood,knn,1,0.2186 ± 0.0000
31_blood,knn,2,0.2407 ± 0.0221
31_blood,knn,3,0.2522 ± 0.0243
31_blood,knn,4,0.2384 ± 0.0319
31_blood,knn,5,0.2462 ± 0.0324
31_blood,knn,6,0.2470 ± 0.0297
31_blood,knn,7,0.2471 ± 0.0275
31_blood,knn,8,0.2486 ± 0.0260
31_blood,knn,9,0.2440 ± 0.0278
31_blood,knn,10,0.2625 ± 0.0613
31_blood,knn,11,0.2650 ± 0.0590
31_blood,knn,12,0.2615 ± 0.0576
31_blood,knn,13,0.2633 ± 0.0557
31_blood,knn,14,0.2652 ± 0.0541
31_blood,knn,15,0.2644 ± 0.0524
31_blood,knn,16,0.2645 ± 0.0507
31_blood,knn,17,0.2654 ± 0.0494
31_blood,knn,18,0.2713 ± 0.0539
31_blood,knn,19,0.2668 ± 0.0558
31_blood,knn,20,0.2664 ± 0.0544
31_blood,knn,21,0.2662 ± 0.0531
31_blood,knn,22,0.2663 ± 0.0519
31_blood,knn,23,0.2663 ± 0.0507
31_blood,knn,24,0.2655 ± 0.0498
31_blood,knn,25,0.2635 ± 0.0498
31_blood,knn,26,0.2654 ± 0.0497
31_blood,knn,27,0.2665 ± 0.0491
31_blood,knn,28,0.2666 ± 0.0482
31_blood,knn,29,0.2686 ± 0.0485
31_blood,knn,30,0.2670 ± 0.0486
31_blood,multi,1,0.5831 ± 0.0000
31_blood,multi,2,0.5684 ± 0.0147
31_blood,multi,3,0.5733 ± 0.0138
31_blood,multi,4,0.5490 ± 0.0438
31_blood,multi,5,0.5535 ± 0.0402
31_blood,multi,6,0.5603 ± 0.0397
31_blood,multi,7,0.5619 ± 0.0370
31_blood,multi,8,0.5660 ± 0.0362
31_blood,multi,9,0.5646 ± 0.0344
31_blood,multi,10,0.5647 ± 0.0326
31_blood,multi,11,0.5632 ± 0.0315
31_blood,multi,12,0.5634 ± 0.0301
31_blood,multi,13,0.5658 ± 0.0301
31_blood,multi,14,0.5670 ± 0.0294
31_blood,multi,15,0.5653 ± 0.0291
31_blood,multi,16,0.5661 ± 0.0283
31_blood,multi,17,0.5661 ± 0.0274
31_blood,multi,18,0.5647 ± 0.0273
31_blood,multi,19,0.5657 ± 0.0268
31_blood,multi,20,0.5663 ± 0.0263
31_blood,multi,21,0.5679 ± 0.0266
31_blood,multi,22,0.5678 ± 0.0260
31_blood,multi,23,0.5661 ± 0.0266
31_blood,multi,24,0.5666 ± 0.0262
31_blood,multi,25,0.5638 ± 0.0291
31_blood,multi,26,0.5634 ± 0.0286
31_blood,multi,27,0.5637 ± 0.0281
31_blood,multi,28,0.5640 ± 0.0276
31_blood,multi,29,0.5638 ± 0.0272
31_blood,multi,30,0.5643 ± 0.0268
31_blood,datawig,1,0.1979 ± 0.0000
31_blood,datawig,2,0.2007 ± 0.0028
31_blood,datawig,3,0.2118 ± 0.0159
31_blood,datawig,4,0.1982 ± 0.0273
31_blood,datawig,5,0.2095 ± 0.0332
31_blood,datawig,6,0.2080 ± 0.0305
31_blood,datawig,7,0.2078 ± 0.0282
31_blood,datawig,8,0.2122 ± 0.0289
31_blood,datawig,9,0.2099 ± 0.0280
31_blood,datawig,10,0.2239 ± 0.0495
31_blood,datawig,11,0.2221 ± 0.0475
31_blood,datawig,12,0.2167 ± 0.0489
31_blood,datawig,13,0.2145 ± 0.0476
31_blood,datawig,14,0.2189 ± 0.0485
31_blood,datawig,15,0.2181 ± 0.0469
31_blood,datawig,16,0.2182 ± 0.0455
31_blood,datawig,17,0.2218 ± 0.0464
31_blood,datawig,18,0.2286 ± 0.0531
31_blood,datawig,19,0.2246 ± 0.0545
31_blood,datawig,20,0.2249 ± 0.0531
31_blood,datawig,21,0.2226 ± 0.0529
31_blood,datawig,22,0.2226 ± 0.0517
31_blood,datawig,23,0.2227 ± 0.0505
31_blood,datawig,24,0.2246 ± 0.0504
31_blood,datawig,25,0.2230 ± 0.0500
31_blood,datawig,26,0.2222 ± 0.0492
31_blood,datawig,27,0.2226 ± 0.0483
31_blood,datawig,28,0.2216 ± 0.0477
31_blood,datawig,29,0.2244 ± 0.0491
31_blood,datawig,30,0.2227 ± 0.0492
