Dataset,method,Experiment,RMSE
32_audit,multi,1,0.6841 ± 0.0000
32_audit,multi,2,0.6793 ± 0.0047
32_audit,multi,3,0.6960 ± 0.0239
32_audit,multi,4,0.6965 ± 0.0207
32_audit,multi,5,0.7022 ± 0.0218
32_audit,multi,6,0.6850 ± 0.0432
32_audit,multi,7,0.6836 ± 0.0402
32_audit,multi,8,0.6865 ± 0.0384
32_audit,multi,9,0.6918 ± 0.0391
32_audit,multi,10,0.6919 ± 0.0371
32_audit,multi,11,0.6925 ± 0.0355
32_audit,multi,12,0.6922 ± 0.0340
32_audit,multi,13,0.6886 ± 0.0349
32_audit,multi,14,0.6851 ± 0.0358
32_audit,multi,15,0.6869 ± 0.0353
32_audit,multi,16,0.6887 ± 0.0349
32_audit,multi,17,0.6879 ± 0.0340
32_audit,multi,18,0.6866 ± 0.0334
32_audit,multi,19,0.6879 ± 0.0330
32_audit,multi,20,0.6875 ± 0.0322
32_audit,multi,21,0.6874 ± 0.0315
32_audit,multi,22,0.6897 ± 0.0325
32_audit,multi,23,0.6906 ± 0.0321
32_audit,multi,24,0.6911 ± 0.0315
32_audit,multi,25,0.6906 ± 0.0310
32_audit,multi,26,0.6906 ± 0.0304
32_audit,multi,27,0.6910 ± 0.0299
32_audit,multi,28,0.6903 ± 0.0296
32_audit,multi,29,0.6919 ± 0.0304
32_audit,multi,30,0.6927 ± 0.0302
32_audit,knn,1,0.2198 ± 0.0000
32_audit,knn,2,0.2123 ± 0.0074
32_audit,knn,3,0.2098 ± 0.0071
32_audit,knn,4,0.2058 ± 0.0092
32_audit,knn,5,0.2058 ± 0.0083
32_audit,knn,6,0.2030 ± 0.0098
32_audit,knn,7,0.2058 ± 0.0114
32_audit,knn,8,0.2016 ± 0.0155
32_audit,knn,9,0.2024 ± 0.0148
32_audit,knn,10,0.2010 ± 0.0146
32_audit,knn,11,0.2009 ± 0.0139
32_audit,knn,12,0.1993 ± 0.0143
32_audit,knn,13,0.1994 ± 0.0138
32_audit,knn,14,0.1987 ± 0.0136
32_audit,knn,15,0.1975 ± 0.0138
32_audit,knn,16,0.1963 ± 0.0141
32_audit,knn,17,0.1954 ± 0.0142
32_audit,knn,18,0.1958 ± 0.0140
32_audit,knn,19,0.1953 ± 0.0138
32_audit,knn,20,0.1943 ± 0.0141
32_audit,knn,21,0.1938 ± 0.0140
32_audit,knn,22,0.1946 ± 0.0141
32_audit,knn,23,0.1947 ± 0.0138
32_audit,knn,24,0.1953 ± 0.0138
32_audit,knn,25,0.1959 ± 0.0138
32_audit,knn,26,0.1954 ± 0.0137
32_audit,knn,27,0.1948 ± 0.0139
32_audit,knn,28,0.1943 ± 0.0139
32_audit,knn,29,0.1936 ± 0.0141
32_audit,knn,30,0.1926 ± 0.0148
32_audit,datawig,1,0.4887 ± 0.0000
32_audit,datawig,2,0.4947 ± 0.0061
32_audit,datawig,3,0.4794 ± 0.0222
32_audit,datawig,4,0.4632 ± 0.0341
32_audit,datawig,5,0.4855 ± 0.0539
32_audit,datawig,6,0.4751 ± 0.0545
32_audit,datawig,7,0.4686 ± 0.0529
32_audit,datawig,8,0.4616 ± 0.0528
32_audit,datawig,9,0.4617 ± 0.0498
32_audit,datawig,10,0.4571 ± 0.0491
32_audit,datawig,11,0.4514 ± 0.0502
32_audit,datawig,12,0.4544 ± 0.0491
32_audit,datawig,13,0.4541 ± 0.0472
32_audit,datawig,14,0.4508 ± 0.0470
32_audit,datawig,15,0.4531 ± 0.0462
32_audit,datawig,16,0.4463 ± 0.0518
32_audit,datawig,17,0.4469 ± 0.0503
32_audit,datawig,18,0.4459 ± 0.0490
32_audit,datawig,19,0.4458 ± 0.0477
32_audit,datawig,20,0.4393 ± 0.0543
32_audit,datawig,21,0.4378 ± 0.0535
32_audit,datawig,22,0.4449 ± 0.0615
32_audit,datawig,23,0.4411 ± 0.0627
32_audit,datawig,24,0.4353 ± 0.0674
32_audit,datawig,25,0.4399 ± 0.0698
32_audit,datawig,26,0.4362 ± 0.0710
32_audit,datawig,27,0.4377 ± 0.0700
32_audit,datawig,28,0.4423 ± 0.0728
32_audit,datawig,29,0.4433 ± 0.0718
32_audit,datawig,30,0.4414 ± 0.0712
32_audit,knn,1,0.2198 ± 0.0000
32_audit,knn,2,0.2123 ± 0.0074
32_audit,knn,3,0.2098 ± 0.0071
32_audit,knn,4,0.2058 ± 0.0092
32_audit,knn,5,0.2058 ± 0.0083
32_audit,knn,6,0.2030 ± 0.0098
32_audit,knn,7,0.2058 ± 0.0114
32_audit,knn,8,0.2016 ± 0.0155
32_audit,knn,9,0.2024 ± 0.0148
32_audit,knn,10,0.2010 ± 0.0146
32_audit,knn,11,0.2009 ± 0.0139
32_audit,knn,12,0.1993 ± 0.0143
32_audit,knn,13,0.1994 ± 0.0138
32_audit,knn,14,0.1987 ± 0.0136
32_audit,knn,15,0.1975 ± 0.0138
32_audit,knn,16,0.1963 ± 0.0141
32_audit,knn,17,0.1954 ± 0.0142
32_audit,knn,18,0.1958 ± 0.0140
32_audit,knn,19,0.1953 ± 0.0138
32_audit,knn,20,0.1943 ± 0.0141
32_audit,knn,21,0.1938 ± 0.0140
32_audit,knn,22,0.1946 ± 0.0141
32_audit,knn,23,0.1947 ± 0.0138
32_audit,knn,24,0.1953 ± 0.0138
