Dataset,method,Experiment,RMSE
33_forty,knn,1,0.3202 ± 0.0000
33_forty,knn,2,0.3186 ± 0.0016
33_forty,knn,3,0.3172 ± 0.0024
33_forty,knn,4,0.3179 ± 0.0025
33_forty,knn,5,0.3145 ± 0.0071
33_forty,knn,6,0.3085 ± 0.0149
33_forty,knn,7,0.3063 ± 0.0148
33_forty,knn,8,0.3064 ± 0.0139
33_forty,knn,9,0.3090 ± 0.0150
33_forty,knn,10,0.3100 ± 0.0145
33_forty,knn,11,0.3065 ± 0.0176
33_forty,knn,12,0.3115 ± 0.0236
33_forty,knn,13,0.3170 ± 0.0296
33_forty,knn,14,0.3154 ± 0.0292
33_forty,knn,15,0.3175 ± 0.0293
33_forty,knn,16,0.3158 ± 0.0291
33_forty,knn,17,0.3166 ± 0.0284
33_forty,knn,18,0.3174 ± 0.0278
33_forty,knn,19,0.3185 ± 0.0274
33_forty,knn,20,0.3188 ± 0.0268
33_forty,knn,21,0.3204 ± 0.0271
33_forty,knn,22,0.3200 ± 0.0265
33_forty,knn,23,0.3194 ± 0.0261
33_forty,knn,24,0.3181 ± 0.0263
33_forty,knn,25,0.3163 ± 0.0272
33_forty,knn,26,0.3153 ± 0.0272
33_forty,knn,27,0.3139 ± 0.0275
33_forty,knn,28,0.3147 ± 0.0273
33_forty,knn,29,0.3158 ± 0.0274
33_forty,knn,30,0.3151 ± 0.0271
33_forty,datawig,1,0.2467 ± 0.0000
33_forty,datawig,2,0.2566 ± 0.0100
33_forty,datawig,3,0.2732 ± 0.0248
33_forty,datawig,4,0.2667 ± 0.0243
33_forty,datawig,5,0.2667 ± 0.0217
33_forty,datawig,6,0.2602 ± 0.0246
33_forty,datawig,7,0.2560 ± 0.0249
33_forty,datawig,8,0.2501 ± 0.0281
33_forty,datawig,9,0.2537 ± 0.0284
33_forty,datawig,10,0.2571 ± 0.0288
33_forty,datawig,11,0.2582 ± 0.0276
33_forty,datawig,12,0.2596 ± 0.0269
33_forty,datawig,13,0.2628 ± 0.0280
33_forty,datawig,14,0.2613 ± 0.0275
33_forty,datawig,15,0.2611 ± 0.0265
33_forty,datawig,16,0.2599 ± 0.0261
33_forty,datawig,17,0.2625 ± 0.0273
33_forty,datawig,18,0.2653 ± 0.0289
33_forty,datawig,19,0.2657 ± 0.0282
33_forty,datawig,20,0.2651 ± 0.0276
33_forty,datawig,21,0.2666 ± 0.0278
33_forty,datawig,22,0.2656 ± 0.0275
33_forty,datawig,23,0.2646 ± 0.0273
33_forty,datawig,24,0.2647 ± 0.0268
33_forty,datawig,25,0.2631 ± 0.0273
33_forty,datawig,26,0.2617 ± 0.0277
33_forty,datawig,27,0.2600 ± 0.0286
33_forty,datawig,28,0.2601 ± 0.0280
33_forty,datawig,29,0.2611 ± 0.0281
33_forty,datawig,30,0.2602 ± 0.0280
33_forty,multi,1,1.1592 ± 0.0000
33_forty,multi,2,1.2231 ± 0.0639
33_forty,multi,3,1.2279 ± 0.0526
33_forty,multi,4,1.2255 ± 0.0457
33_forty,multi,5,1.2291 ± 0.0415
33_forty,multi,6,1.2241 ± 0.0396
33_forty,multi,7,1.2374 ± 0.0490
33_forty,multi,8,1.2428 ± 0.0480
33_forty,multi,9,1.2394 ± 0.0463
33_forty,multi,10,1.2307 ± 0.0511
33_forty,multi,11,1.2324 ± 0.0490
33_forty,multi,12,1.2375 ± 0.0498
33_forty,multi,13,1.2413 ± 0.0497
33_forty,multi,14,1.2415 ± 0.0478
33_forty,multi,15,1.2425 ± 0.0464
33_forty,multi,16,1.2429 ± 0.0449
33_forty,multi,17,1.2455 ± 0.0448
33_forty,multi,18,1.2511 ± 0.0493
33_forty,multi,19,1.2530 ± 0.0486
33_forty,multi,20,1.2506 ± 0.0485
33_forty,multi,21,1.2524 ± 0.0480
33_forty,multi,22,1.2531 ± 0.0470
33_forty,multi,23,1.2564 ± 0.0485
33_forty,multi,24,1.2599 ± 0.0504
33_forty,multi,25,1.2567 ± 0.0518
33_forty,multi,26,1.2578 ± 0.0511
33_forty,multi,27,1.2587 ± 0.0504
33_forty,multi,28,1.2588 ± 0.0495
33_forty,multi,29,1.2585 ± 0.0486
33_forty,multi,30,1.2588 ± 0.0478
