Dataset,method,Experiment,RMSE
33_thoracic,datawig,1,0.4537 ± 0.0000
33_thoracic,datawig,2,0.4748 ± 0.0210
33_thoracic,datawig,3,0.4438 ± 0.0471
33_thoracic,datawig,4,0.4678 ± 0.0582
33_thoracic,datawig,5,0.4938 ± 0.0737
33_thoracic,datawig,6,0.5014 ± 0.0694
33_thoracic,datawig,7,0.5134 ± 0.0706
33_thoracic,datawig,8,0.5113 ± 0.0663
33_thoracic,datawig,9,0.5143 ± 0.0630
33_thoracic,datawig,10,0.5268 ± 0.0706
33_thoracic,datawig,11,0.5219 ± 0.0691
33_thoracic,datawig,12,0.5129 ± 0.0726
33_thoracic,datawig,13,0.5182 ± 0.0721
33_thoracic,datawig,14,0.5085 ± 0.0778
33_thoracic,datawig,15,0.5071 ± 0.0753
33_thoracic,datawig,16,0.5022 ± 0.0754
33_thoracic,datawig,17,0.4979 ± 0.0751
33_thoracic,datawig,18,0.4981 ± 0.0730
33_thoracic,datawig,19,0.4960 ± 0.0716
33_thoracic,datawig,20,0.4902 ± 0.0743
33_thoracic,datawig,21,0.4882 ± 0.0731
33_thoracic,datawig,22,0.4927 ± 0.0743
33_thoracic,datawig,23,0.4932 ± 0.0728
33_thoracic,datawig,24,0.4897 ± 0.0732
33_thoracic,datawig,25,0.4883 ± 0.0720
33_thoracic,datawig,26,0.4902 ± 0.0713
33_thoracic,datawig,27,0.4926 ± 0.0711
33_thoracic,datawig,28,0.4910 ± 0.0703
33_thoracic,datawig,29,0.4930 ± 0.0698
33_thoracic,datawig,30,0.4964 ± 0.0711
