Dataset,method,Experiment,RMSE
3_adult,datawig,1,0.2123 ± 0.0000
3_adult,datawig,2,0.2185 ± 0.0062
3_adult,datawig,3,0.2167 ± 0.0057
3_adult,datawig,4,0.2149 ± 0.0059
3_adult,datawig,5,0.2156 ± 0.0054
3_adult,datawig,6,0.2152 ± 0.0050
3_adult,datawig,7,0.2154 ± 0.0047
3_adult,datawig,8,0.2165 ± 0.0053
3_adult,datawig,9,0.2163 ± 0.0051
3_adult,datawig,10,0.2158 ± 0.0050
3_adult,datawig,11,0.2156 ± 0.0048
3_adult,datawig,12,0.2150 ± 0.0050
3_adult,datawig,13,0.2147 ± 0.0050
3_adult,datawig,14,0.2144 ± 0.0049
3_adult,datawig,15,0.2143 ± 0.0047
3_adult,datawig,16,0.2141 ± 0.0046
3_adult,datawig,17,0.2139 ± 0.0046
3_adult,datawig,18,0.2139 ± 0.0044
3_adult,datawig,19,0.2137 ± 0.0044
3_adult,datawig,20,0.2136 ± 0.0043
3_adult,datawig,21,0.2137 ± 0.0042
3_adult,datawig,22,0.2136 ± 0.0041
3_adult,datawig,23,0.2136 ± 0.0040
3_adult,datawig,24,0.2136 ± 0.0039
3_adult,datawig,25,0.2135 ± 0.0038
3_adult,datawig,26,0.2137 ± 0.0039
3_adult,datawig,27,0.2137 ± 0.0038
3_adult,datawig,28,0.2137 ± 0.0037
3_adult,datawig,29,0.2138 ± 0.0037
3_adult,datawig,30,0.2137 ± 0.0037
3_adult,multi,1,0.5806 ± 0.0000
3_adult,multi,2,0.5808 ± 0.0003
3_adult,multi,3,0.5801 ± 0.0011
3_adult,multi,4,0.5805 ± 0.0012
3_adult,multi,5,0.5809 ± 0.0014
3_adult,multi,6,0.5798 ± 0.0029
3_adult,multi,7,0.5802 ± 0.0029
3_adult,multi,8,0.5799 ± 0.0028
3_adult,multi,9,0.5803 ± 0.0029
3_adult,multi,10,0.5799 ± 0.0031
3_adult,multi,11,0.5792 ± 0.0036
3_adult,multi,12,0.5794 ± 0.0035
3_adult,multi,13,0.5800 ± 0.0038
3_adult,multi,14,0.5802 ± 0.0038
3_adult,multi,15,0.5803 ± 0.0037
3_adult,multi,16,0.5803 ± 0.0036
3_adult,multi,17,0.5802 ± 0.0035
3_adult,multi,18,0.5805 ± 0.0035
3_adult,multi,19,0.5804 ± 0.0034
3_adult,multi,20,0.5802 ± 0.0035
3_adult,multi,21,0.5803 ± 0.0034
3_adult,multi,22,0.5804 ± 0.0034
3_adult,multi,23,0.5805 ± 0.0033
3_adult,multi,24,0.5805 ± 0.0032
3_adult,multi,25,0.5806 ± 0.0032
3_adult,multi,26,0.5808 ± 0.0033
3_adult,multi,27,0.5807 ± 0.0034
3_adult,multi,28,0.5806 ± 0.0033
3_adult,multi,29,0.5804 ± 0.0033
3_adult,multi,30,0.5806 ± 0.0033
3_adult,knn,1,0.2539 ± 0.0000
3_adult,knn,2,0.2572 ± 0.0033
3_adult,knn,3,0.2567 ± 0.0028
3_adult,knn,4,0.2561 ± 0.0027
3_adult,knn,5,0.2565 ± 0.0025
3_adult,knn,6,0.2572 ± 0.0028
3_adult,knn,7,0.2579 ± 0.0030
3_adult,knn,8,0.2580 ± 0.0029
3_adult,knn,9,0.2586 ± 0.0031
3_adult,knn,10,0.2585 ± 0.0030
3_adult,knn,11,0.2585 ± 0.0028
3_adult,knn,12,0.2583 ± 0.0028
3_adult,knn,13,0.2583 ± 0.0027
3_adult,knn,14,0.2584 ± 0.0026
3_adult,knn,15,0.2585 ± 0.0026
3_adult,knn,16,0.2583 ± 0.0026
3_adult,knn,17,0.2586 ± 0.0027
3_adult,knn,18,0.2590 ± 0.0031
3_adult,knn,19,0.2587 ± 0.0032
3_adult,knn,20,0.2589 ± 0.0032
3_adult,knn,21,0.2591 ± 0.0032
3_adult,knn,22,0.2588 ± 0.0034
3_adult,knn,23,0.2588 ± 0.0033
3_adult,knn,24,0.2588 ± 0.0032
3_adult,knn,25,0.2588 ± 0.0032
3_adult,knn,26,0.2589 ± 0.0032
3_adult,knn,27,0.2589 ± 0.0031
3_adult,knn,28,0.2589 ± 0.0031
3_adult,knn,29,0.2592 ± 0.0034
3_adult,knn,30,0.2592 ± 0.0033
