Dataset,method,Experiment,RMSE
4_wine,datawig,1,0.2726 ± 0.0000
4_wine,datawig,2,0.2878 ± 0.0152
4_wine,datawig,3,0.2733 ± 0.0240
4_wine,datawig,4,0.2825 ± 0.0263
4_wine,datawig,5,0.2783 ± 0.0250
4_wine,datawig,6,0.2733 ± 0.0254
4_wine,datawig,7,0.2723 ± 0.0236
4_wine,datawig,8,0.2732 ± 0.0222
4_wine,datawig,9,0.2727 ± 0.0210
4_wine,datawig,10,0.2715 ± 0.0203
4_wine,datawig,11,0.2737 ± 0.0205
4_wine,datawig,12,0.2724 ± 0.0201
4_wine,datawig,13,0.2743 ± 0.0205
4_wine,datawig,14,0.2787 ± 0.0252
4_wine,datawig,15,0.2779 ± 0.0245
4_wine,datawig,16,0.2782 ± 0.0238
4_wine,datawig,17,0.2782 ± 0.0231
4_wine,datawig,18,0.2792 ± 0.0228
4_wine,datawig,19,0.2804 ± 0.0228
4_wine,datawig,20,0.2816 ± 0.0228
4_wine,datawig,21,0.2834 ± 0.0237
4_wine,datawig,22,0.2838 ± 0.0233
4_wine,datawig,23,0.2839 ± 0.0227
4_wine,datawig,24,0.2835 ± 0.0223
4_wine,datawig,25,0.2819 ± 0.0232
4_wine,datawig,26,0.2816 ± 0.0228
4_wine,datawig,27,0.2818 ± 0.0224
4_wine,datawig,28,0.2824 ± 0.0222
4_wine,datawig,29,0.2818 ± 0.0221
4_wine,datawig,30,0.2811 ± 0.0220
4_wine,multi,1,0.6455 ± 0.0000
4_wine,multi,2,0.7046 ± 0.0591
4_wine,multi,3,0.6701 ± 0.0687
4_wine,multi,4,0.6793 ± 0.0616
4_wine,multi,5,0.6809 ± 0.0552
4_wine,multi,6,0.6977 ± 0.0629
4_wine,multi,7,0.6933 ± 0.0592
4_wine,multi,8,0.6788 ± 0.0674
4_wine,multi,9,0.6841 ± 0.0653
4_wine,multi,10,0.6883 ± 0.0632
4_wine,multi,11,0.6900 ± 0.0605
4_wine,multi,12,0.6898 ± 0.0579
4_wine,multi,13,0.6926 ± 0.0565
4_wine,multi,14,0.6950 ± 0.0551
4_wine,multi,15,0.6838 ± 0.0678
4_wine,multi,16,0.6814 ± 0.0663
4_wine,multi,17,0.6793 ± 0.0649
4_wine,multi,18,0.6819 ± 0.0639
4_wine,multi,19,0.6843 ± 0.0630
4_wine,multi,20,0.6823 ± 0.0620
4_wine,multi,21,0.6826 ± 0.0605
4_wine,multi,22,0.6837 ± 0.0594
4_wine,multi,23,0.6830 ± 0.0582
4_wine,multi,24,0.6805 ± 0.0582
4_wine,multi,25,0.6799 ± 0.0570
4_wine,multi,26,0.6802 ± 0.0560
4_wine,multi,27,0.6812 ± 0.0551
4_wine,multi,28,0.6783 ± 0.0562
4_wine,multi,29,0.6793 ± 0.0554
4_wine,multi,30,0.6789 ± 0.0545
4_wine,knn,1,0.2531 ± 0.0000
4_wine,knn,2,0.2603 ± 0.0072
4_wine,knn,3,0.2442 ± 0.0235
4_wine,knn,4,0.2407 ± 0.0213
4_wine,knn,5,0.2479 ± 0.0239
4_wine,knn,6,0.2488 ± 0.0219
4_wine,knn,7,0.2452 ± 0.0221
4_wine,knn,8,0.2470 ± 0.0212
4_wine,knn,9,0.2482 ± 0.0203
4_wine,knn,10,0.2519 ± 0.0222
4_wine,knn,11,0.2560 ± 0.0249
4_wine,knn,12,0.2564 ± 0.0239
4_wine,knn,13,0.2566 ± 0.0229
4_wine,knn,14,0.2601 ± 0.0254
4_wine,knn,15,0.2571 ± 0.0269
4_wine,knn,16,0.2585 ± 0.0266
4_wine,knn,17,0.2629 ± 0.0311
4_wine,knn,18,0.2643 ± 0.0308
4_wine,knn,19,0.2631 ± 0.0303
4_wine,knn,20,0.2659 ± 0.0319
4_wine,knn,21,0.2668 ± 0.0314
4_wine,knn,22,0.2689 ± 0.0323
4_wine,knn,23,0.2690 ± 0.0316
4_wine,knn,24,0.2680 ± 0.0312
4_wine,knn,25,0.2664 ± 0.0316
4_wine,knn,26,0.2676 ± 0.0315
4_wine,knn,27,0.2682 ± 0.0311
4_wine,knn,28,0.2691 ± 0.0309
4_wine,knn,29,0.2682 ± 0.0308
4_wine,knn,30,0.2672 ± 0.0307
