Dataset,method,Experiment,RMSE
5_spambase,datawig,1,0.1983 ± 0.0000
5_spambase,datawig,2,0.1865 ± 0.0119
5_spambase,datawig,3,0.2522 ± 0.0934
5_spambase,datawig,4,0.2580 ± 0.0815
5_spambase,datawig,5,0.2620 ± 0.0733
5_spambase,datawig,6,0.2539 ± 0.0694
5_spambase,datawig,7,0.2606 ± 0.0663
5_spambase,datawig,8,0.2687 ± 0.0657
5_spambase,datawig,9,0.2725 ± 0.0628
5_spambase,datawig,10,0.2658 ± 0.0630
5_spambase,datawig,11,0.2665 ± 0.0601
5_spambase,datawig,12,0.2655 ± 0.0576
5_spambase,datawig,13,0.2625 ± 0.0563
5_spambase,datawig,14,0.2617 ± 0.0544
5_spambase,datawig,15,0.2626 ± 0.0526
5_spambase,datawig,16,0.2625 ± 0.0510
5_spambase,datawig,17,0.2600 ± 0.0504
5_spambase,datawig,18,0.2562 ± 0.0514
5_spambase,datawig,19,0.2559 ± 0.0501
5_spambase,datawig,20,0.2511 ± 0.0531
5_spambase,datawig,21,0.2517 ± 0.0519
5_spambase,datawig,22,0.2505 ± 0.0510
5_spambase,datawig,23,0.2475 ± 0.0518
5_spambase,datawig,24,0.2457 ± 0.0515
5_spambase,datawig,25,0.2451 ± 0.0505
5_spambase,datawig,26,0.2472 ± 0.0507
5_spambase,datawig,27,0.2434 ± 0.0533
5_spambase,datawig,28,0.2431 ± 0.0524
5_spambase,datawig,29,0.2453 ± 0.0527
5_spambase,datawig,30,0.2467 ± 0.0524
5_spambase,multi,1,0.7033 ± 0.0000
5_spambase,multi,2,0.6962 ± 0.0070
5_spambase,multi,3,0.6918 ± 0.0085
5_spambase,multi,4,0.6915 ± 0.0074
5_spambase,multi,5,0.6922 ± 0.0067
5_spambase,multi,6,0.6930 ± 0.0064
5_spambase,multi,7,0.6942 ± 0.0067
5_spambase,multi,8,0.6927 ± 0.0074
5_spambase,multi,9,0.6940 ± 0.0080
5_spambase,multi,10,0.6917 ± 0.0103
