Dataset,method,Experiment,RMSE
6_chess,datawig,1,0.8689 ± 0.0000
6_chess,datawig,2,0.8617 ± 0.0000
6_chess,datawig,3,0.8549 ± 0.0000
6_chess,datawig,4,0.8641 ± 0.0000
6_chess,datawig,5,0.8696 ± 0.0000
6_chess,datawig,6,0.8663 ± 0.0000
6_chess,datawig,7,0.8718 ± 0.0000
6_chess,datawig,8,0.8757 ± 0.0000
6_chess,datawig,9,0.8577 ± 0.0000
6_chess,datawig,10,0.8726 ± 0.0000
6_chess,datawig,11,0.8609 ± 0.0000
6_chess,datawig,12,0.8748 ± 0.0000
6_chess,datawig,13,0.8721 ± 0.0000
6_chess,datawig,14,0.8648 ± 0.0000
6_chess,datawig,15,0.8729 ± 0.0000
6_chess,datawig,16,0.8722 ± 0.0000
6_chess,datawig,17,0.8614 ± 0.0000
6_chess,datawig,18,0.8709 ± 0.0000
6_chess,datawig,19,0.8657 ± 0.0000
6_chess,datawig,20,0.8501 ± 0.0000
6_chess,datawig,21,0.8584 ± 0.0000
6_chess,datawig,22,0.8609 ± 0.0000
6_chess,datawig,23,0.8617 ± 0.0000
6_chess,datawig,24,0.8625 ± 0.0000
6_chess,datawig,25,0.8684 ± 0.0000
6_chess,datawig,26,0.8640 ± 0.0000
6_chess,datawig,27,0.8606 ± 0.0000
6_chess,datawig,28,0.8633 ± 0.0000
6_chess,datawig,29,0.8670 ± 0.0000
6_chess,datawig,30,0.8640 ± 0.0000
6_chess,multi,1,0.3869 ± 0.0000
6_chess,multi,2,0.3914 ± 0.0044
6_chess,multi,3,0.3914 ± 0.0036
6_chess,multi,4,0.3922 ± 0.0034
6_chess,multi,5,0.3920 ± 0.0031
6_chess,multi,6,0.3921 ± 0.0028
6_chess,multi,7,0.3916 ± 0.0029
6_chess,multi,8,0.3909 ± 0.0034
6_chess,multi,9,0.3899 ± 0.0042
6_chess,multi,10,0.3892 ± 0.0045
6_chess,multi,11,0.3890 ± 0.0043
6_chess,multi,12,0.3897 ± 0.0048
6_chess,multi,13,0.3900 ± 0.0047
6_chess,multi,14,0.3895 ± 0.0049
6_chess,multi,15,0.3892 ± 0.0049
6_chess,multi,16,0.3886 ± 0.0052
6_chess,multi,17,0.3890 ± 0.0052
6_chess,multi,18,0.3887 ± 0.0051
6_chess,multi,19,0.3888 ± 0.0050
6_chess,multi,20,0.3887 ± 0.0049
6_chess,multi,21,0.3889 ± 0.0049
6_chess,multi,22,0.3889 ± 0.0047
6_chess,multi,23,0.3889 ± 0.0046
6_chess,multi,24,0.3888 ± 0.0046
6_chess,multi,25,0.3887 ± 0.0045
6_chess,multi,26,0.3887 ± 0.0044
6_chess,multi,27,0.3886 ± 0.0044
6_chess,multi,28,0.3885 ± 0.0043
6_chess,multi,29,0.3885 ± 0.0042
6_chess,multi,30,0.3885 ± 0.0041
6_chess,knn,1,1.2322 ± 0.0000
6_chess,knn,2,1.2496 ± 0.0000
6_chess,knn,3,1.1665 ± 0.0000
6_chess,knn,4,1.2411 ± 0.0000
6_chess,knn,5,1.2305 ± 0.0000
6_chess,knn,6,1.1801 ± 0.0000
6_chess,knn,7,1.1735 ± 0.0000
6_chess,knn,8,1.1659 ± 0.0000
6_chess,knn,9,1.1640 ± 0.0000
6_chess,knn,10,1.1795 ± 0.0000
6_chess,knn,11,1.1916 ± 0.0000
6_chess,knn,12,1.1969 ± 0.0000
6_chess,knn,13,1.2418 ± 0.0000
6_chess,knn,14,1.2879 ± 0.0000
6_chess,knn,15,1.1931 ± 0.0000
6_chess,knn,16,1.2235 ± 0.0000
6_chess,knn,17,1.1605 ± 0.0000
6_chess,knn,18,1.2385 ± 0.0000
6_chess,knn,19,1.2077 ± 0.0000
6_chess,knn,20,1.1567 ± 0.0000
6_chess,knn,21,1.2004 ± 0.0000
6_chess,knn,22,1.1756 ± 0.0000
6_chess,knn,23,1.1541 ± 0.0000
6_chess,knn,24,1.1185 ± 0.0000
6_chess,knn,25,1.2294 ± 0.0000
6_chess,knn,26,1.1927 ± 0.0000
6_chess,knn,27,1.2286 ± 0.0000
6_chess,knn,28,1.2069 ± 0.0000
6_chess,knn,29,1.2051 ± 0.0000
6_chess,knn,30,1.1453 ± 0.0000
