Dataset,method,Experiment,RMSE
8_liver,datawig,1,0.2415 ± 0.0000
8_liver,datawig,2,0.2676 ± 0.0261
8_liver,datawig,3,0.2543 ± 0.0284
8_liver,datawig,4,0.2529 ± 0.0248
8_liver,datawig,5,0.2552 ± 0.0226
8_liver,datawig,6,0.2554 ± 0.0207
8_liver,datawig,7,0.2621 ± 0.0252
8_liver,datawig,8,0.2640 ± 0.0241
8_liver,datawig,9,0.2663 ± 0.0236
8_liver,datawig,10,0.2637 ± 0.0237
8_liver,datawig,11,0.2649 ± 0.0229
8_liver,datawig,12,0.2633 ± 0.0225
8_liver,datawig,13,0.2672 ± 0.0255
8_liver,datawig,14,0.2679 ± 0.0247
8_liver,datawig,15,0.2672 ± 0.0240
8_liver,datawig,16,0.2664 ± 0.0235
8_liver,datawig,17,0.2634 ± 0.0257
8_liver,datawig,18,0.2633 ± 0.0250
8_liver,datawig,19,0.2619 ± 0.0251
8_liver,datawig,20,0.2614 ± 0.0245
8_liver,datawig,21,0.2595 ± 0.0253
8_liver,datawig,22,0.2614 ± 0.0262
8_liver,datawig,23,0.2601 ± 0.0263
8_liver,datawig,24,0.2606 ± 0.0259
8_liver,datawig,25,0.2593 ± 0.0262
8_liver,datawig,26,0.2596 ± 0.0257
8_liver,datawig,27,0.2597 ± 0.0252
8_liver,datawig,28,0.2605 ± 0.0251
8_liver,datawig,29,0.2616 ± 0.0254
8_liver,datawig,30,0.2593 ± 0.0279
8_liver,multi,1,0.3612 ± 0.0000
8_liver,multi,2,0.3010 ± 0.0602
8_liver,multi,3,0.2904 ± 0.0514
8_liver,multi,4,0.2603 ± 0.0684
8_liver,multi,5,0.2673 ± 0.0628
8_liver,multi,6,0.2575 ± 0.0613
8_liver,multi,7,0.2628 ± 0.0583
8_liver,multi,8,0.2601 ± 0.0550
8_liver,multi,9,0.2579 ± 0.0522
8_liver,multi,10,0.2442 ± 0.0645
8_liver,multi,11,0.2439 ± 0.0615
8_liver,multi,12,0.2409 ± 0.0597
8_liver,multi,13,0.2355 ± 0.0603
8_liver,multi,14,0.2335 ± 0.0585
8_liver,multi,15,0.2319 ± 0.0569
8_liver,multi,16,0.2324 ± 0.0551
8_liver,multi,17,0.2288 ± 0.0555
8_liver,multi,18,0.2294 ± 0.0540
8_liver,multi,19,0.2283 ± 0.0527
8_liver,multi,20,0.2290 ± 0.0515
8_liver,multi,21,0.2280 ± 0.0504
8_liver,multi,22,0.2286 ± 0.0493
8_liver,multi,23,0.2277 ± 0.0484
8_liver,multi,24,0.2282 ± 0.0475
8_liver,multi,25,0.2275 ± 0.0467
8_liver,multi,26,0.2291 ± 0.0465
8_liver,multi,27,0.2269 ± 0.0469
8_liver,multi,28,0.2293 ± 0.0478
8_liver,multi,29,0.2286 ± 0.0471
8_liver,multi,30,0.2290 ± 0.0464
