Dataset,method,Experiment,RMSE
9_abalone,multi,1,0.6433 ± 0.0000
9_abalone,multi,2,0.6570 ± 0.0137
9_abalone,multi,3,0.6521 ± 0.0131
9_abalone,multi,4,0.6529 ± 0.0114
9_abalone,multi,5,0.6579 ± 0.0142
9_abalone,multi,6,0.6570 ± 0.0132
9_abalone,multi,7,0.6558 ± 0.0125
9_abalone,multi,8,0.6539 ± 0.0127
9_abalone,multi,9,0.6559 ± 0.0132
9_abalone,multi,10,0.6582 ± 0.0144
9_abalone,multi,11,0.6601 ± 0.0149
9_abalone,multi,12,0.6592 ± 0.0146
9_abalone,multi,13,0.6593 ± 0.0140
9_abalone,multi,14,0.6582 ± 0.0140
9_abalone,multi,15,0.6576 ± 0.0138
9_abalone,multi,16,0.6578 ± 0.0134
9_abalone,multi,17,0.6567 ± 0.0137
9_abalone,multi,18,0.6562 ± 0.0135
9_abalone,multi,19,0.6561 ± 0.0131
9_abalone,multi,20,0.6570 ± 0.0133
9_abalone,multi,21,0.6564 ± 0.0133
9_abalone,multi,22,0.6561 ± 0.0130
9_abalone,multi,23,0.6562 ± 0.0128
9_abalone,multi,24,0.6562 ± 0.0125
9_abalone,multi,25,0.6558 ± 0.0124
9_abalone,multi,26,0.6563 ± 0.0123
9_abalone,multi,27,0.6563 ± 0.0121
9_abalone,multi,28,0.6561 ± 0.0119
9_abalone,multi,29,0.6569 ± 0.0125
9_abalone,multi,30,0.6571 ± 0.0123
9_abalone,datawig,1,0.4630 ± 0.0000
9_abalone,datawig,2,0.4828 ± 0.0198
9_abalone,datawig,3,0.5011 ± 0.0305
9_abalone,datawig,4,0.4986 ± 0.0268
9_abalone,datawig,5,0.5036 ± 0.0260
9_abalone,datawig,6,0.5082 ± 0.0258
9_abalone,datawig,7,0.5165 ± 0.0314
9_abalone,datawig,8,0.5271 ± 0.0405
9_abalone,datawig,9,0.5305 ± 0.0394
9_abalone,datawig,10,0.5196 ± 0.0497
9_abalone,datawig,11,0.5181 ± 0.0476
9_abalone,datawig,12,0.5178 ± 0.0456
9_abalone,datawig,13,0.5155 ± 0.0445
9_abalone,datawig,14,0.5130 ± 0.0438
9_abalone,datawig,15,0.5122 ± 0.0425
9_abalone,datawig,16,0.5127 ± 0.0411
9_abalone,datawig,17,0.5102 ± 0.0412
9_abalone,datawig,18,0.5087 ± 0.0404
9_abalone,datawig,19,0.5117 ± 0.0413
9_abalone,datawig,20,0.5094 ± 0.0416
9_abalone,datawig,21,0.5129 ± 0.0435
9_abalone,datawig,22,0.5136 ± 0.0426
9_abalone,datawig,23,0.5117 ± 0.0426
9_abalone,datawig,24,0.5087 ± 0.0442
9_abalone,datawig,25,0.5085 ± 0.0434
9_abalone,datawig,26,0.5086 ± 0.0425
9_abalone,datawig,27,0.5075 ± 0.0422
9_abalone,datawig,28,0.5098 ± 0.0432
9_abalone,datawig,29,0.5116 ± 0.0434
9_abalone,datawig,30,0.5112 ± 0.0427
9_abalone,knn,1,0.5603 ± 0.0000
9_abalone,knn,2,0.5636 ± 0.0033
9_abalone,knn,3,0.5588 ± 0.0073
9_abalone,knn,4,0.5594 ± 0.0064
9_abalone,knn,5,0.5576 ± 0.0067
9_abalone,knn,6,0.5529 ± 0.0122
9_abalone,knn,7,0.5466 ± 0.0191
9_abalone,knn,8,0.5523 ± 0.0234
9_abalone,knn,9,0.5588 ± 0.0287
9_abalone,knn,10,0.5556 ± 0.0288
9_abalone,knn,11,0.5549 ± 0.0275
9_abalone,knn,12,0.5586 ± 0.0290
9_abalone,knn,13,0.5593 ± 0.0279
9_abalone,knn,14,0.5544 ± 0.0321
9_abalone,knn,15,0.5510 ± 0.0335
9_abalone,knn,16,0.5532 ± 0.0336
9_abalone,knn,17,0.5513 ± 0.0334
9_abalone,knn,18,0.5524 ± 0.0327
9_abalone,knn,19,0.5526 ± 0.0319
9_abalone,knn,20,0.5507 ± 0.0322
9_abalone,knn,21,0.5516 ± 0.0317
9_abalone,knn,22,0.5492 ± 0.0330
9_abalone,knn,23,0.5482 ± 0.0325
9_abalone,knn,24,0.5472 ± 0.0322
9_abalone,knn,25,0.5481 ± 0.0319
9_abalone,knn,26,0.5484 ± 0.0313
9_abalone,knn,27,0.5479 ± 0.0308
9_abalone,knn,28,0.5491 ± 0.0309
9_abalone,knn,29,0.5491 ± 0.0304
9_abalone,knn,30,0.5500 ± 0.0303
