Dataset,method,Experiment,Accuracy
10_lymphography,1_zero+knn,1,0.0000 ± 0.0000
10_lymphography,1_zero+knn,2,0.0000 ± 0.0000
10_lymphography,1_zero+knn,3,0.0111 ± 0.0157
10_lymphography,1_zero+knn,4,0.0083 ± 0.0144
10_lymphography,1_zero+knn,5,0.0067 ± 0.0133
10_lymphography,1_zero+knn,6,0.0056 ± 0.0124
10_lymphography,1_zero+knn,7,0.0048 ± 0.0117
10_lymphography,1_zero+knn,8,0.0125 ± 0.0232
10_lymphography,1_zero+knn,9,0.0111 ± 0.0222
10_lymphography,1_zero+knn,10,0.0100 ± 0.0213
10_lymphography,2_zero + dynamic,1,1.0000 ± 0.0000
10_lymphography,2_zero + dynamic,2,1.0000 ± 0.0000
10_lymphography,2_zero + dynamic,3,0.9889 ± 0.0000
10_lymphography,2_zero + dynamic,4,0.9917 ± 0.0000
10_lymphography,2_zero + dynamic,5,0.9900 ± 0.0000
10_lymphography,2_zero + dynamic,6,0.9917 ± 0.0000
10_lymphography,2_zero + dynamic,7,0.9929 ± 0.0000
10_lymphography,2_zero + dynamic,8,0.9854 ± 0.0000
10_lymphography,2_zero + dynamic,9,0.9870 ± 0.0000
10_lymphography,2_zero + dynamic,10,0.9883 ± 0.0000
10_lymphography,3_zero+datawig,1,0.0000 ± 0.0000
10_lymphography,3_zero+datawig,2,0.0000 ± 0.0000
10_lymphography,3_zero+datawig,3,0.0111 ± 0.0157
10_lymphography,3_zero+datawig,4,0.0083 ± 0.0144
10_lymphography,3_zero+datawig,5,0.0067 ± 0.0133
10_lymphography,3_zero+datawig,6,0.0056 ± 0.0124
10_lymphography,3_zero+datawig,7,0.0048 ± 0.0117
10_lymphography,3_zero+datawig,8,0.0125 ± 0.0232
10_lymphography,3_zero+datawig,9,0.0111 ± 0.0222
10_lymphography,3_zero+datawig,10,0.0100 ± 0.0213
10_lymphography,4_knn + dynamic,1,0.9833 ± 0.0167
10_lymphography,4_knn + dynamic,2,0.9917 ± 0.0144
10_lymphography,4_knn + dynamic,3,0.9833 ± 0.0167
10_lymphography,4_knn + dynamic,4,0.9875 ± 0.0161
10_lymphography,4_knn + dynamic,5,0.9900 ± 0.0153
10_lymphography,4_knn + dynamic,6,0.9917 ± 0.0144
10_lymphography,4_knn + dynamic,7,0.9929 ± 0.0137
10_lymphography,4_knn + dynamic,8,0.9854 ± 0.0235
10_lymphography,4_knn + dynamic,9,0.9870 ± 0.0226
10_lymphography,4_knn + dynamic,10,0.9883 ± 0.0218
10_lymphography,6_dynamic + datawig,1,1.0000 ± 0.0000
10_lymphography,6_dynamic + datawig,2,1.0000 ± 0.0000
10_lymphography,6_dynamic + datawig,3,0.9889 ± 0.0157
10_lymphography,6_dynamic + datawig,4,0.9917 ± 0.0144
10_lymphography,6_dynamic + datawig,5,0.9933 ± 0.0133
10_lymphography,6_dynamic + datawig,6,0.9889 ± 0.0208
10_lymphography,6_dynamic + datawig,7,0.9905 ± 0.0196
10_lymphography,6_dynamic + datawig,8,0.9833 ± 0.0264
10_lymphography,6_dynamic + datawig,9,0.9852 ± 0.0254
10_lymphography,6_dynamic + datawig,10,0.9867 ± 0.0245
10_lymphography,5_knn+datawig,1,0.0000 ± 0.0000
10_lymphography,5_knn+datawig,2,0.0000 ± 0.0000
10_lymphography,5_knn+datawig,3,0.0111 ± 0.0157
10_lymphography,5_knn+datawig,4,0.0083 ± 0.0144
