Dataset,method,Experiment,Accuracy
11_iris,1_zero+knn,1,0.6167 ± 0.0500
11_iris,1_zero+knn,2,0.6917 ± 0.0829
11_iris,1_zero+knn,3,0.6778 ± 0.0762
11_iris,1_zero+knn,4,0.6750 ± 0.0741
11_iris,1_zero+knn,5,0.6933 ± 0.0757
11_iris,1_zero+knn,6,0.6806 ± 0.0751
11_iris,1_zero+knn,7,0.6690 ± 0.0761
11_iris,1_zero+knn,8,0.6542 ± 0.0832
11_iris,1_zero+knn,9,0.6426 ± 0.0866
11_iris,1_zero+knn,10,0.6467 ± 0.0872
11_iris,2_zero + dynamic,1,0.7500 ± 0.0833
11_iris,2_zero + dynamic,2,0.7500 ± 0.1213
11_iris,2_zero + dynamic,3,0.7667 ± 0.1089
11_iris,2_zero + dynamic,4,0.7667 ± 0.1000
11_iris,2_zero + dynamic,5,0.7800 ± 0.0980
11_iris,2_zero + dynamic,6,0.7722 ± 0.1137
11_iris,2_zero + dynamic,7,0.7524 ± 0.1220
11_iris,2_zero + dynamic,8,0.7479 ± 0.1184
11_iris,2_zero + dynamic,9,0.7519 ± 0.1134
11_iris,2_zero + dynamic,10,0.7567 ± 0.1131
11_iris,3_zero+datawig,1,0.7000 ± 0.0333
11_iris,3_zero+datawig,2,0.7167 ± 0.0373
11_iris,3_zero+datawig,3,0.6944 ± 0.0448
11_iris,3_zero+datawig,4,0.6875 ± 0.0525
11_iris,3_zero+datawig,5,0.6833 ± 0.0563
11_iris,3_zero+datawig,6,0.6722 ± 0.0575
11_iris,3_zero+datawig,7,0.6595 ± 0.0620
11_iris,3_zero+datawig,8,0.6562 ± 0.0586
11_iris,3_zero+datawig,9,0.6444 ± 0.0667
11_iris,3_zero+datawig,10,0.6533 ± 0.0694
11_iris,4_knn + dynamic,1,0.7333 ± 0.0667
11_iris,4_knn + dynamic,2,0.7583 ± 0.1402
11_iris,4_knn + dynamic,3,0.7833 ± 0.1330
11_iris,4_knn + dynamic,4,0.7792 ± 0.1201
11_iris,4_knn + dynamic,5,0.7933 ± 0.1133
11_iris,4_knn + dynamic,6,0.7861 ± 0.1213
11_iris,4_knn + dynamic,7,0.7667 ± 0.1345
11_iris,4_knn + dynamic,8,0.7667 ± 0.1344
11_iris,4_knn + dynamic,9,0.7704 ± 0.1290
11_iris,4_knn + dynamic,10,0.7700 ± 0.1264
11_iris,5_knn+datawig,1,0.7167 ± 0.0167
11_iris,5_knn+datawig,2,0.7417 ± 0.0276
11_iris,5_knn+datawig,3,0.7222 ± 0.0369
11_iris,5_knn+datawig,4,0.7250 ± 0.0323
11_iris,5_knn+datawig,5,0.7267 ± 0.0327
11_iris,5_knn+datawig,6,0.7083 ± 0.0511
11_iris,5_knn+datawig,7,0.6929 ± 0.0607
11_iris,5_knn+datawig,8,0.6854 ± 0.0601
11_iris,5_knn+datawig,9,0.6741 ± 0.0653
11_iris,5_knn+datawig,10,0.6833 ± 0.0679
