Dataset,method,Experiment,Accuracy
12_darwin,1_zero+knn,1,0.6857 ± 0.0571
12_darwin,1_zero+knn,2,0.6571 ± 0.0495
12_darwin,1_zero+knn,3,0.6571 ± 0.0522
12_darwin,1_zero+knn,4,0.6464 ± 0.0605
12_darwin,1_zero+knn,5,0.6486 ± 0.0543
12_darwin,1_zero+knn,6,0.6524 ± 0.0532
12_darwin,1_zero+knn,7,0.6429 ± 0.0569
12_darwin,1_zero+knn,8,0.6357 ± 0.0666
12_darwin,1_zero+knn,9,0.6349 ± 0.0636
12_darwin,1_zero+knn,10,0.6329 ± 0.0608
12_darwin,2_zero + dynamic,1,0.7000 ± 0.1857
12_darwin,2_zero + dynamic,2,0.6929 ± 0.1931
12_darwin,2_zero + dynamic,3,0.6619 ± 0.1912
12_darwin,2_zero + dynamic,4,0.6393 ± 0.2050
12_darwin,2_zero + dynamic,5,0.6457 ± 0.2017
12_darwin,2_zero + dynamic,6,0.6476 ± 0.2015
12_darwin,2_zero + dynamic,7,0.6510 ± 0.2035
12_darwin,2_zero + dynamic,8,0.6643 ± 0.1988
12_darwin,2_zero + dynamic,9,0.6635 ± 0.2062
12_darwin,2_zero + dynamic,10,0.6614 ± 0.2175
12_darwin,3_zero+datawig,1,0.7286 ± 0.0429
12_darwin,3_zero+datawig,2,0.7214 ± 0.0311
12_darwin,3_zero+datawig,3,0.6810 ± 0.0910
12_darwin,3_zero+datawig,4,0.6357 ± 0.1113
12_darwin,3_zero+datawig,5,0.6543 ± 0.1110
12_darwin,3_zero+datawig,6,0.6476 ± 0.1039
12_darwin,3_zero+datawig,7,0.6571 ± 0.0996
12_darwin,3_zero+datawig,8,0.6714 ± 0.1025
12_darwin,3_zero+datawig,9,0.6667 ± 0.0981
12_darwin,3_zero+datawig,10,0.6614 ± 0.0944
12_darwin,4_knn + dynamic,1,0.6857 ± 0.1714
12_darwin,4_knn + dynamic,2,0.6857 ± 0.1863
12_darwin,4_knn + dynamic,3,0.6476 ± 0.1812
12_darwin,4_knn + dynamic,4,0.6286 ± 0.1969
12_darwin,4_knn + dynamic,5,0.6371 ± 0.1955
12_darwin,4_knn + dynamic,6,0.6357 ± 0.1917
12_darwin,4_knn + dynamic,7,0.6347 ± 0.1890
12_darwin,4_knn + dynamic,8,0.6464 ± 0.1829
12_darwin,4_knn + dynamic,9,0.6444 ± 0.1886
12_darwin,4_knn + dynamic,10,0.6414 ± 0.1987
12_darwin,5_knn+datawig,1,0.7000 ± 0.0429
12_darwin,5_knn+datawig,2,0.6786 ± 0.0371
12_darwin,5_knn+datawig,3,0.6143 ± 0.1079
12_darwin,5_knn+datawig,4,0.6321 ± 0.0994
12_darwin,5_knn+datawig,5,0.6457 ± 0.0949
12_darwin,5_knn+datawig,6,0.6571 ± 0.0911
12_darwin,5_knn+datawig,7,0.6551 ± 0.0847
12_darwin,5_knn+datawig,8,0.6536 ± 0.0795
12_darwin,5_knn+datawig,9,0.6619 ± 0.0787
12_darwin,5_knn+datawig,10,0.6614 ± 0.0752
12_darwin,6_dynamic + datawig,1,0.6857 ± 0.1714
12_darwin,6_dynamic + datawig,2,0.6643 ± 0.1658
12_darwin,6_dynamic + datawig,3,0.6381 ± 0.1671
12_darwin,6_dynamic + datawig,4,0.6286 ± 0.1943
12_darwin,6_dynamic + datawig,5,0.6314 ± 0.1876
12_darwin,6_dynamic + datawig,6,0.6357 ± 0.1899
12_darwin,6_dynamic + datawig,7,0.6449 ± 0.1996
12_darwin,6_dynamic + datawig,8,0.6571 ± 0.1938
12_darwin,6_dynamic + datawig,9,0.6540 ± 0.1982
12_darwin,6_dynamic + datawig,10,0.6514 ± 0.2087
