Dataset,method,Experiment,Accuracy
13_image,1_zero+knn,1,0.1190 ± 0.0000
13_image,1_zero+knn,2,0.1190 ± 0.0000
13_image,1_zero+knn,3,0.1111 ± 0.0112
13_image,1_zero+knn,4,0.1012 ± 0.0197
13_image,1_zero+knn,5,0.1143 ± 0.0316
13_image,1_zero+knn,6,0.1270 ± 0.0405
13_image,1_zero+knn,7,0.1395 ± 0.0483
13_image,1_zero+knn,8,0.1577 ± 0.0662
13_image,1_zero+knn,9,0.1587 ± 0.0625
13_image,1_zero+knn,10,0.1571 ± 0.0595
13_image,1_zero+knn,11,0.1580 ± 0.0568
13_image,1_zero+knn,12,0.1548 ± 0.0554
13_image,1_zero+knn,13,0.1520 ± 0.0541
13_image,1_zero+knn,14,0.1565 ± 0.0545
13_image,1_zero+knn,15,0.1540 ± 0.0535
13_image,1_zero+knn,16,0.1548 ± 0.0519
13_image,1_zero+knn,17,0.1527 ± 0.0510
13_image,1_zero+knn,18,0.1521 ± 0.0497
13_image,1_zero+knn,19,0.1529 ± 0.0484
13_image,1_zero+knn,20,0.1560 ± 0.0491
13_image,1_zero+knn,21,0.1565 ± 0.0479
13_image,1_zero+knn,22,0.1548 ± 0.0475
13_image,1_zero+knn,23,0.1615 ± 0.0561
13_image,1_zero+knn,24,0.1587 ± 0.0565
13_image,1_zero+knn,25,0.1590 ± 0.0554
13_image,1_zero+knn,26,0.1584 ± 0.0544
13_image,1_zero+knn,27,0.1570 ± 0.0539
13_image,1_zero+knn,28,0.1590 ± 0.0540
13_image,1_zero+knn,29,0.1576 ± 0.0536
13_image,1_zero+knn,30,0.1563 ± 0.0531
13_image,2_zero + dynamic,1,0.8810 ± 0.0000
13_image,2_zero + dynamic,2,0.8750 ± 0.0103
13_image,2_zero + dynamic,3,0.8849 ± 0.0164
13_image,2_zero + dynamic,4,0.8899 ± 0.0204
13_image,2_zero + dynamic,5,0.8810 ± 0.0261
13_image,2_zero + dynamic,6,0.8790 ± 0.0343
13_image,2_zero + dynamic,7,0.8724 ± 0.0398
13_image,2_zero + dynamic,8,0.8557 ± 0.0586
13_image,2_zero + dynamic,9,0.8558 ± 0.0558
13_image,2_zero + dynamic,10,0.8583 ± 0.0540
13_image,2_zero + dynamic,11,0.8582 ± 0.0520
13_image,2_zero + dynamic,12,0.8591 ± 0.0500
13_image,2_zero + dynamic,13,0.8617 ± 0.0490
13_image,2_zero + dynamic,14,0.8588 ± 0.0493
13_image,2_zero + dynamic,15,0.8595 ± 0.0478
13_image,2_zero + dynamic,16,0.8594 ± 0.0466
13_image,2_zero + dynamic,17,0.8620 ± 0.0468
13_image,2_zero + dynamic,18,0.8638 ± 0.0468
13_image,2_zero + dynamic,19,0.8609 ± 0.0475
13_image,2_zero + dynamic,20,0.8560 ± 0.0513
13_image,2_zero + dynamic,21,0.8566 ± 0.0508
13_image,2_zero + dynamic,22,0.8582 ± 0.0502
13_image,2_zero + dynamic,23,0.8525 ± 0.0565
13_image,2_zero + dynamic,24,0.8552 ± 0.0569
13_image,2_zero + dynamic,25,0.8543 ± 0.0559
13_image,2_zero + dynamic,26,0.8539 ± 0.0549
13_image,2_zero + dynamic,27,0.8536 ± 0.0543
13_image,2_zero + dynamic,28,0.8533 ± 0.0545
13_image,2_zero + dynamic,29,0.8551 ± 0.0546
13_image,2_zero + dynamic,30,0.8556 ± 0.0537
13_image,3_zero+datawig,1,0.1190 ± 0.0000
13_image,3_zero+datawig,2,0.1190 ± 0.0000
13_image,3_zero+datawig,3,0.1111 ± 0.0112
13_image,3_zero+datawig,4,0.1012 ± 0.0197
13_image,3_zero+datawig,5,0.1143 ± 0.0316
13_image,3_zero+datawig,6,0.1270 ± 0.0405
13_image,3_zero+datawig,7,0.1395 ± 0.0483
13_image,3_zero+datawig,8,0.1577 ± 0.0662
13_image,3_zero+datawig,9,0.1587 ± 0.0625
13_image,3_zero+datawig,10,0.1571 ± 0.0595
13_image,3_zero+datawig,11,0.1580 ± 0.0568
13_image,3_zero+datawig,12,0.1548 ± 0.0554
13_image,3_zero+datawig,13,0.1520 ± 0.0541
13_image,3_zero+datawig,14,0.1565 ± 0.0545
13_image,3_zero+datawig,15,0.1540 ± 0.0535
13_image,3_zero+datawig,16,0.1548 ± 0.0519
13_image,3_zero+datawig,17,0.1527 ± 0.0510
13_image,3_zero+datawig,18,0.1521 ± 0.0497
13_image,3_zero+datawig,19,0.1529 ± 0.0484
13_image,3_zero+datawig,20,0.1560 ± 0.0491
13_image,3_zero+datawig,21,0.1565 ± 0.0479
13_image,3_zero+datawig,22,0.1548 ± 0.0475
13_image,3_zero+datawig,23,0.1615 ± 0.0561
13_image,3_zero+datawig,24,0.1587 ± 0.0565
13_image,3_zero+datawig,25,0.1590 ± 0.0554
13_image,3_zero+datawig,26,0.1584 ± 0.0544
13_image,3_zero+datawig,27,0.1570 ± 0.0539
13_image,3_zero+datawig,28,0.1590 ± 0.0540
13_image,3_zero+datawig,29,0.1576 ± 0.0536
13_image,3_zero+datawig,30,0.1563 ± 0.0531
13_image,knn,1,0.1190 ± 0.0000
13_image,knn,2,0.1190 ± 0.0000
13_image,knn,3,0.0952 ± 0.0000
13_image,knn,4,0.0714 ± 0.0000
13_image,knn,5,0.1667 ± 0.0000
13_image,knn,6,0.1905 ± 0.0000
13_image,knn,7,0.2143 ± 0.0000
13_image,knn,8,0.2857 ± 0.0000
13_image,knn,9,0.1667 ± 0.0000
13_image,knn,10,0.1429 ± 0.0000
13_image,knn,11,0.1667 ± 0.0000
13_image,knn,12,0.1190 ± 0.0000
13_image,knn,13,0.1190 ± 0.0000
13_image,knn,14,0.2143 ± 0.0000
13_image,knn,15,0.1190 ± 0.0000
13_image,knn,16,0.1667 ± 0.0000
13_image,knn,17,0.1190 ± 0.0000
13_image,knn,18,0.1429 ± 0.0000
13_image,knn,19,0.1667 ± 0.0000
13_image,knn,20,0.2143 ± 0.0000
13_image,knn,21,0.1667 ± 0.0000
13_image,knn,22,0.1190 ± 0.0000
13_image,knn,23,0.3095 ± 0.0000
13_image,knn,24,0.0952 ± 0.0000
13_image,knn,25,0.1667 ± 0.0000
13_image,knn,26,0.1429 ± 0.0000
13_image,knn,27,0.1190 ± 0.0000
13_image,knn,28,0.2143 ± 0.0000
13_image,knn,29,0.1190 ± 0.0000
13_image,knn,30,0.1190 ± 0.0000
13_image,zero,1,0.1190 ± 0.0000
13_image,zero,2,0.1190 ± 0.0000
13_image,zero,3,0.0952 ± 0.0000
13_image,zero,4,0.0714 ± 0.0000
13_image,zero,5,0.1667 ± 0.0000
13_image,zero,6,0.1905 ± 0.0000
13_image,zero,7,0.2143 ± 0.0000
13_image,zero,8,0.2857 ± 0.0000
13_image,zero,9,0.1667 ± 0.0000
13_image,zero,10,0.1429 ± 0.0000
13_image,zero,11,0.1667 ± 0.0000
13_image,zero,12,0.1190 ± 0.0000
13_image,zero,13,0.1190 ± 0.0000
13_image,zero,14,0.2143 ± 0.0000
13_image,zero,15,0.1190 ± 0.0000
13_image,zero,16,0.1667 ± 0.0000
13_image,zero,17,0.1190 ± 0.0000
13_image,zero,18,0.1429 ± 0.0000
13_image,zero,19,0.1667 ± 0.0000
13_image,zero,20,0.2143 ± 0.0000
13_image,zero,21,0.1667 ± 0.0000
13_image,zero,22,0.1190 ± 0.0000
