Dataset,method,Experiment,Accuracy
16_rice,1_zero+knn,1,0.5571 ± 0.0007
16_rice,1_zero+knn,2,0.5564 ± 0.0009
16_rice,1_zero+knn,3,0.5628 ± 0.0091
16_rice,1_zero+knn,4,0.5689 ± 0.0132
16_rice,1_zero+knn,5,0.5709 ± 0.0124
16_rice,1_zero+knn,6,0.5719 ± 0.0116
16_rice,1_zero+knn,7,0.5726 ± 0.0109
16_rice,1_zero+knn,8,0.5693 ± 0.0135
16_rice,1_zero+knn,9,0.5688 ± 0.0128
16_rice,1_zero+knn,10,0.5659 ± 0.0149
16_rice,2_zero + dynamic,1,0.7375 ± 0.1798
16_rice,2_zero + dynamic,2,0.7395 ± 0.1778
16_rice,2_zero + dynamic,3,0.7364 ± 0.1801
16_rice,2_zero + dynamic,4,0.7343 ± 0.1812
16_rice,2_zero + dynamic,5,0.7353 ± 0.1806
16_rice,2_zero + dynamic,6,0.7359 ± 0.1811
16_rice,2_zero + dynamic,7,0.7353 ± 0.1812
16_rice,2_zero + dynamic,8,0.7366 ± 0.1796
16_rice,2_zero + dynamic,9,0.7390 ± 0.1796
16_rice,2_zero + dynamic,10,0.7394 ± 0.1794
16_rice,3_zero+datawig,1,0.5584 ± 0.0007
16_rice,3_zero+datawig,2,0.5577 ± 0.0016
16_rice,3_zero+datawig,3,0.5645 ± 0.0097
16_rice,3_zero+datawig,4,0.5702 ± 0.0129
16_rice,3_zero+datawig,5,0.5722 ± 0.0123
16_rice,3_zero+datawig,6,0.5733 ± 0.0115
16_rice,3_zero+datawig,7,0.5734 ± 0.0107
16_rice,3_zero+datawig,8,0.5700 ± 0.0135
16_rice,3_zero+datawig,9,0.5694 ± 0.0129
16_rice,3_zero+datawig,10,0.5665 ± 0.0149
16_rice,4_knn + dynamic,1,0.7428 ± 0.1850
16_rice,4_knn + dynamic,2,0.7421 ± 0.1805
16_rice,4_knn + dynamic,3,0.7408 ± 0.1836
16_rice,4_knn + dynamic,4,0.7405 ± 0.1865
16_rice,4_knn + dynamic,5,0.7404 ± 0.1847
16_rice,4_knn + dynamic,6,0.7398 ± 0.1842
16_rice,4_knn + dynamic,7,0.7389 ± 0.1841
16_rice,4_knn + dynamic,8,0.7398 ± 0.1821
16_rice,4_knn + dynamic,9,0.7421 ± 0.1823
16_rice,4_knn + dynamic,10,0.7425 ± 0.1822
16_rice,5_knn+datawig,1,0.5591 ± 0.0013
16_rice,5_knn+datawig,2,0.5571 ± 0.0024
16_rice,5_knn+datawig,3,0.5639 ± 0.0098
16_rice,5_knn+datawig,4,0.5700 ± 0.0137
16_rice,5_knn+datawig,5,0.5719 ± 0.0128
16_rice,5_knn+datawig,6,0.5736 ± 0.0123
16_rice,5_knn+datawig,7,0.5741 ± 0.0115
16_rice,5_knn+datawig,8,0.5707 ± 0.0141
16_rice,5_knn+datawig,9,0.5704 ± 0.0133
16_rice,5_knn+datawig,10,0.5675 ± 0.0155
16_rice,6_dynamic + datawig,1,0.7369 ± 0.1804
16_rice,6_dynamic + datawig,2,0.7388 ± 0.1779
16_rice,6_dynamic + datawig,3,0.7380 ± 0.1812
16_rice,6_dynamic + datawig,4,0.7354 ± 0.1820
16_rice,6_dynamic + datawig,5,0.7365 ± 0.1815
16_rice,6_dynamic + datawig,6,0.7370 ± 0.1820
16_rice,6_dynamic + datawig,7,0.7365 ± 0.1822
16_rice,6_dynamic + datawig,8,0.7377 ± 0.1805
16_rice,6_dynamic + datawig,9,0.7397 ± 0.1803
16_rice,6_dynamic + datawig,10,0.7402 ± 0.1802
16_rice,7_dynamic + datawig + zero,1,0.7979 ± 0.1708
16_rice,7_dynamic + datawig + zero,2,0.7968 ± 0.1663
16_rice,7_dynamic + datawig + zero,3,0.7960 ± 0.1695
16_rice,7_dynamic + datawig + zero,4,0.7944 ± 0.1714
16_rice,7_dynamic + datawig + zero,5,0.7948 ± 0.1702
16_rice,7_dynamic + datawig + zero,6,0.7956 ± 0.1705
16_rice,7_dynamic + datawig + zero,7,0.7957 ± 0.1710
16_rice,7_dynamic + datawig + zero,8,0.7963 ± 0.1693
16_rice,7_dynamic + datawig + zero,9,0.7980 ± 0.1689
16_rice,7_dynamic + datawig + zero,10,0.7987 ± 0.1691
16_rice,8_dynamic + datawig + knn,1,0.8010 ± 0.1730
16_rice,8_dynamic + datawig + knn,2,0.8001 ± 0.1687
16_rice,8_dynamic + datawig + knn,3,0.7991 ± 0.1714
16_rice,8_dynamic + datawig + knn,4,0.7983 ± 0.1738
16_rice,8_dynamic + datawig + knn,5,0.7983 ± 0.1722
16_rice,8_dynamic + datawig + knn,6,0.7986 ± 0.1723
16_rice,8_dynamic + datawig + knn,7,0.7983 ± 0.1727
16_rice,8_dynamic + datawig + knn,8,0.7983 ± 0.1706
16_rice,8_dynamic + datawig + knn,9,0.8002 ± 0.1703
16_rice,8_dynamic + datawig + knn,10,0.8008 ± 0.1703
16_rice,9_datawig+zero+knn.py,1,0.5608 ± 0.0043
16_rice,9_datawig+zero+knn.py,2,0.5591 ± 0.0037
16_rice,9_datawig+zero+knn.py,3,0.5430 ± 0.0440
16_rice,9_datawig+zero+knn.py,4,0.5544 ± 0.0429
16_rice,9_datawig+zero+knn.py,5,0.5591 ± 0.0395
16_rice,9_datawig+zero+knn.py,6,0.5624 ± 0.0368
16_rice,9_datawig+zero+knn.py,7,0.5644 ± 0.0345
16_rice,9_datawig+zero+knn.py,8,0.5621 ± 0.0328
