Dataset,method,Experiment,Accuracy
17_bank,knn,1,0.8707 ± 0.0000
17_bank,knn,2,0.8807 ± 0.0000
17_bank,knn,3,0.8994 ± 0.0000
17_bank,knn,4,0.8917 ± 0.0000
17_bank,knn,5,0.8884 ± 0.0000
17_bank,knn,6,0.8884 ± 0.0000
17_bank,knn,7,0.8729 ± 0.0000
17_bank,knn,8,0.8840 ± 0.0000
17_bank,knn,9,0.8751 ± 0.0000
17_bank,knn,10,0.8641 ± 0.0000
17_bank,knn,11,0.8840 ± 0.0000
17_bank,knn,12,0.8983 ± 0.0000
17_bank,knn,13,0.8718 ± 0.0000
17_bank,knn,14,0.8818 ± 0.0000
17_bank,knn,15,0.8773 ± 0.0000
17_bank,knn,16,0.8773 ± 0.0000
17_bank,knn,17,0.8751 ± 0.0000
17_bank,knn,18,0.8873 ± 0.0000
17_bank,knn,19,0.8740 ± 0.0000
17_bank,knn,20,0.8884 ± 0.0000
17_bank,knn,21,0.8961 ± 0.0000
17_bank,knn,22,0.8707 ± 0.0000
17_bank,knn,23,0.9039 ± 0.0000
17_bank,knn,24,0.8950 ± 0.0000
17_bank,knn,25,0.8552 ± 0.0000
17_bank,knn,26,0.8597 ± 0.0000
17_bank,knn,27,0.8840 ± 0.0000
17_bank,knn,28,0.8895 ± 0.0000
17_bank,knn,29,0.8674 ± 0.0000
17_bank,knn,30,0.8994 ± 0.0000
17_bank,zero,1,0.8685 ± 0.0000
17_bank,zero,2,0.8652 ± 0.0000
17_bank,zero,3,0.8906 ± 0.0000
17_bank,zero,4,0.8928 ± 0.0000
17_bank,zero,5,0.8862 ± 0.0000
17_bank,zero,6,0.8773 ± 0.0000
17_bank,zero,7,0.8718 ± 0.0000
17_bank,zero,8,0.8508 ± 0.0000
17_bank,zero,9,0.8552 ± 0.0000
17_bank,zero,10,0.8552 ± 0.0000
17_bank,zero,11,0.8729 ± 0.0000
17_bank,zero,12,0.8928 ± 0.0000
17_bank,zero,13,0.8707 ± 0.0000
17_bank,zero,14,0.8785 ± 0.0000
17_bank,zero,15,0.8718 ± 0.0000
17_bank,zero,16,0.8707 ± 0.0000
17_bank,zero,17,0.8663 ± 0.0000
17_bank,zero,18,0.8729 ± 0.0000
17_bank,zero,19,0.8796 ± 0.0000
17_bank,zero,20,0.8762 ± 0.0000
17_bank,zero,21,0.8961 ± 0.0000
17_bank,zero,22,0.8663 ± 0.0000
17_bank,zero,23,0.8983 ± 0.0000
17_bank,zero,24,0.8950 ± 0.0000
17_bank,zero,25,0.8541 ± 0.0000
17_bank,zero,26,0.8674 ± 0.0000
17_bank,zero,27,0.8862 ± 0.0000
17_bank,zero,28,0.8773 ± 0.0000
17_bank,zero,29,0.8718 ± 0.0000
17_bank,zero,30,0.8740 ± 0.0000
17_bank,datawig,1,0.8773 ± 0.0000
17_bank,datawig,2,0.8729 ± 0.0000
17_bank,datawig,3,0.8961 ± 0.0000
17_bank,datawig,4,0.8696 ± 0.0000
17_bank,datawig,5,0.8939 ± 0.0000
17_bank,datawig,6,0.8906 ± 0.0000
17_bank,datawig,7,0.8729 ± 0.0000
17_bank,datawig,8,0.8840 ± 0.0000
17_bank,datawig,9,0.8818 ± 0.0000
17_bank,datawig,10,0.8685 ± 0.0000
17_bank,datawig,11,0.8818 ± 0.0000
17_bank,datawig,12,0.8961 ± 0.0000
17_bank,datawig,13,0.8796 ± 0.0000
17_bank,datawig,14,0.8884 ± 0.0000
17_bank,datawig,15,0.8751 ± 0.0000
17_bank,datawig,16,0.8796 ± 0.0000
17_bank,datawig,17,0.8740 ± 0.0000
17_bank,datawig,18,0.8862 ± 0.0000
17_bank,datawig,19,0.8740 ± 0.0000
17_bank,datawig,20,0.8928 ± 0.0000
17_bank,datawig,21,0.8972 ± 0.0000
17_bank,datawig,22,0.8652 ± 0.0000
17_bank,datawig,23,0.8994 ± 0.0000
17_bank,datawig,24,0.8884 ± 0.0000
17_bank,datawig,25,0.8608 ± 0.0000
17_bank,datawig,26,0.8663 ± 0.0000
17_bank,datawig,27,0.8773 ± 0.0000
17_bank,datawig,28,0.8928 ± 0.0000
17_bank,datawig,29,0.8685 ± 0.0000
17_bank,datawig,30,0.8950 ± 0.0000
17_bank,dynamic,1,0.8762 ± 0.0000
17_bank,dynamic,2,0.8729 ± 0.0000
17_bank,dynamic,3,0.8994 ± 0.0000
17_bank,dynamic,4,0.8895 ± 0.0000
17_bank,dynamic,5,0.8906 ± 0.0000
17_bank,dynamic,6,0.8873 ± 0.0000
17_bank,dynamic,7,0.8718 ± 0.0000
17_bank,dynamic,8,0.8851 ± 0.0000
17_bank,dynamic,9,0.8751 ± 0.0000
17_bank,dynamic,10,0.8674 ± 0.0000
17_bank,dynamic,11,0.8796 ± 0.0000
17_bank,dynamic,12,0.8939 ± 0.0000
17_bank,dynamic,13,0.8751 ± 0.0000
17_bank,dynamic,14,0.8873 ± 0.0000
17_bank,dynamic,15,0.8762 ± 0.0000
17_bank,dynamic,16,0.8751 ± 0.0000
17_bank,dynamic,17,0.8751 ± 0.0000
17_bank,dynamic,18,0.8884 ± 0.0000
17_bank,dynamic,19,0.8785 ± 0.0000
17_bank,dynamic,20,0.8950 ± 0.0000
17_bank,dynamic,21,0.9006 ± 0.0000
17_bank,dynamic,22,0.8762 ± 0.0000
17_bank,dynamic,23,0.9028 ± 0.0000
17_bank,dynamic,24,0.8983 ± 0.0000
17_bank,dynamic,25,0.8575 ± 0.0000
17_bank,dynamic,26,0.8773 ± 0.0000
17_bank,dynamic,27,0.8840 ± 0.0000
17_bank,dynamic,28,0.8906 ± 0.0000
17_bank,dynamic,29,0.8729 ± 0.0000
17_bank,dynamic,30,0.8994 ± 0.0000
17_bank,1_zero+knn,1,0.8718 ± 0.0033
17_bank,1_zero+knn,2,0.8713 ± 0.0039
17_bank,1_zero+knn,3,0.8777 ± 0.0098
17_bank,1_zero+knn,4,0.8771 ± 0.0087
17_bank,1_zero+knn,5,0.8768 ± 0.0091
17_bank,1_zero+knn,6,0.8765 ± 0.0093
17_bank,1_zero+knn,7,0.8752 ± 0.0091
17_bank,1_zero+knn,8,0.8754 ± 0.0086
17_bank,1_zero+knn,9,0.8756 ± 0.0081
17_bank,1_zero+knn,10,0.8742 ± 0.0092
17_bank,1_zero+knn,11,0.8739 ± 0.0090
17_bank,1_zero+knn,12,0.8748 ± 0.0096
17_bank,1_zero+knn,13,0.8737 ± 0.0100
17_bank,1_zero+knn,14,0.8741 ± 0.0098
17_bank,1_zero+knn,15,0.8738 ± 0.0098
17_bank,1_zero+knn,16,0.8739 ± 0.0096
17_bank,1_zero+knn,17,0.8740 ± 0.0095
17_bank,1_zero+knn,18,0.8737 ± 0.0097
17_bank,1_zero+knn,19,0.8738 ± 0.0095
17_bank,1_zero+knn,20,0.8745 ± 0.0099
17_bank,1_zero+knn,21,0.8755 ± 0.0106
17_bank,1_zero+knn,22,0.8750 ± 0.0106
17_bank,1_zero+knn,23,0.8756 ± 0.0112
17_bank,1_zero+knn,24,0.8763 ± 0.0115
17_bank,1_zero+knn,25,0.8754 ± 0.0121
17_bank,1_zero+knn,26,0.8751 ± 0.0120
17_bank,1_zero+knn,27,0.8752 ± 0.0118
17_bank,1_zero+knn,28,0.8756 ± 0.0118
17_bank,1_zero+knn,29,0.8753 ± 0.0117
17_bank,1_zero+knn,30,0.8760 ± 0.0120
17_bank,2_zero + dynamic,1,0.8630 ± 0.0133
17_bank,2_zero + dynamic,2,0.8583 ± 0.0172
17_bank,2_zero + dynamic,3,0.8663 ± 0.0206
17_bank,2_zero + dynamic,4,0.8686 ± 0.0196
17_bank,2_zero + dynamic,5,0.8698 ± 0.0190
17_bank,2_zero + dynamic,6,0.8704 ± 0.0183
17_bank,2_zero + dynamic,7,0.8695 ± 0.0174
17_bank,2_zero + dynamic,8,0.8697 ± 0.0170
17_bank,2_zero + dynamic,9,0.8685 ± 0.0172
17_bank,2_zero + dynamic,10,0.8672 ± 0.0173
17_bank,2_zero + dynamic,11,0.8676 ± 0.0167
17_bank,2_zero + dynamic,12,0.8690 ± 0.0168
17_bank,2_zero + dynamic,13,0.8684 ± 0.0167
17_bank,2_zero + dynamic,14,0.8690 ± 0.0165
17_bank,2_zero + dynamic,15,0.8685 ± 0.0164
17_bank,2_zero + dynamic,16,0.8686 ± 0.0160
17_bank,2_zero + dynamic,17,0.8685 ± 0.0157
17_bank,2_zero + dynamic,18,0.8690 ± 0.0156
17_bank,2_zero + dynamic,19,0.8689 ± 0.0154
17_bank,2_zero + dynamic,20,0.8696 ± 0.0156
17_bank,2_zero + dynamic,21,0.8704 ± 0.0159
17_bank,2_zero + dynamic,22,0.8702 ± 0.0158
17_bank,2_zero + dynamic,23,0.8706 ± 0.0163
17_bank,2_zero + dynamic,24,0.8712 ± 0.0164
17_bank,2_zero + dynamic,25,0.8704 ± 0.0166
17_bank,2_zero + dynamic,26,0.8701 ± 0.0167
17_bank,2_zero + dynamic,27,0.8701 ± 0.0165
17_bank,2_zero + dynamic,28,0.8705 ± 0.0164
17_bank,2_zero + dynamic,29,0.8702 ± 0.0164
17_bank,2_zero + dynamic,30,0.8711 ± 0.0168
17_bank,3_zero+datawig,1,0.8713 ± 0.0017
17_bank,3_zero+datawig,2,0.8688 ± 0.0042
17_bank,3_zero+datawig,3,0.8733 ± 0.0083
17_bank,3_zero+datawig,4,0.8767 ± 0.0095
17_bank,3_zero+datawig,5,0.8778 ± 0.0093
17_bank,3_zero+datawig,6,0.8786 ± 0.0091
17_bank,3_zero+datawig,7,0.8770 ± 0.0094
17_bank,3_zero+datawig,8,0.8778 ± 0.0092
17_bank,3_zero+datawig,9,0.8773 ± 0.0088
17_bank,3_zero+datawig,10,0.8760 ± 0.0093
17_bank,3_zero+datawig,11,0.8763 ± 0.0089
17_bank,3_zero+datawig,12,0.8774 ± 0.0095
17_bank,3_zero+datawig,13,0.8773 ± 0.0091
17_bank,3_zero+datawig,14,0.8772 ± 0.0093
17_bank,3_zero+datawig,15,0.8769 ± 0.0092
17_bank,3_zero+datawig,16,0.8768 ± 0.0091
17_bank,3_zero+datawig,17,0.8766 ± 0.0088
17_bank,3_zero+datawig,18,0.8769 ± 0.0088
