Dataset,method,Experiment,Accuracy
1_breast,1_zero+knn,1,0.6579 ± 0.0088
1_breast,1_zero+knn,2,0.6316 ± 0.0277
1_breast,1_zero+knn,3,0.6287 ± 0.0342
1_breast,1_zero+knn,4,0.6732 ± 0.0846
1_breast,1_zero+knn,5,0.6807 ± 0.0818
1_breast,1_zero+knn,6,0.6901 ± 0.0805
1_breast,1_zero+knn,7,0.6855 ± 0.0754
1_breast,1_zero+knn,8,0.6941 ± 0.0752
1_breast,1_zero+knn,9,0.6871 ± 0.0756
1_breast,1_zero+knn,10,0.6860 ± 0.0732
1_breast,2_zero + dynamic,1,0.5965 ± 0.0351
1_breast,2_zero + dynamic,2,0.6623 ± 0.0727
1_breast,2_zero + dynamic,3,0.6871 ± 0.0754
1_breast,2_zero + dynamic,4,0.7039 ± 0.0762
1_breast,2_zero + dynamic,5,0.7053 ± 0.0683
1_breast,2_zero + dynamic,6,0.7003 ± 0.0634
1_breast,2_zero + dynamic,7,0.6917 ± 0.0625
1_breast,2_zero + dynamic,8,0.6985 ± 0.0612
1_breast,2_zero + dynamic,9,0.6910 ± 0.0617
1_breast,2_zero + dynamic,10,0.6904 ± 0.0608
1_breast,3_zero+datawig,1,0.6754 ± 0.0263
1_breast,3_zero+datawig,2,0.6886 ± 0.0436
1_breast,3_zero+datawig,3,0.6930 ± 0.0376
1_breast,3_zero+datawig,4,0.7018 ± 0.0382
1_breast,3_zero+datawig,5,0.7000 ± 0.0440
1_breast,3_zero+datawig,6,0.7003 ± 0.0402
1_breast,3_zero+datawig,7,0.6980 ± 0.0382
1_breast,3_zero+datawig,8,0.7050 ± 0.0422
1_breast,3_zero+datawig,9,0.6998 ± 0.0449
1_breast,3_zero+datawig,10,0.7018 ± 0.0444
1_breast,4_knn + dynamic,1,0.6228 ± 0.0088
1_breast,4_knn + dynamic,2,0.6667 ± 0.0541
1_breast,4_knn + dynamic,3,0.6754 ± 0.0483
1_breast,4_knn + dynamic,4,0.6952 ± 0.0601
1_breast,4_knn + dynamic,5,0.6912 ± 0.0578
1_breast,4_knn + dynamic,6,0.6915 ± 0.0529
1_breast,4_knn + dynamic,7,0.6867 ± 0.0504
1_breast,4_knn + dynamic,8,0.6919 ± 0.0492
1_breast,4_knn + dynamic,9,0.6871 ± 0.0483
