Dataset,method,Experiment,Accuracy
20_obesity,1_zero+knn,1,0.1927 ± 0.0579
20_obesity,1_zero+knn,2,0.1495 ± 0.0595
20_obesity,1_zero+knn,3,0.1592 ± 0.0542
20_obesity,1_zero+knn,4,0.1640 ± 0.0525
20_obesity,1_zero+knn,5,0.1652 ± 0.0493
20_obesity,1_zero+knn,6,0.1714 ± 0.0500
20_obesity,1_zero+knn,7,0.1744 ± 0.0510
20_obesity,1_zero+knn,8,0.1773 ± 0.0510
20_obesity,1_zero+knn,9,0.1782 ± 0.0501
20_obesity,1_zero+knn,10,0.1794 ± 0.0490
20_obesity,1_zero+knn,11,0.1793 ± 0.0492
20_obesity,1_zero+knn,12,0.1802 ± 0.0486
20_obesity,1_zero+knn,13,0.1804 ± 0.0478
20_obesity,1_zero+knn,14,0.1802 ± 0.0477
20_obesity,1_zero+knn,15,0.1796 ± 0.0468
20_obesity,1_zero+knn,16,0.1788 ± 0.0463
20_obesity,1_zero+knn,17,0.1784 ± 0.0464
20_obesity,1_zero+knn,18,0.1791 ± 0.0466
20_obesity,1_zero+knn,19,0.1785 ± 0.0464
20_obesity,1_zero+knn,20,0.1783 ± 0.0461
20_obesity,1_zero+knn,21,0.1792 ± 0.0462
20_obesity,1_zero+knn,22,0.1792 ± 0.0468
20_obesity,1_zero+knn,23,0.1789 ± 0.0472
20_obesity,1_zero+knn,24,0.1785 ± 0.0464
20_obesity,1_zero+knn,25,0.1779 ± 0.0461
20_obesity,1_zero+knn,26,0.1781 ± 0.0464
20_obesity,1_zero+knn,27,0.1776 ± 0.0463
20_obesity,1_zero+knn,28,0.1785 ± 0.0466
20_obesity,1_zero+knn,29,0.1780 ± 0.0464
20_obesity,1_zero+knn,30,0.1777 ± 0.0464
20_obesity,2_zero + dynamic,1,0.8771 ± 0.0095
20_obesity,2_zero + dynamic,2,0.8859 ± 0.0114
20_obesity,2_zero + dynamic,3,0.8842 ± 0.0184
20_obesity,2_zero + dynamic,4,0.8809 ± 0.0172
20_obesity,2_zero + dynamic,5,0.8811 ± 0.0166
20_obesity,2_zero + dynamic,6,0.8763 ± 0.0193
20_obesity,2_zero + dynamic,7,0.8766 ± 0.0191
20_obesity,2_zero + dynamic,8,0.8771 ± 0.0208
20_obesity,2_zero + dynamic,9,0.8764 ± 0.0203
20_obesity,2_zero + dynamic,10,0.8762 ± 0.0210
20_obesity,2_zero + dynamic,11,0.8779 ± 0.0214
20_obesity,2_zero + dynamic,12,0.8767 ± 0.0211
20_obesity,2_zero + dynamic,13,0.8768 ± 0.0214
20_obesity,2_zero + dynamic,14,0.8755 ± 0.0213
20_obesity,2_zero + dynamic,15,0.8753 ± 0.0208
20_obesity,2_zero + dynamic,16,0.8750 ± 0.0202
20_obesity,2_zero + dynamic,17,0.8759 ± 0.0200
20_obesity,2_zero + dynamic,18,0.8760 ± 0.0200
20_obesity,2_zero + dynamic,19,0.8768 ± 0.0200
20_obesity,2_zero + dynamic,20,0.8767 ± 0.0195
20_obesity,2_zero + dynamic,21,0.8761 ± 0.0195
20_obesity,2_zero + dynamic,22,0.8770 ± 0.0196
20_obesity,2_zero + dynamic,23,0.8774 ± 0.0193
20_obesity,2_zero + dynamic,24,0.8762 ± 0.0197
20_obesity,2_zero + dynamic,25,0.8764 ± 0.0194
20_obesity,2_zero + dynamic,26,0.8765 ± 0.0191
20_obesity,2_zero + dynamic,27,0.8771 ± 0.0193
20_obesity,2_zero + dynamic,28,0.8767 ± 0.0194
20_obesity,2_zero + dynamic,29,0.8771 ± 0.0194
20_obesity,2_zero + dynamic,30,0.8776 ± 0.0195
20_obesity,3_zero+datawig,1,0.1714 ± 0.0366
20_obesity,3_zero+datawig,2,0.1590 ± 0.0404
