Dataset,method,Experiment,Accuracy
22_seeds,1_zero+knn,1,0.3095 ± 0.0000
22_seeds,1_zero+knn,2,0.3929 ± 0.0833
22_seeds,1_zero+knn,3,0.4127 ± 0.0736
22_seeds,1_zero+knn,4,0.3988 ± 0.0681
22_seeds,1_zero+knn,5,0.3762 ± 0.0759
22_seeds,1_zero+knn,6,0.3651 ± 0.0736
22_seeds,1_zero+knn,7,0.3673 ± 0.0684
22_seeds,1_zero+knn,8,0.3512 ± 0.0769
22_seeds,1_zero+knn,9,0.3439 ± 0.0754
22_seeds,1_zero+knn,10,0.3524 ± 0.0759
22_seeds,1_zero+knn,11,0.3550 ± 0.0728
22_seeds,1_zero+knn,12,0.3651 ± 0.0774
22_seeds,1_zero+knn,13,0.3590 ± 0.0773
22_seeds,1_zero+knn,14,0.3469 ± 0.0862
22_seeds,1_zero+knn,15,0.3476 ± 0.0833
22_seeds,1_zero+knn,16,0.3452 ± 0.0812
22_seeds,1_zero+knn,17,0.3459 ± 0.0788
22_seeds,1_zero+knn,18,0.3413 ± 0.0790
22_seeds,1_zero+knn,19,0.3434 ± 0.0774
22_seeds,1_zero+knn,20,0.3417 ± 0.0758
22_seeds,1_zero+knn,21,0.3379 ± 0.0759
22_seeds,1_zero+knn,22,0.3377 ± 0.0741
22_seeds,1_zero+knn,23,0.3354 ± 0.0733
22_seeds,1_zero+knn,24,0.3363 ± 0.0719
22_seeds,1_zero+knn,25,0.3333 ± 0.0719
22_seeds,1_zero+knn,26,0.3333 ± 0.0705
22_seeds,1_zero+knn,27,0.3351 ± 0.0698
22_seeds,1_zero+knn,28,0.3325 ± 0.0698
22_seeds,1_zero+knn,29,0.3309 ± 0.0692
22_seeds,1_zero+knn,30,0.3270 ± 0.0711
4_wine,2_zero + dynamic,1,0.8095 ± 0.0952
4_wine,2_zero + dynamic,2,0.7917 ± 0.1592
4_wine,2_zero + dynamic,3,0.7857 ± 0.1442
4_wine,2_zero + dynamic,4,0.7946 ± 0.1418
4_wine,2_zero + dynamic,5,0.8024 ± 0.1347
4_wine,2_zero + dynamic,6,0.8095 ± 0.1286
4_wine,2_zero + dynamic,7,0.8044 ± 0.1264
4_wine,2_zero + dynamic,8,0.8170 ± 0.1253
4_wine,2_zero + dynamic,9,0.8214 ± 0.1212
4_wine,2_zero + dynamic,10,0.8143 ± 0.1241
4_wine,2_zero + dynamic,11,0.8139 ± 0.1236
4_wine,2_zero + dynamic,12,0.8065 ± 0.1266
4_wine,2_zero + dynamic,13,0.8040 ± 0.1241
4_wine,2_zero + dynamic,14,0.8070 ± 0.1201
4_wine,2_zero + dynamic,15,0.8079 ± 0.1194
4_wine,2_zero + dynamic,16,0.8088 ± 0.1187
4_wine,2_zero + dynamic,17,0.8046 ± 0.1186
4_wine,2_zero + dynamic,18,0.8029 ± 0.1163
4_wine,2_zero + dynamic,19,0.8020 ± 0.1165
4_wine,2_zero + dynamic,20,0.8030 ± 0.1152
4_wine,2_zero + dynamic,21,0.8050 ± 0.1142
4_wine,2_zero + dynamic,22,0.8047 ± 0.1130
4_wine,2_zero + dynamic,23,0.8054 ± 0.1119
4_wine,2_zero + dynamic,24,0.8051 ± 0.1117
4_wine,2_zero + dynamic,25,0.8071 ± 0.1116
4_wine,2_zero + dynamic,26,0.8049 ± 0.1112
4_wine,2_zero + dynamic,27,0.8064 ± 0.1113
4_wine,2_zero + dynamic,28,0.8082 ± 0.1112
