Dataset,method,Experiment,Accuracy
23_ai4i,1_zero+knn,1,0.6070 ± 0.0000
23_ai4i,1_zero+knn,2,0.6025 ± 0.0045
23_ai4i,1_zero+knn,3,0.6037 ± 0.0040
23_ai4i,1_zero+knn,4,0.6014 ± 0.0053
23_ai4i,1_zero+knn,5,0.6021 ± 0.0049
23_ai4i,1_zero+knn,6,0.6029 ± 0.0049
23_ai4i,1_zero+knn,7,0.6011 ± 0.0063
23_ai4i,1_zero+knn,8,0.6026 ± 0.0070
23_ai4i,1_zero+knn,9,0.6022 ± 0.0068
23_ai4i,1_zero+knn,10,0.5999 ± 0.0095
23_ai4i,1_zero+knn,11,0.5992 ± 0.0093
23_ai4i,1_zero+knn,12,0.5989 ± 0.0089
23_ai4i,1_zero+knn,13,0.5984 ± 0.0087
23_ai4i,1_zero+knn,14,0.5980 ± 0.0085
23_ai4i,1_zero+knn,15,0.5979 ± 0.0083
23_ai4i,1_zero+knn,16,0.5989 ± 0.0090
23_ai4i,1_zero+knn,17,0.5988 ± 0.0087
23_ai4i,1_zero+knn,18,0.5994 ± 0.0088
23_ai4i,1_zero+knn,19,0.5992 ± 0.0086
23_ai4i,1_zero+knn,20,0.5995 ± 0.0085
23_ai4i,1_zero+knn,21,0.5997 ± 0.0084
23_ai4i,1_zero+knn,22,0.6000 ± 0.0083
23_ai4i,1_zero+knn,23,0.5993 ± 0.0086
23_ai4i,1_zero+knn,24,0.5995 ± 0.0085
23_ai4i,1_zero+knn,25,0.5993 ± 0.0083
23_ai4i,1_zero+knn,26,0.5996 ± 0.0083
23_ai4i,1_zero+knn,27,0.5995 ± 0.0082
23_ai4i,1_zero+knn,28,0.5994 ± 0.0080
23_ai4i,1_zero+knn,29,0.5992 ± 0.0079
23_ai4i,1_zero+knn,30,0.5994 ± 0.0079
23_ai4i,2_zero + dynamic,1,0.5460 ± 0.0610
23_ai4i,2_zero + dynamic,2,0.5429 ± 0.0597
23_ai4i,2_zero + dynamic,3,0.5423 ± 0.0614
23_ai4i,2_zero + dynamic,4,0.5411 ± 0.0605
23_ai4i,2_zero + dynamic,5,0.5411 ± 0.0611
23_ai4i,2_zero + dynamic,6,0.5422 ± 0.0609
23_ai4i,2_zero + dynamic,7,0.5414 ± 0.0599
23_ai4i,2_zero + dynamic,8,0.5414 ± 0.0615
23_ai4i,2_zero + dynamic,9,0.5417 ± 0.0608
23_ai4i,2_zero + dynamic,10,0.5411 ± 0.0593
23_ai4i,2_zero + dynamic,11,0.5409 ± 0.0588
23_ai4i,2_zero + dynamic,12,0.5404 ± 0.0590
23_ai4i,2_zero + dynamic,13,0.5396 ± 0.0593
23_ai4i,2_zero + dynamic,14,0.5400 ± 0.0586
23_ai4i,2_zero + dynamic,15,0.5404 ± 0.0581
23_ai4i,2_zero + dynamic,16,0.5412 ± 0.0584
23_ai4i,2_zero + dynamic,17,0.5409 ± 0.0586
23_ai4i,2_zero + dynamic,18,0.5410 ± 0.0591
23_ai4i,2_zero + dynamic,19,0.5408 ± 0.0591
23_ai4i,2_zero + dynamic,20,0.5406 ± 0.0595
23_ai4i,2_zero + dynamic,21,0.5406 ± 0.0598
23_ai4i,2_zero + dynamic,22,0.5408 ± 0.0598
23_ai4i,2_zero + dynamic,23,0.5408 ± 0.0592
23_ai4i,2_zero + dynamic,24,0.5408 ± 0.0593
23_ai4i,2_zero + dynamic,25,0.5409 ± 0.0590
23_ai4i,2_zero + dynamic,26,0.5409 ± 0.0592
23_ai4i,2_zero + dynamic,27,0.5408 ± 0.0593
23_ai4i,2_zero + dynamic,28,0.5410 ± 0.0590
23_ai4i,2_zero + dynamic,29,0.5407 ± 0.0591
23_ai4i,2_zero + dynamic,30,0.5409 ± 0.0591
23_ai4i,datawig,1,0.6070 ± 0.0000
23_ai4i,datawig,2,0.5980 ± 0.0000
23_ai4i,datawig,3,0.6060 ± 0.0000
23_ai4i,datawig,4,0.5945 ± 0.0000
23_ai4i,datawig,5,0.6050 ± 0.0000
23_ai4i,datawig,6,0.6070 ± 0.0000
23_ai4i,datawig,7,0.5905 ± 0.0000
23_ai4i,datawig,8,0.6130 ± 0.0000
23_ai4i,datawig,9,0.5985 ± 0.0000
23_ai4i,datawig,10,0.5790 ± 0.0000
23_ai4i,datawig,11,0.5925 ± 0.0000
23_ai4i,datawig,12,0.5955 ± 0.0000
23_ai4i,datawig,13,0.5925 ± 0.0000
23_ai4i,datawig,14,0.5935 ± 0.0000
23_ai4i,datawig,15,0.5955 ± 0.0000
23_ai4i,datawig,16,0.6150 ± 0.0000
23_ai4i,datawig,17,0.5970 ± 0.0000
23_ai4i,datawig,18,0.6090 ± 0.0000
23_ai4i,datawig,19,0.5960 ± 0.0000
23_ai4i,datawig,20,0.6055 ± 0.0000
23_ai4i,datawig,21,0.6040 ± 0.0000
23_ai4i,datawig,22,0.6055 ± 0.0000
23_ai4i,datawig,23,0.5850 ± 0.0000
23_ai4i,datawig,24,0.6020 ± 0.0000
23_ai4i,datawig,25,0.5960 ± 0.0000
23_ai4i,datawig,26,0.6065 ± 0.0000
23_ai4i,datawig,27,0.5960 ± 0.0000
23_ai4i,datawig,28,0.5975 ± 0.0000
23_ai4i,datawig,29,0.5945 ± 0.0000
23_ai4i,datawig,30,0.6055 ± 0.0000
23_ai4i,dynamic,1,0.4835 ± 0.0000
23_ai4i,dynamic,2,0.4815 ± 0.0000
23_ai4i,dynamic,3,0.4790 ± 0.0000
23_ai4i,dynamic,4,0.4800 ± 0.0000
23_ai4i,dynamic,5,0.4775 ± 0.0000
23_ai4i,dynamic,6,0.4880 ± 0.0000
23_ai4i,dynamic,7,0.4830 ± 0.0000
23_ai4i,dynamic,8,0.4700 ± 0.0000
23_ai4i,dynamic,9,0.4885 ± 0.0000
23_ai4i,dynamic,10,0.4945 ± 0.0000
23_ai4i,dynamic,11,0.4845 ± 0.0000
23_ai4i,dynamic,12,0.4755 ± 0.0000
23_ai4i,dynamic,13,0.4680 ± 0.0000
23_ai4i,dynamic,14,0.4960 ± 0.0000
23_ai4i,dynamic,15,0.4975 ± 0.0000
23_ai4i,dynamic,16,0.4915 ± 0.0000
23_ai4i,dynamic,17,0.4745 ± 0.0000
23_ai4i,dynamic,18,0.4750 ± 0.0000
23_ai4i,dynamic,19,0.4785 ± 0.0000
23_ai4i,dynamic,20,0.4705 ± 0.0000
23_ai4i,dynamic,21,0.4745 ± 0.0000
23_ai4i,dynamic,22,0.4870 ± 0.0000
23_ai4i,dynamic,23,0.4955 ± 0.0000
23_ai4i,dynamic,24,0.4790 ± 0.0000
23_ai4i,dynamic,25,0.4925 ± 0.0000
23_ai4i,dynamic,26,0.4775 ± 0.0000
23_ai4i,dynamic,27,0.4755 ± 0.0000
23_ai4i,dynamic,28,0.4955 ± 0.0000
23_ai4i,dynamic,29,0.4730 ± 0.0000
23_ai4i,dynamic,30,0.4875 ± 0.0000
23_ai4i,knn,1,0.6070 ± 0.0000
23_ai4i,knn,2,0.5980 ± 0.0000
23_ai4i,knn,3,0.6060 ± 0.0000
23_ai4i,knn,4,0.5945 ± 0.0000
23_ai4i,knn,5,0.6050 ± 0.0000
23_ai4i,knn,6,0.6070 ± 0.0000
23_ai4i,knn,7,0.5905 ± 0.0000
23_ai4i,knn,8,0.6130 ± 0.0000
23_ai4i,knn,9,0.5985 ± 0.0000
23_ai4i,knn,10,0.5790 ± 0.0000
23_ai4i,knn,11,0.5925 ± 0.0000
23_ai4i,knn,12,0.5955 ± 0.0000
23_ai4i,knn,13,0.5925 ± 0.0000
23_ai4i,knn,14,0.5935 ± 0.0000
23_ai4i,knn,15,0.5955 ± 0.0000
23_ai4i,knn,16,0.6150 ± 0.0000
23_ai4i,knn,17,0.5970 ± 0.0000
23_ai4i,knn,18,0.6090 ± 0.0000
23_ai4i,knn,19,0.5960 ± 0.0000
23_ai4i,knn,20,0.6055 ± 0.0000
23_ai4i,knn,21,0.6040 ± 0.0000
23_ai4i,knn,22,0.6055 ± 0.0000
23_ai4i,knn,23,0.5850 ± 0.0000
23_ai4i,knn,24,0.6020 ± 0.0000
23_ai4i,knn,25,0.5960 ± 0.0000
23_ai4i,knn,26,0.6065 ± 0.0000
23_ai4i,knn,27,0.5960 ± 0.0000
23_ai4i,knn,28,0.5975 ± 0.0000
23_ai4i,knn,29,0.5945 ± 0.0000
23_ai4i,knn,30,0.6055 ± 0.0000
23_ai4i,zero,1,0.6070 ± 0.0000
23_ai4i,zero,2,0.5975 ± 0.0000
23_ai4i,zero,3,0.6060 ± 0.0000
23_ai4i,zero,4,0.5945 ± 0.0000
23_ai4i,zero,5,0.6050 ± 0.0000
23_ai4i,zero,6,0.6070 ± 0.0000
23_ai4i,zero,7,0.5905 ± 0.0000
23_ai4i,zero,8,0.6130 ± 0.0000
23_ai4i,zero,9,0.5985 ± 0.0000
23_ai4i,zero,10,0.5790 ± 0.0000
23_ai4i,zero,11,0.5925 ± 0.0000
23_ai4i,zero,12,0.5955 ± 0.0000
23_ai4i,zero,13,0.5925 ± 0.0000
23_ai4i,zero,14,0.5935 ± 0.0000
23_ai4i,zero,15,0.5955 ± 0.0000
23_ai4i,zero,16,0.6150 ± 0.0000
23_ai4i,zero,17,0.5970 ± 0.0000
23_ai4i,zero,18,0.6090 ± 0.0000
23_ai4i,zero,19,0.5960 ± 0.0000
23_ai4i,zero,20,0.6055 ± 0.0000
23_ai4i,zero,21,0.6040 ± 0.0000
23_ai4i,zero,22,0.6055 ± 0.0000
23_ai4i,zero,23,0.5850 ± 0.0000
23_ai4i,zero,24,0.6020 ± 0.0000
23_ai4i,zero,25,0.5960 ± 0.0000
23_ai4i,zero,26,0.6065 ± 0.0000
23_ai4i,zero,27,0.5960 ± 0.0000
23_ai4i,zero,28,0.5975 ± 0.0000
23_ai4i,zero,29,0.5945 ± 0.0000
23_ai4i,zero,30,0.6055 ± 0.0000
23_ai4i,3_zero+datawig,1,0.6070 ± 0.0000
23_ai4i,3_zero+datawig,2,0.6025 ± 0.0045
23_ai4i,3_zero+datawig,3,0.6037 ± 0.0040
23_ai4i,3_zero+datawig,4,0.6014 ± 0.0053
23_ai4i,3_zero+datawig,5,0.6021 ± 0.0050
23_ai4i,3_zero+datawig,6,0.6030 ± 0.0049
23_ai4i,3_zero+datawig,7,0.6011 ± 0.0065
23_ai4i,3_zero+datawig,8,0.6025 ± 0.0072
23_ai4i,3_zero+datawig,9,0.6021 ± 0.0069
23_ai4i,3_zero+datawig,10,0.5997 ± 0.0097
23_ai4i,3_zero+datawig,11,0.5990 ± 0.0095
23_ai4i,3_zero+datawig,12,0.5987 ± 0.0091
23_ai4i,3_zero+datawig,13,0.5982 ± 0.0089
23_ai4i,3_zero+datawig,14,0.5979 ± 0.0087
23_ai4i,3_zero+datawig,15,0.5977 ± 0.0084
23_ai4i,3_zero+datawig,16,0.5988 ± 0.0092
23_ai4i,3_zero+datawig,17,0.5987 ± 0.0089
23_ai4i,3_zero+datawig,18,0.5992 ± 0.0089
