Dataset,method,Experiment,Accuracy
2_heart_disease,1_zero+knn,1,0.4016 ± 0.0574
2_heart_disease,1_zero+knn,2,0.3402 ± 0.0746
2_heart_disease,1_zero+knn,3,0.3607 ± 0.0798
2_heart_disease,1_zero+knn,4,0.3770 ± 0.0765
2_heart_disease,1_zero+knn,5,0.3820 ± 0.0800
2_heart_disease,1_zero+knn,6,0.4126 ± 0.1001
2_heart_disease,1_zero+knn,7,0.4192 ± 0.0959
2_heart_disease,1_zero+knn,8,0.4191 ± 0.0902
2_heart_disease,1_zero+knn,9,0.4153 ± 0.0867
2_heart_disease,1_zero+knn,10,0.4189 ± 0.0840
2_heart_disease,2_zero + dynamic,1,0.8279 ± 0.0410
2_heart_disease,2_zero + dynamic,2,0.8156 ± 0.0660
2_heart_disease,2_zero + dynamic,3,0.8115 ± 0.0550
2_heart_disease,2_zero + dynamic,4,0.8053 ± 0.0515
2_heart_disease,2_zero + dynamic,5,0.7902 ± 0.0562
2_heart_disease,2_zero + dynamic,6,0.7951 ± 0.0529
2_heart_disease,2_zero + dynamic,7,0.7916 ± 0.0586
2_heart_disease,2_zero + dynamic,8,0.7971 ± 0.0579
2_heart_disease,2_zero + dynamic,9,0.7969 ± 0.0563
2_heart_disease,2_zero + dynamic,10,0.7877 ± 0.0621
2_heart_disease,3_zero+datawig,1,0.4016 ± 0.0410
2_heart_disease,3_zero+datawig,2,0.4139 ± 0.0660
2_heart_disease,3_zero+datawig,3,0.3798 ± 0.0730
2_heart_disease,3_zero+datawig,4,0.3934 ± 0.0733
2_heart_disease,3_zero+datawig,5,0.4082 ± 0.0720
2_heart_disease,3_zero+datawig,6,0.4290 ± 0.0838
2_heart_disease,3_zero+datawig,7,0.4145 ± 0.0907
2_heart_disease,3_zero+datawig,8,0.4078 ± 0.0875
2_heart_disease,3_zero+datawig,9,0.4044 ± 0.0859
2_heart_disease,3_zero+datawig,10,0.4098 ± 0.0887
2_heart_disease,4_knn + dynamic,1,0.8525 ± 0.0164
2_heart_disease,4_knn + dynamic,2,0.8443 ± 0.0376
2_heart_disease,4_knn + dynamic,3,0.8333 ± 0.0347
2_heart_disease,4_knn + dynamic,4,0.8238 ± 0.0364
2_heart_disease,4_knn + dynamic,5,0.8049 ± 0.0510
2_heart_disease,4_knn + dynamic,6,0.8060 ± 0.0477
2_heart_disease,4_knn + dynamic,7,0.8056 ± 0.0479
2_heart_disease,4_knn + dynamic,8,0.8043 ± 0.0520
2_heart_disease,4_knn + dynamic,9,0.8015 ± 0.0532
2_heart_disease,4_knn + dynamic,10,0.7943 ± 0.0555
1_breast,5_knn+datawig,1,0.4262 ± 0.0492
1_breast,5_knn+datawig,2,0.4016 ± 0.0816
1_breast,5_knn+datawig,3,0.4098 ± 0.0676
1_breast,5_knn+datawig,4,0.3873 ± 0.0733
1_breast,5_knn+datawig,5,0.3984 ± 0.0692
1_breast,5_knn+datawig,6,0.3934 ± 0.1054
1_breast,5_knn+datawig,7,0.3993 ± 0.0987
1_breast,5_knn+datawig,8,0.3914 ± 0.1019
1_breast,5_knn+datawig,9,0.3962 ± 0.0970
1_breast,5_knn+datawig,10,0.4057 ± 0.0977
2_heart_disease,6_dynamic + datawig,1,0.8115 ± 0.0574
2_heart_disease,6_dynamic + datawig,2,0.8197 ± 0.0580
2_heart_disease,6_dynamic + datawig,3,0.8005 ± 0.0638
2_heart_disease,6_dynamic + datawig,4,0.8012 ± 0.0559
2_heart_disease,6_dynamic + datawig,5,0.7836 ± 0.0638
2_heart_disease,6_dynamic + datawig,6,0.7896 ± 0.0602
2_heart_disease,6_dynamic + datawig,7,0.7904 ± 0.0598
2_heart_disease,6_dynamic + datawig,8,0.7971 ± 0.0594
2_heart_disease,6_dynamic + datawig,9,0.7996 ± 0.0567
2_heart_disease,6_dynamic + datawig,10,0.7918 ± 0.0596
2_heart_disease,7_dynamic + datawig + zero,1,0.8470 ± 0.0204
2_heart_disease,7_dynamic + datawig + zero,2,0.8279 ± 0.0533
2_heart_disease,7_dynamic + datawig + zero,3,0.8197 ± 0.0457
2_heart_disease,7_dynamic + datawig + zero,4,0.8115 ± 0.0436
2_heart_disease,7_dynamic + datawig + zero,5,0.7934 ± 0.0541
2_heart_disease,7_dynamic + datawig + zero,6,0.7969 ± 0.0516
2_heart_disease,7_dynamic + datawig + zero,7,0.7947 ± 0.0522
2_heart_disease,7_dynamic + datawig + zero,8,0.7958 ± 0.0518
2_heart_disease,7_dynamic + datawig + zero,9,0.7948 ± 0.0507
2_heart_disease,7_dynamic + datawig + zero,10,0.7842 ± 0.0597
2_heart_disease,8_dynamic + datawig + knn,1,0.8415 ± 0.0279
2_heart_disease,8_dynamic + datawig + knn,2,0.8197 ± 0.0535
2_heart_disease,8_dynamic + datawig + knn,3,0.7996 ± 0.0577
2_heart_disease,8_dynamic + datawig + knn,4,0.8005 ± 0.0505
2_heart_disease,8_dynamic + datawig + knn,5,0.7803 ± 0.0630
2_heart_disease,8_dynamic + datawig + knn,6,0.7878 ± 0.0610
2_heart_disease,8_dynamic + datawig + knn,7,0.7853 ± 0.0613
2_heart_disease,8_dynamic + datawig + knn,8,0.7869 ± 0.0606
2_heart_disease,8_dynamic + datawig + knn,9,0.7869 ± 0.0594
2_heart_disease,8_dynamic + datawig + knn,10,0.7803 ± 0.0607
2_heart_disease,9_datawig+zero+knn.py,1,0.4208 ± 0.0337
2_heart_disease,9_datawig+zero+knn.py,2,0.4399 ± 0.0347
2_heart_disease,9_datawig+zero+knn.py,3,0.4281 ± 0.0349
2_heart_disease,9_datawig+zero+knn.py,4,0.4303 ± 0.0429
2_heart_disease,9_datawig+zero+knn.py,5,0.4404 ± 0.0443
2_heart_disease,9_datawig+zero+knn.py,6,0.4454 ± 0.0587
2_heart_disease,9_datawig+zero+knn.py,7,0.4395 ± 0.0567
2_heart_disease,9_datawig+zero+knn.py,8,0.4344 ± 0.0617
2_heart_disease,9_datawig+zero+knn.py,9,0.4250 ± 0.0643
2_heart_disease,9_datawig+zero+knn.py,10,0.4235 ± 0.0690
2_heart_disease,10_dynamic+zero+knn,1,0.8306 ± 0.0430
2_heart_disease,10_dynamic+zero+knn,2,0.8142 ± 0.0589
2_heart_disease,10_dynamic+zero+knn,3,0.8051 ± 0.0521
2_heart_disease,10_dynamic+zero+knn,4,0.8046 ± 0.0466
2_heart_disease,10_dynamic+zero+knn,5,0.7836 ± 0.0620
2_heart_disease,10_dynamic+zero+knn,6,0.7896 ± 0.0584
2_heart_disease,10_dynamic+zero+knn,7,0.7869 ± 0.0592
