Dataset,method,Experiment,Accuracy
4_wine,1_zero+knn,1,0.3889 ± 0.0000
4_wine,1_zero+knn,2,0.3889 ± 0.0000
4_wine,1_zero+knn,3,0.4259 ± 0.0524
4_wine,1_zero+knn,4,0.4167 ± 0.0481
4_wine,1_zero+knn,5,0.3889 ± 0.0703
4_wine,1_zero+knn,6,0.4120 ± 0.0824
4_wine,1_zero+knn,7,0.4048 ± 0.0784
4_wine,1_zero+knn,8,0.3785 ± 0.1011
4_wine,1_zero+knn,9,0.3765 ± 0.0954
4_wine,1_zero+knn,10,0.3833 ± 0.0928
4_wine,2_zero + dynamic,1,0.8056 ± 0.1667
4_wine,2_zero + dynamic,2,0.7917 ± 0.1540
4_wine,2_zero + dynamic,3,0.7778 ± 0.1807
4_wine,2_zero + dynamic,4,0.7812 ± 0.1743
4_wine,2_zero + dynamic,5,0.7972 ± 0.1708
4_wine,2_zero + dynamic,6,0.7824 ± 0.1756
4_wine,2_zero + dynamic,7,0.7837 ± 0.1693
4_wine,2_zero + dynamic,8,0.7969 ± 0.1648
4_wine,2_zero + dynamic,9,0.7963 ± 0.1609
4_wine,2_zero + dynamic,10,0.7931 ± 0.1665
4_wine,3_zero+datawig,1,0.3889 ± 0.0000
4_wine,3_zero+datawig,2,0.3889 ± 0.0000
4_wine,3_zero+datawig,3,0.4259 ± 0.0524
4_wine,3_zero+datawig,4,0.4167 ± 0.0481
4_wine,3_zero+datawig,5,0.3889 ± 0.0703
4_wine,3_zero+datawig,6,0.4120 ± 0.0824
4_wine,3_zero+datawig,7,0.4048 ± 0.0784
4_wine,3_zero+datawig,8,0.3785 ± 0.1011
4_wine,3_zero+datawig,9,0.3765 ± 0.0954
4_wine,3_zero+datawig,10,0.3833 ± 0.0928
4_wine,4_knn + dynamic,1,0.8056 ± 0.1667
4_wine,4_knn + dynamic,2,0.7917 ± 0.1540
4_wine,4_knn + dynamic,3,0.7731 ± 0.1760
4_wine,4_knn + dynamic,4,0.7812 ± 0.1743
4_wine,4_knn + dynamic,5,0.7972 ± 0.1708
4_wine,4_knn + dynamic,6,0.7824 ± 0.1756
4_wine,4_knn + dynamic,7,0.7877 ± 0.1730
4_wine,4_knn + dynamic,8,0.8021 ± 0.1698
4_wine,4_knn + dynamic,9,0.8040 ± 0.1681
4_wine,4_knn + dynamic,10,0.8000 ± 0.1729
4_wine,5_knn+datawig,1,0.3889 ± 0.0000
4_wine,5_knn+datawig,2,0.3889 ± 0.0000
4_wine,5_knn+datawig,3,0.4259 ± 0.0524
4_wine,5_knn+datawig,4,0.4167 ± 0.0481
4_wine,5_knn+datawig,5,0.3889 ± 0.0703
4_wine,5_knn+datawig,6,0.4120 ± 0.0824
4_wine,5_knn+datawig,7,0.4048 ± 0.0784
4_wine,5_knn+datawig,8,0.3785 ± 0.1011
4_wine,5_knn+datawig,9,0.3765 ± 0.0954
4_wine,5_knn+datawig,10,0.3833 ± 0.0928
4_wine,6_dynamic + datawig,1,0.8056 ± 0.1667
4_wine,6_dynamic + datawig,2,0.7917 ± 0.1540
4_wine,6_dynamic + datawig,3,0.7731 ± 0.1760
4_wine,6_dynamic + datawig,4,0.7778 ± 0.1707
4_wine,6_dynamic + datawig,5,0.7944 ± 0.1681
4_wine,6_dynamic + datawig,6,0.7824 ± 0.1749
4_wine,6_dynamic + datawig,7,0.7857 ± 0.1704
4_wine,6_dynamic + datawig,8,0.8003 ± 0.1676
4_wine,6_dynamic + datawig,9,0.8040 ± 0.1678
4_wine,6_dynamic + datawig,10,0.8000 ± 0.1727
4_wine,7_dynamic + datawig + zero,1,0.8519 ± 0.1510
4_wine,7_dynamic + datawig + zero,2,0.8380 ± 0.1429
4_wine,7_dynamic + datawig + zero,3,0.8272 ± 0.1634
4_wine,7_dynamic + datawig + zero,4,0.8333 ± 0.1608
4_wine,7_dynamic + datawig + zero,5,0.8481 ± 0.1581
4_wine,7_dynamic + datawig + zero,6,0.8364 ± 0.1635
4_wine,7_dynamic + datawig + zero,7,0.8373 ± 0.1586
4_wine,7_dynamic + datawig + zero,8,0.8484 ± 0.1542
4_wine,7_dynamic + datawig + zero,9,0.8519 ± 0.1542
4_wine,7_dynamic + datawig + zero,10,0.8491 ± 0.1584
4_wine,8_dynamic + datawig + knn,1,0.8611 ± 0.1571
4_wine,8_dynamic + datawig + knn,2,0.8426 ± 0.1467
4_wine,8_dynamic + datawig + knn,3,0.8302 ± 0.1659
4_wine,8_dynamic + datawig + knn,4,0.8356 ± 0.1625
4_wine,8_dynamic + datawig + knn,5,0.8481 ± 0.1577
4_wine,8_dynamic + datawig + knn,6,0.8364 ± 0.1633
4_wine,8_dynamic + datawig + knn,7,0.8386 ± 0.1591
4_wine,8_dynamic + datawig + knn,8,0.8507 ± 0.1557
4_wine,8_dynamic + datawig + knn,9,0.8529 ± 0.1547
4_wine,8_dynamic + datawig + knn,10,0.8500 ± 0.1589
4_wine_disease,9_datawig+zero+knn.py,1,0.3889 ± 0.0000
4_wine_disease,9_datawig+zero+knn.py,2,0.3889 ± 0.0000
4_wine_disease,9_datawig+zero+knn.py,3,0.4259 ± 0.0524
4_wine_disease,9_datawig+zero+knn.py,4,0.4167 ± 0.0481
4_wine_disease,9_datawig+zero+knn.py,5,0.3889 ± 0.0703
4_wine_disease,9_datawig+zero+knn.py,6,0.4120 ± 0.0824
4_wine_disease,9_datawig+zero+knn.py,7,0.4048 ± 0.0784
4_wine_disease,9_datawig+zero+knn.py,8,0.3785 ± 0.1011
4_wine_disease,9_datawig+zero+knn.py,9,0.3765 ± 0.0954
4_wine_disease,9_datawig+zero+knn.py,10,0.3833 ± 0.0928
4_wine,10_dynamic+zero+knn,1,0.8611 ± 0.1571
4_wine,10_dynamic+zero+knn,2,0.8380 ± 0.1438
4_wine,10_dynamic+zero+knn,3,0.8302 ± 0.1664
4_wine,10_dynamic+zero+knn,4,0.8356 ± 0.1629
4_wine,10_dynamic+zero+knn,5,0.8500 ± 0.1597
4_wine,10_dynamic+zero+knn,6,0.8349 ± 0.1639
4_wine,10_dynamic+zero+knn,7,0.8399 ± 0.1617
4_wine,10_dynamic+zero+knn,8,0.8507 ± 0.1569
4_wine,10_dynamic+zero+knn,9,0.8519 ± 0.1549
4_wine,10_dynamic+zero+knn,10,0.8500 ± 0.1597
4_wine,11_all(dynamic+datawig+zero+knn),1,0.8819 ± 0.1408
4_wine,11_all(dynamic+datawig+zero+knn),2,0.8611 ± 0.1310
4_wine,11_all(dynamic+datawig+zero+knn),3,0.8565 ± 0.1512
4_wine,11_all(dynamic+datawig+zero+knn),4,0.8611 ± 0.1480
4_wine,11_all(dynamic+datawig+zero+knn),5,0.8736 ± 0.1445
4_wine,11_all(dynamic+datawig+zero+knn),6,0.8611 ± 0.1494
4_wine,11_all(dynamic+datawig+zero+knn),7,0.8631 ± 0.1458
4_wine,11_all(dynamic+datawig+zero+knn),8,0.8733 ± 0.1420
4_wine,11_all(dynamic+datawig+zero+knn),9,0.8765 ± 0.1417
4_wine,11_all(dynamic+datawig+zero+knn),10,0.8750 ± 0.1457
4_wine,datawig,1,0.3889 ± 0.0000
4_wine,datawig,2,0.3889 ± 0.0000
4_wine,datawig,3,0.5000 ± 0.0000
4_wine,datawig,4,0.3889 ± 0.0000
4_wine,datawig,5,0.2778 ± 0.0000
4_wine,datawig,6,0.5278 ± 0.0000
4_wine,datawig,7,0.3611 ± 0.0000
4_wine,datawig,8,0.1944 ± 0.0000
4_wine,datawig,9,0.3611 ± 0.0000
4_wine,datawig,10,0.4444 ± 0.0000
4_wine,dynamic,1,0.4167 ± 0.0000
4_wine,dynamic,2,0.4167 ± 0.0000
4_wine,dynamic,3,0.5000 ± 0.0000
4_wine,dynamic,4,0.4444 ± 0.0000
4_wine,dynamic,5,0.3611 ± 0.0000
4_wine,dynamic,6,0.6389 ± 0.0000
4_wine,dynamic,7,0.4167 ± 0.0000
4_wine,dynamic,8,0.2500 ± 0.0000
4_wine,dynamic,9,0.4444 ± 0.0000
4_wine,dynamic,10,0.4722 ± 0.0000
4_wine,knn,1,0.3889 ± 0.0000
4_wine,knn,2,0.3889 ± 0.0000
4_wine,knn,3,0.5000 ± 0.0000
4_wine,knn,4,0.3889 ± 0.0000
4_wine,knn,5,0.2778 ± 0.0000
4_wine,knn,6,0.5278 ± 0.0000
4_wine,knn,7,0.3611 ± 0.0000
4_wine,knn,8,0.1944 ± 0.0000
4_wine,knn,9,0.3611 ± 0.0000
4_wine,knn,10,0.4444 ± 0.0000
4_wine,zero,1,0.3889 ± 0.0000
4_wine,zero,2,0.3889 ± 0.0000
4_wine,zero,3,0.5000 ± 0.0000
4_wine,zero,4,0.3889 ± 0.0000
4_wine,zero,5,0.2778 ± 0.0000
4_wine,zero,6,0.5278 ± 0.0000
4_wine,zero,7,0.3611 ± 0.0000
4_wine,zero,8,0.1944 ± 0.0000
4_wine,zero,9,0.3611 ± 0.0000
4_wine,zero,10,0.4444 ± 0.0000
