Dataset,method,Experiment,Accuracy
8_liver,1_zero+knn,1,0.1304 ± 0.0000
8_liver,1_zero+knn,2,0.0942 ± 0.0362
8_liver,1_zero+knn,3,0.0870 ± 0.0313
8_liver,1_zero+knn,4,0.0725 ± 0.0369
8_liver,1_zero+knn,5,0.0754 ± 0.0336
8_liver,1_zero+knn,6,0.0700 ± 0.0329
8_liver,1_zero+knn,7,0.0725 ± 0.0310
8_liver,1_zero+knn,8,0.0707 ± 0.0294
8_liver,1_zero+knn,9,0.0692 ± 0.0280
8_liver,1_zero+knn,10,0.0638 ± 0.0312
8_liver,1_zero+knn,11,0.0632 ± 0.0298
8_liver,1_zero+knn,12,0.0616 ± 0.0291
8_liver,1_zero+knn,13,0.0591 ± 0.0292
8_liver,1_zero+knn,14,0.0580 ± 0.0285
8_liver,1_zero+knn,15,0.0570 ± 0.0277
8_liver,1_zero+knn,16,0.0571 ± 0.0269
8_liver,1_zero+knn,17,0.0554 ± 0.0269
8_liver,1_zero+knn,18,0.0556 ± 0.0261
8_liver,1_zero+knn,19,0.0549 ± 0.0256
8_liver,1_zero+knn,20,0.0551 ± 0.0249
8_liver,1_zero+knn,21,0.0545 ± 0.0245
8_liver,1_zero+knn,22,0.0547 ± 0.0239
8_liver,1_zero+knn,23,0.0542 ± 0.0235
8_liver,1_zero+knn,24,0.0543 ± 0.0230
8_liver,1_zero+knn,25,0.0539 ± 0.0226
8_liver,1_zero+knn,26,0.0546 ± 0.0225
8_liver,1_zero+knn,27,0.0537 ± 0.0226
8_liver,1_zero+knn,28,0.0549 ± 0.0230
8_liver,1_zero+knn,29,0.0545 ± 0.0227
8_liver,1_zero+knn,30,0.0546 ± 0.0224
8_liver,2_zero + dynamic,1,0.8696 ± 0.0000
8_liver,2_zero + dynamic,2,0.9058 ± 0.0362
8_liver,2_zero + dynamic,3,0.9130 ± 0.0313
8_liver,2_zero + dynamic,4,0.9275 ± 0.0369
8_liver,2_zero + dynamic,5,0.9246 ± 0.0336
8_liver,2_zero + dynamic,6,0.9300 ± 0.0329
8_liver,2_zero + dynamic,7,0.9275 ± 0.0310
8_liver,2_zero + dynamic,8,0.9293 ± 0.0294
8_liver,2_zero + dynamic,9,0.9308 ± 0.0280
8_liver,2_zero + dynamic,10,0.9362 ± 0.0312
8_liver,2_zero + dynamic,11,0.9368 ± 0.0298
8_liver,2_zero + dynamic,12,0.9384 ± 0.0291
8_liver,2_zero + dynamic,13,0.9409 ± 0.0292
8_liver,2_zero + dynamic,14,0.9420 ± 0.0285
8_liver,2_zero + dynamic,15,0.9430 ± 0.0277
8_liver,2_zero + dynamic,16,0.9429 ± 0.0269
8_liver,2_zero + dynamic,17,0.9446 ± 0.0269
8_liver,2_zero + dynamic,18,0.9444 ± 0.0261
8_liver,2_zero + dynamic,19,0.9451 ± 0.0256
8_liver,2_zero + dynamic,20,0.9449 ± 0.0249
8_liver,2_zero + dynamic,21,0.9455 ± 0.0245
