Dataset,method,Experiment,Accuracy
9_abalone,1_zero+knn,1,0.2990 ± 0.0024
9_abalone,1_zero+knn,2,0.3068 ± 0.0084
9_abalone,1_zero+knn,3,0.3068 ± 0.0068
9_abalone,1_zero+knn,4,0.3091 ± 0.0073
9_abalone,1_zero+knn,5,0.3118 ± 0.0092
9_abalone,1_zero+knn,6,0.3150 ± 0.0109
9_abalone,1_zero+knn,7,0.3122 ± 0.0122
9_abalone,1_zero+knn,8,0.3134 ± 0.0119
9_abalone,1_zero+knn,9,0.3119 ± 0.0124
9_abalone,1_zero+knn,10,0.3123 ± 0.0121
9_abalone,1_zero+knn,11,0.3113 ± 0.0119
9_abalone,1_zero+knn,12,0.3119 ± 0.0115
9_abalone,1_zero+knn,13,0.3092 ± 0.0146
9_abalone,1_zero+knn,14,0.3084 ± 0.0144
9_abalone,1_zero+knn,15,0.3100 ± 0.0152
9_abalone,1_zero+knn,16,0.3102 ± 0.0149
9_abalone,1_zero+knn,17,0.3108 ± 0.0149
9_abalone,1_zero+knn,18,0.3103 ± 0.0146
9_abalone,1_zero+knn,19,0.3102 ± 0.0142
9_abalone,1_zero+knn,20,0.3097 ± 0.0141
9_abalone,1_zero+knn,21,0.3103 ± 0.0140
9_abalone,1_zero+knn,22,0.3115 ± 0.0150
9_abalone,1_zero+knn,23,0.3121 ± 0.0150
9_abalone,1_zero+knn,24,0.3127 ± 0.0149
9_abalone,1_zero+knn,25,0.3127 ± 0.0147
9_abalone,1_zero+knn,26,0.3128 ± 0.0148
9_abalone,1_zero+knn,27,0.3119 ± 0.0152
9_abalone,1_zero+knn,28,0.3117 ± 0.0151
9_abalone,1_zero+knn,29,0.3115 ± 0.0149
9_abalone,1_zero+knn,30,0.3117 ± 0.0146
9_abalone,2_zero + dynamic,1,0.7028 ± 0.0030
9_abalone,2_zero + dynamic,2,0.6950 ± 0.0086
9_abalone,2_zero + dynamic,3,0.6900 ± 0.0151
9_abalone,2_zero + dynamic,4,0.6879 ± 0.0138
9_abalone,2_zero + dynamic,5,0.6860 ± 0.0149
9_abalone,2_zero + dynamic,6,0.6841 ± 0.0144
9_abalone,2_zero + dynamic,7,0.6855 ± 0.0145
9_abalone,2_zero + dynamic,8,0.6859 ± 0.0137
9_abalone,2_zero + dynamic,9,0.6879 ± 0.0142
9_abalone,2_zero + dynamic,10,0.6882 ± 0.0136
9_abalone,2_zero + dynamic,11,0.6895 ± 0.0137
9_abalone,2_zero + dynamic,12,0.6886 ± 0.0135
9_abalone,2_zero + dynamic,13,0.6911 ± 0.0155
9_abalone,2_zero + dynamic,14,0.6915 ± 0.0151
9_abalone,2_zero + dynamic,15,0.6907 ± 0.0148
9_abalone,2_zero + dynamic,16,0.6907 ± 0.0145
9_abalone,2_zero + dynamic,17,0.6908 ± 0.0141
9_abalone,2_zero + dynamic,18,0.6909 ± 0.0138
9_abalone,2_zero + dynamic,19,0.6910 ± 0.0134
9_abalone,2_zero + dynamic,20,0.6908 ± 0.0131
9_abalone,2_zero + dynamic,21,0.6906 ± 0.0128
9_abalone,2_zero + dynamic,22,0.6896 ± 0.0134
9_abalone,2_zero + dynamic,23,0.6886 ± 0.0142
9_abalone,2_zero + dynamic,24,0.6881 ± 0.0141
9_abalone,2_zero + dynamic,25,0.6878 ± 0.0139
9_abalone,2_zero + dynamic,26,0.6876 ± 0.0137
9_abalone,2_zero + dynamic,27,0.6880 ± 0.0137
9_abalone,2_zero + dynamic,28,0.6886 ± 0.0138
9_abalone,2_zero + dynamic,29,0.6884 ± 0.0136
9_abalone,2_zero + dynamic,30,0.6879 ± 0.0136
9_abalone,3_zero+datawig,1,0.2931 ± 0.0000
9_abalone,3_zero+datawig,2,0.3077 ± 0.0151
9_abalone,3_zero+datawig,3,0.3076 ± 0.0124
9_abalone,3_zero+datawig,4,0.3097 ± 0.0115
9_abalone,3_zero+datawig,5,0.3111 ± 0.0109
9_abalone,3_zero+datawig,6,0.3128 ± 0.0116
9_abalone,3_zero+datawig,7,0.3104 ± 0.0122
9_abalone,3_zero+datawig,8,0.3118 ± 0.0121
9_abalone,3_zero+datawig,9,0.3095 ± 0.0132
9_abalone,3_zero+datawig,10,0.3092 ± 0.0125
9_abalone,3_zero+datawig,11,0.3084 ± 0.0122
9_abalone,3_zero+datawig,12,0.3091 ± 0.0120
9_abalone,3_zero+datawig,13,0.3064 ± 0.0148
9_abalone,3_zero+datawig,14,0.3071 ± 0.0149
9_abalone,3_zero+datawig,15,0.3083 ± 0.0151
9_abalone,3_zero+datawig,16,0.3088 ± 0.0149
9_abalone,3_zero+datawig,17,0.3089 ± 0.0144
9_abalone,3_zero+datawig,18,0.3087 ± 0.0141
9_abalone,3_zero+datawig,19,0.3087 ± 0.0137
9_abalone,3_zero+datawig,20,0.3080 ± 0.0137
9_abalone,3_zero+datawig,21,0.3076 ± 0.0137
9_abalone,3_zero+datawig,22,0.3096 ± 0.0162
9_abalone,3_zero+datawig,23,0.3101 ± 0.0160
9_abalone,3_zero+datawig,24,0.3110 ± 0.0163
9_abalone,3_zero+datawig,25,0.3112 ± 0.0161
9_abalone,3_zero+datawig,26,0.3110 ± 0.0159
9_abalone,3_zero+datawig,27,0.3103 ± 0.0162
9_abalone,3_zero+datawig,28,0.3099 ± 0.0160
9_abalone,3_zero+datawig,29,0.3098 ± 0.0157
9_abalone,3_zero+datawig,30,0.3099 ± 0.0155
9_abalone,4_knn + dynamic,1,0.6950 ± 0.0084
9_abalone,4_knn + dynamic,2,0.6905 ± 0.0075
9_abalone,4_knn + dynamic,3,0.6886 ± 0.0094
9_abalone,4_knn + dynamic,4,0.6872 ± 0.0090
9_abalone,4_knn + dynamic,5,0.6861 ± 0.0099
9_abalone,4_knn + dynamic,6,0.6836 ± 0.0106
9_abalone,4_knn + dynamic,7,0.6880 ± 0.0149
9_abalone,4_knn + dynamic,8,0.6881 ± 0.0141
9_abalone,4_knn + dynamic,9,0.6893 ± 0.0138
9_abalone,4_knn + dynamic,10,0.6892 ± 0.0132
9_abalone,4_knn + dynamic,11,0.6902 ± 0.0131
9_abalone,4_knn + dynamic,12,0.6895 ± 0.0127
9_abalone,4_knn + dynamic,13,0.6915 ± 0.0143
9_abalone,4_knn + dynamic,14,0.6916 ± 0.0138
9_abalone,4_knn + dynamic,15,0.6905 ± 0.0140
9_abalone,4_knn + dynamic,16,0.6905 ± 0.0137
9_abalone,4_knn + dynamic,17,0.6900 ± 0.0135
9_abalone,4_knn + dynamic,18,0.6898 ± 0.0135
9_abalone,4_knn + dynamic,19,0.6901 ± 0.0132
9_abalone,4_knn + dynamic,20,0.6899 ± 0.0129
9_abalone,4_knn + dynamic,21,0.6899 ± 0.0126
9_abalone,4_knn + dynamic,22,0.6891 ± 0.0129
9_abalone,4_knn + dynamic,23,0.6887 ± 0.0127
9_abalone,4_knn + dynamic,24,0.6880 ± 0.0132
