Dataset,method,Experiment,Accuracy,RMSE
10_lympho,zero,1,0.6000 ± 0.0000,0.9756 ± 0.0000
10_lympho,zero,2,0.5667 ± 0.0000,0.9631 ± 0.0125
10_lympho,zero,3,0.6333 ± 0.0000,0.9689 ± 0.0130
10_lympho,zero,4,0.6333 ± 0.0000,1.0001 ± 0.0552
10_lympho,zero,5,0.5333 ± 0.0000,1.0397 ± 0.0933
10_lympho,zero,6,0.6333 ± 0.0000,1.0548 ± 0.0916
10_lympho,zero,7,0.6667 ± 0.0000,1.0582 ± 0.0852
10_lympho,zero,8,0.7000 ± 0.0000,1.0664 ± 0.0826
10_lympho,zero,9,0.6000 ± 0.0000,1.0761 ± 0.0826
10_lympho,zero,10,0.5333 ± 0.0000,1.0736 ± 0.0787
10_lympho,zero,11,0.6667 ± 0.0000,1.0732 ± 0.0751
10_lympho,zero,12,0.7000 ± 0.0000,1.0648 ± 0.0772
10_lympho,zero,13,0.7000 ± 0.0000,1.0713 ± 0.0775
10_lympho,zero,14,0.7667 ± 0.0000,1.0727 ± 0.0749
10_lympho,zero,15,0.6000 ± 0.0000,1.0708 ± 0.0727
10_lympho,zero,16,0.6667 ± 0.0000,1.0735 ± 0.0712
10_lympho,zero,17,0.6333 ± 0.0000,1.0696 ± 0.0708
10_lympho,zero,18,0.6667 ± 0.0000,1.0671 ± 0.0696
10_lympho,zero,19,0.7000 ± 0.0000,1.0679 ± 0.0678
10_lympho,zero,20,0.5333 ± 0.0000,1.0648 ± 0.0674
10_lympho,zero,21,0.5667 ± 0.0000,1.0589 ± 0.0709
10_lympho,zero,22,0.6667 ± 0.0000,1.0638 ± 0.0728
10_lympho,zero,23,0.6667 ± 0.0000,1.0674 ± 0.0731
10_lympho,zero,24,0.6667 ± 0.0000,1.0644 ± 0.0730
10_lympho,zero,25,0.7000 ± 0.0000,1.0679 ± 0.0737
10_lympho,zero,26,0.6667 ± 0.0000,1.0663 ± 0.0727
10_lympho,zero,27,0.7333 ± 0.0000,1.0699 ± 0.0736
10_lympho,zero,28,0.7333 ± 0.0000,1.0720 ± 0.0730
10_lympho,zero,29,0.7333 ± 0.0000,1.0709 ± 0.0720
10_lympho,zero,30,0.6000 ± 0.0000,1.0752 ± 0.0744
10_lympho,knn,1,0.8333 ± 0.0000,0.2794 ± 0.0000
10_lympho,knn,2,0.8667 ± 0.0000,0.2947 ± 0.0153
10_lympho,knn,3,0.9000 ± 0.0000,0.3114 ± 0.0268
10_lympho,knn,4,0.9000 ± 0.0000,0.3110 ± 0.0232
10_lympho,knn,5,0.9667 ± 0.0000,0.3254 ± 0.0355
10_lympho,knn,6,0.7667 ± 0.0000,0.3262 ± 0.0325
10_lympho,knn,7,0.8667 ± 0.0000,0.3268 ± 0.0301
10_lympho,knn,8,0.8667 ± 0.0000,0.3354 ± 0.0362
10_lympho,knn,9,0.7333 ± 0.0000,0.3391 ± 0.0357
10_lympho,knn,10,0.7333 ± 0.0000,0.3343 ± 0.0369
10_lympho,knn,11,0.7667 ± 0.0000,0.3313 ± 0.0364
10_lympho,knn,12,0.8667 ± 0.0000,0.3325 ± 0.0351
10_lympho,knn,13,0.8333 ± 0.0000,0.3393 ± 0.0411
10_lympho,knn,14,0.8333 ± 0.0000,0.3369 ± 0.0405
10_lympho,knn,15,0.9000 ± 0.0000,0.3369 ± 0.0391
10_lympho,knn,16,0.9000 ± 0.0000,0.3379 ± 0.0381
10_lympho,knn,17,0.8000 ± 0.0000,0.3382 ± 0.0370
10_lympho,knn,18,0.7333 ± 0.0000,0.3384 ± 0.0359
10_lympho,knn,19,0.8333 ± 0.0000,0.3390 ± 0.0351
10_lympho,knn,20,0.7000 ± 0.0000,0.3431 ± 0.0385
10_lympho,knn,21,0.7000 ± 0.0000,0.3438 ± 0.0378
10_lympho,knn,22,0.8000 ± 0.0000,0.3487 ± 0.0430
10_lympho,knn,23,0.8000 ± 0.0000,0.3469 ± 0.0429
10_lympho,knn,24,0.8333 ± 0.0000,0.3491 ± 0.0432
10_lympho,knn,25,0.8333 ± 0.0000,0.3509 ± 0.0433
10_lympho,knn,26,0.8333 ± 0.0000,0.3511 ± 0.0424
10_lympho,knn,27,0.9000 ± 0.0000,0.3501 ± 0.0419
10_lympho,knn,28,0.8000 ± 0.0000,0.3492 ± 0.0415
10_lympho,knn,29,0.8667 ± 0.0000,0.3477 ± 0.0416
10_lympho,knn,30,0.7667 ± 0.0000,0.3500 ± 0.0427
10_lympho,datawig,1,0.7333 ± 0.0000,0.4289 ± 0.0000
10_lympho,datawig,2,0.8000 ± 0.0000,0.4311 ± 0.0022
10_lympho,datawig,3,0.7667 ± 0.0000,0.4419 ± 0.0154
10_lympho,datawig,4,0.8000 ± 0.0000,0.4457 ± 0.0149
10_lympho,datawig,5,0.9333 ± 0.0000,0.4534 ± 0.0203
10_lympho,datawig,6,0.7667 ± 0.0000,0.4528 ± 0.0186
10_lympho,datawig,7,0.8000 ± 0.0000,0.4538 ± 0.0173
10_lympho,datawig,8,0.8333 ± 0.0000,0.4655 ± 0.0349
10_lympho,datawig,9,0.7000 ± 0.0000,0.4649 ± 0.0330
10_lympho,datawig,10,0.7000 ± 0.0000,0.4599 ± 0.0348
10_lympho,datawig,11,0.7667 ± 0.0000,0.4575 ± 0.0340
