Dataset,method,Experiment,Accuracy,RMSE
11_iris,datawig,1,1.0000 ± 0.0000,0.4211 ± 0.0000
11_iris,datawig,2,1.0000 ± 0.0000,0.4073 ± 0.0138
11_iris,datawig,3,1.0000 ± 0.0000,0.4088 ± 0.0115
11_iris,datawig,4,1.0000 ± 0.0000,0.3943 ± 0.0270
11_iris,datawig,5,1.0000 ± 0.0000,0.4290 ± 0.0735
11_iris,datawig,6,1.0000 ± 0.0000,0.4158 ± 0.0733
11_iris,datawig,7,0.9667 ± 0.0000,0.4215 ± 0.0692
11_iris,datawig,8,1.0000 ± 0.0000,0.4067 ± 0.0756
11_iris,datawig,9,1.0000 ± 0.0000,0.4036 ± 0.0718
11_iris,datawig,10,1.0000 ± 0.0000,0.4061 ± 0.0686
11_iris,datawig,11,1.0000 ± 0.0000,0.3973 ± 0.0711
11_iris,datawig,12,0.9667 ± 0.0000,0.3995 ± 0.0685
11_iris,datawig,13,0.9667 ± 0.0000,0.3917 ± 0.0711
11_iris,datawig,14,0.9667 ± 0.0000,0.3982 ± 0.0724
11_iris,datawig,15,1.0000 ± 0.0000,0.3977 ± 0.0699
11_iris,datawig,16,1.0000 ± 0.0000,0.3982 ± 0.0677
11_iris,datawig,17,1.0000 ± 0.0000,0.3987 ± 0.0657
11_iris,datawig,18,1.0000 ± 0.0000,0.3987 ± 0.0639
11_iris,datawig,19,0.9667 ± 0.0000,0.3995 ± 0.0623
11_iris,datawig,20,0.9667 ± 0.0000,0.4073 ± 0.0696
11_iris,datawig,21,1.0000 ± 0.0000,0.4064 ± 0.0681
11_iris,datawig,22,1.0000 ± 0.0000,0.4046 ± 0.0670
11_iris,datawig,23,1.0000 ± 0.0000,0.4056 ± 0.0657
11_iris,datawig,24,0.9667 ± 0.0000,0.4084 ± 0.0657
11_iris,datawig,25,0.9667 ± 0.0000,0.4125 ± 0.0674
11_iris,datawig,26,0.9667 ± 0.0000,0.4160 ± 0.0684
11_iris,datawig,27,0.9667 ± 0.0000,0.4183 ± 0.0681
11_iris,datawig,28,1.0000 ± 0.0000,0.4176 ± 0.0670
11_iris,datawig,29,1.0000 ± 0.0000,0.4185 ± 0.0660
11_iris,datawig,30,1.0000 ± 0.0000,0.4190 ± 0.0649
11_iris,dynamic,1,0.7000 ± 0.0000,3.9335 ± 0.0000
11_iris,dynamic,2,0.7333 ± 0.0000,3.9122 ± 0.0213
11_iris,dynamic,3,0.7000 ± 0.0000,3.8930 ± 0.0323
11_iris,dynamic,4,0.6667 ± 0.0000,3.8867 ± 0.0300
11_iris,dynamic,5,0.6333 ± 0.0000,3.8924 ± 0.0292
11_iris,dynamic,6,0.8333 ± 0.0000,3.9096 ± 0.0468
11_iris,dynamic,7,0.8000 ± 0.0000,3.9204 ± 0.0507
11_iris,dynamic,8,0.8333 ± 0.0000,3.9268 ± 0.0504
11_iris,dynamic,9,0.7333 ± 0.0000,3.9311 ± 0.0491
11_iris,dynamic,10,0.6333 ± 0.0000,3.9318 ± 0.0466
11_iris,dynamic,11,0.7667 ± 0.0000,3.9312 ± 0.0445
11_iris,dynamic,12,0.7333 ± 0.0000,3.9332 ± 0.0431
11_iris,dynamic,13,0.7000 ± 0.0000,3.9351 ± 0.0419
11_iris,dynamic,14,0.7667 ± 0.0000,3.9352 ± 0.0404
11_iris,dynamic,15,0.7000 ± 0.0000,3.9297 ± 0.0441
11_iris,dynamic,16,0.8000 ± 0.0000,3.9314 ± 0.0432
11_iris,dynamic,17,0.7667 ± 0.0000,3.9352 ± 0.0446
11_iris,dynamic,18,0.7667 ± 0.0000,3.9461 ± 0.0624
11_iris,dynamic,19,0.7000 ± 0.0000,3.9461 ± 0.0607
11_iris,dynamic,20,0.7333 ± 0.0000,3.9472 ± 0.0594
11_iris,dynamic,21,0.8000 ± 0.0000,3.9483 ± 0.0582
11_iris,dynamic,22,0.8000 ± 0.0000,3.9454 ± 0.0584
11_iris,dynamic,23,0.8333 ± 0.0000,3.9477 ± 0.0582
11_iris,dynamic,24,0.7000 ± 0.0000,3.9466 ± 0.0572
11_iris,dynamic,25,0.7667 ± 0.0000,3.9472 ± 0.0561
11_iris,dynamic,26,0.7667 ± 0.0000,3.9490 ± 0.0557
11_iris,dynamic,27,0.7000 ± 0.0000,3.9463 ± 0.0563
11_iris,dynamic,28,0.8333 ± 0.0000,3.9498 ± 0.0583
11_iris,dynamic,29,0.7667 ± 0.0000,3.9492 ± 0.0573
11_iris,dynamic,30,0.8667 ± 0.0000,3.9576 ± 0.0722
11_iris,knn,1,1.0000 ± 0.0000,0.1498 ± 0.0000
11_iris,knn,2,1.0000 ± 0.0000,0.1294 ± 0.0204
11_iris,knn,3,1.0000 ± 0.0000,0.1259 ± 0.0174
11_iris,knn,4,1.0000 ± 0.0000,0.1323 ± 0.0187
11_iris,knn,5,1.0000 ± 0.0000,0.1298 ± 0.0175
11_iris,knn,6,1.0000 ± 0.0000,0.1311 ± 0.0162
11_iris,knn,7,1.0000 ± 0.0000,0.1300 ± 0.0152
11_iris,knn,8,1.0000 ± 0.0000,0.1357 ± 0.0208
11_iris,knn,9,1.0000 ± 0.0000,0.1322 ± 0.0221
11_iris,knn,10,1.0000 ± 0.0000,0.1299 ± 0.0220
11_iris,knn,11,1.0000 ± 0.0000,0.1274 ± 0.0224
11_iris,knn,12,1.0000 ± 0.0000,0.1272 ± 0.0215
11_iris,knn,13,1.0000 ± 0.0000,0.1298 ± 0.0226
11_iris,knn,14,1.0000 ± 0.0000,0.1286 ± 0.0222
11_iris,knn,15,1.0000 ± 0.0000,0.1294 ± 0.0217
11_iris,knn,16,1.0000 ± 0.0000,0.1289 ± 0.0211
11_iris,knn,17,1.0000 ± 0.0000,0.1283 ± 0.0206
11_iris,knn,18,1.0000 ± 0.0000,0.1282 ± 0.0200
11_iris,knn,19,1.0000 ± 0.0000,0.1292 ± 0.0200
11_iris,knn,20,1.0000 ± 0.0000,0.1291 ± 0.0195
11_iris,knn,21,1.0000 ± 0.0000,0.1289 ± 0.0190
11_iris,knn,22,1.0000 ± 0.0000,0.1316 ± 0.0224
11_iris,knn,23,1.0000 ± 0.0000,0.1312 ± 0.0220
11_iris,knn,24,1.0000 ± 0.0000,0.1300 ± 0.0223
11_iris,knn,25,1.0000 ± 0.0000,0.1306 ± 0.0221
11_iris,knn,26,1.0000 ± 0.0000,0.1323 ± 0.0233
11_iris,knn,27,1.0000 ± 0.0000,0.1321 ± 0.0229
11_iris,knn,28,1.0000 ± 0.0000,0.1331 ± 0.0231
11_iris,knn,29,1.0000 ± 0.0000,0.1329 ± 0.0227
11_iris,knn,30,1.0000 ± 0.0000,0.1326 ± 0.0224
11_iris,zero,1,1.0000 ± 0.0000,1.2771 ± 0.0000
11_iris,zero,2,1.0000 ± 0.0000,1.3963 ± 0.1192
11_iris,zero,3,0.9667 ± 0.0000,1.4414 ± 0.1164
11_iris,zero,4,1.0000 ± 0.0000,1.4873 ± 0.1283
11_iris,zero,5,1.0000 ± 0.0000,1.4667 ± 0.1219
11_iris,zero,6,1.0000 ± 0.0000,1.4876 ± 0.1206
11_iris,zero,7,1.0000 ± 0.0000,1.5161 ± 0.1318
11_iris,zero,8,1.0000 ± 0.0000,1.5174 ± 0.1233
11_iris,zero,9,1.0000 ± 0.0000,1.5095 ± 0.1184
11_iris,zero,10,1.0000 ± 0.0000,1.5319 ± 0.1307
11_iris,zero,11,1.0000 ± 0.0000,1.5186 ± 0.1315
11_iris,zero,12,1.0000 ± 0.0000,1.5321 ± 0.1337
11_iris,zero,13,1.0000 ± 0.0000,1.5280 ± 0.1292
11_iris,zero,14,1.0000 ± 0.0000,1.5315 ± 0.1251
11_iris,zero,15,1.0000 ± 0.0000,1.4989 ± 0.1717
11_iris,zero,16,1.0000 ± 0.0000,1.5139 ± 0.1762
11_iris,zero,17,1.0000 ± 0.0000,1.5317 ± 0.1851
11_iris,zero,18,1.0000 ± 0.0000,1.5419 ± 0.1848
11_iris,zero,19,1.0000 ± 0.0000,1.5448 ± 0.1803
11_iris,zero,20,1.0000 ± 0.0000,1.5526 ± 0.1789
11_iris,zero,21,1.0000 ± 0.0000,1.5494 ± 0.1752
11_iris,zero,22,1.0000 ± 0.0000,1.5658 ± 0.1869
11_iris,zero,23,1.0000 ± 0.0000,1.5649 ± 0.1829
11_iris,zero,24,1.0000 ± 0.0000,1.5635 ± 0.1792
11_iris,zero,25,1.0000 ± 0.0000,1.5680 ± 0.1770
11_iris,zero,26,1.0000 ± 0.0000,1.5586 ± 0.1799
11_iris,zero,27,1.0000 ± 0.0000,1.5658 ± 0.1803
11_iris,zero,28,1.0000 ± 0.0000,1.5646 ± 0.1772
11_iris,zero,29,1.0000 ± 0.0000,1.5640 ± 0.1741
11_iris,zero,30,1.0000 ± 0.0000,1.5688 ± 0.1732
