Dataset,method,Experiment,Accuracy,RMSE
12_darwin,datawig,1,0.7377 ± 0.0000,7.6303 ± 0.0000
12_darwin,datawig,2,0.7213 ± 0.0000,7.1551 ± 0.4753
12_darwin,datawig,3,0.6885 ± 0.0000,7.2743 ± 0.4231
12_darwin,datawig,4,0.7049 ± 0.0000,7.0779 ± 0.5001
12_darwin,datawig,5,0.7869 ± 0.0000,6.9953 ± 0.4768
12_darwin,datawig,6,0.5902 ± 0.0000,7.0552 ± 0.4553
12_darwin,datawig,7,0.6721 ± 0.0000,7.1182 ± 0.4489
12_darwin,datawig,8,0.7705 ± 0.0000,7.2508 ± 0.5472
12_darwin,datawig,9,0.6557 ± 0.0000,7.3639 ± 0.6070
12_darwin,datawig,10,0.6885 ± 0.0000,7.2368 ± 0.6905
12_darwin,datawig,11,0.7377 ± 0.0000,7.2394 ± 0.6584
12_darwin,datawig,12,0.5738 ± 0.0000,7.2454 ± 0.6307
12_darwin,datawig,13,0.7705 ± 0.0000,7.2562 ± 0.6071
12_darwin,datawig,14,0.7541 ± 0.0000,7.3052 ± 0.6112
12_darwin,datawig,15,0.6557 ± 0.0000,7.3537 ± 0.6178
12_darwin,datawig,16,0.5738 ± 0.0000,7.3384 ± 0.6011
12_darwin,datawig,17,0.7541 ± 0.0000,7.2591 ± 0.6639
12_darwin,datawig,18,0.8197 ± 0.0000,7.4162 ± 0.9144
12_darwin,datawig,19,0.6066 ± 0.0000,7.3974 ± 0.8936
12_darwin,datawig,20,0.8361 ± 0.0000,7.4023 ± 0.8712
12_darwin,datawig,21,0.7869 ± 0.0000,7.4249 ± 0.8562
12_darwin,datawig,22,0.6885 ± 0.0000,7.4746 ± 0.8670
12_darwin,datawig,23,0.8197 ± 0.0000,7.4909 ± 0.8514
12_darwin,datawig,24,0.8197 ± 0.0000,7.5117 ± 0.8394
12_darwin,datawig,25,0.7705 ± 0.0000,7.5290 ± 0.8268
12_darwin,datawig,26,0.7377 ± 0.0000,7.5333 ± 0.8110
12_darwin,datawig,27,0.7049 ± 0.0000,7.5731 ± 0.8213
12_darwin,datawig,28,0.7213 ± 0.0000,7.5858 ± 0.8092
12_darwin,datawig,29,0.7377 ± 0.0000,7.5887 ± 0.7953
12_darwin,datawig,30,0.8033 ± 0.0000,7.5605 ± 0.7965
12_darwin,dynamic,1,0.4590 ± 0.0000,88.8311 ± 0.0000
12_darwin,dynamic,2,0.5246 ± 0.0000,89.9301 ± 1.0991
12_darwin,dynamic,3,0.4918 ± 0.0000,89.7756 ± 0.9236
12_darwin,dynamic,4,0.4590 ± 0.0000,90.1723 ± 1.0544
12_darwin,dynamic,5,0.5410 ± 0.0000,89.9131 ± 1.0761
12_darwin,dynamic,6,0.3770 ± 0.0000,89.9660 ± 0.9894
12_darwin,dynamic,7,0.4590 ± 0.0000,89.7553 ± 1.0514
12_darwin,dynamic,8,0.4262 ± 0.0000,89.8318 ± 1.0041
12_darwin,dynamic,9,0.5246 ± 0.0000,90.1961 ± 1.3992
12_darwin,dynamic,10,0.4918 ± 0.0000,90.4113 ± 1.4762
12_darwin,dynamic,11,0.5082 ± 0.0000,90.6499 ± 1.5970
12_darwin,dynamic,12,0.3607 ± 0.0000,90.4769 ± 1.6331
12_darwin,dynamic,13,0.5410 ± 0.0000,90.4021 ± 1.5903
12_darwin,dynamic,14,0.4754 ± 0.0000,90.3889 ± 1.5332
12_darwin,dynamic,15,0.4754 ± 0.0000,90.3820 ± 1.4814
12_darwin,dynamic,16,0.4590 ± 0.0000,90.3845 ± 1.4344
