Dataset,method,Experiment,Accuracy,RMSE
13_image,datawig,1,0.8810 ± 0.0000,49.5178 ± 0.0000
13_image,datawig,2,0.8810 ± 0.0000,31.3071 ± 18.2107
13_image,datawig,3,0.7619 ± 0.0000,25.4376 ± 17.0291
13_image,datawig,4,0.8333 ± 0.0000,23.6797 ± 15.0586
13_image,datawig,5,0.9286 ± 0.0000,22.0060 ± 13.8786
13_image,datawig,6,0.8810 ± 0.0000,20.5539 ± 13.0788
13_image,datawig,7,0.8571 ± 0.0000,19.9441 ± 12.2004
13_image,datawig,8,0.9286 ± 0.0000,19.1498 ± 11.6043
13_image,datawig,9,0.8810 ± 0.0000,18.4224 ± 11.1324
13_image,datawig,10,0.8571 ± 0.0000,18.1041 ± 10.6042
13_image,datawig,11,0.8095 ± 0.0000,18.0286 ± 10.1135
13_image,datawig,12,0.8571 ± 0.0000,17.6930 ± 9.7468
13_image,datawig,13,0.8810 ± 0.0000,17.3336 ± 9.4468
13_image,datawig,14,0.9286 ± 0.0000,16.9798 ± 9.1921
13_image,datawig,15,0.7619 ± 0.0000,18.8635 ± 11.3375
13_image,datawig,16,0.8810 ± 0.0000,18.4910 ± 11.0718
13_image,datawig,17,0.8333 ± 0.0000,18.4087 ± 10.7463
13_image,datawig,18,0.8571 ± 0.0000,18.3106 ± 10.4513
13_image,datawig,19,0.8333 ± 0.0000,18.0952 ± 10.2136
13_image,datawig,20,0.9524 ± 0.0000,17.8961 ± 9.9927
13_image,datawig,21,0.8810 ± 0.0000,17.6293 ± 9.8246
13_image,datawig,22,0.8095 ± 0.0000,17.4623 ± 9.6292
13_image,datawig,23,0.8571 ± 0.0000,17.2756 ± 9.4581
13_image,datawig,24,0.8810 ± 0.0000,17.2255 ± 9.2621
13_image,datawig,25,0.8333 ± 0.0000,17.0721 ± 9.1060
13_image,datawig,26,0.9048 ± 0.0000,17.4511 ± 9.1281
13_image,datawig,27,0.9048 ± 0.0000,18.0364 ± 9.4416
13_image,datawig,28,0.9762 ± 0.0000,17.9638 ± 9.2792
13_image,datawig,29,0.8095 ± 0.0000,17.7820 ± 9.1684
13_image,datawig,30,0.9524 ± 0.0000,17.6263 ± 9.0532
13_image,dynamic,1,0.8333 ± 0.0000,76.2250 ± 0.0000
13_image,dynamic,2,0.8333 ± 0.0000,66.8985 ± 9.3265
13_image,dynamic,3,0.6667 ± 0.0000,61.2907 ± 10.9947
13_image,dynamic,4,0.8571 ± 0.0000,59.2834 ± 10.1366
13_image,dynamic,5,0.8810 ± 0.0000,58.0968 ± 9.3719
13_image,dynamic,6,0.8333 ± 0.0000,57.5356 ± 8.6469
13_image,dynamic,7,0.8095 ± 0.0000,56.7251 ± 8.2480
13_image,dynamic,8,0.8810 ± 0.0000,56.1614 ± 7.8581
13_image,dynamic,9,0.8571 ± 0.0000,55.9184 ± 7.4405
13_image,dynamic,10,0.8095 ± 0.0000,55.7503 ± 7.0767
13_image,dynamic,11,0.7857 ± 0.0000,55.6700 ± 6.7521
13_image,dynamic,12,0.7619 ± 0.0000,55.5833 ± 6.4711
13_image,dynamic,13,0.8333 ± 0.0000,55.1988 ± 6.3583
13_image,dynamic,14,0.9286 ± 0.0000,55.1495 ± 6.1296
13_image,dynamic,15,0.7619 ± 0.0000,56.1395 ± 6.9849
13_image,dynamic,16,0.8571 ± 0.0000,56.1087 ± 6.7642
13_image,dynamic,17,0.8333 ± 0.0000,56.0367 ± 6.5685
13_image,dynamic,18,0.8810 ± 0.0000,55.9934 ± 6.3860
13_image,dynamic,19,0.7857 ± 0.0000,55.9907 ± 6.2156
13_image,dynamic,20,0.9048 ± 0.0000,56.0050 ± 6.0586
13_image,dynamic,21,0.8810 ± 0.0000,55.9759 ± 5.9140
13_image,dynamic,22,0.7857 ± 0.0000,55.7972 ± 5.8358
13_image,dynamic,23,0.9048 ± 0.0000,56.0134 ± 5.7969
13_image,dynamic,24,0.9048 ± 0.0000,55.9578 ± 5.6811
13_image,dynamic,25,0.8333 ± 0.0000,55.8439 ± 5.5942
13_image,dynamic,26,0.9048 ± 0.0000,56.6460 ± 6.7953
13_image,dynamic,27,0.8571 ± 0.0000,57.3461 ± 7.5637
13_image,dynamic,28,0.9286 ± 0.0000,57.2831 ± 7.4347
13_image,dynamic,29,0.9286 ± 0.0000,57.0702 ± 7.3917
13_image,dynamic,30,0.9286 ± 0.0000,56.9824 ± 7.2828
13_image,knn,1,0.9286 ± 0.0000,7.7283 ± 0.0000
13_image,knn,2,0.9048 ± 0.0000,9.0061 ± 1.2778
13_image,knn,3,0.9286 ± 0.0000,9.0061 ± 1.0434
13_image,knn,4,0.9048 ± 0.0000,9.5897 ± 1.3558
13_image,knn,5,0.9048 ± 0.0000,9.8882 ± 1.3516
13_image,knn,6,0.9524 ± 0.0000,9.2668 ± 1.8582
13_image,knn,7,0.8810 ± 0.0000,9.2057 ± 1.7268
13_image,knn,8,0.9524 ± 0.0000,9.3309 ± 1.6489
13_image,knn,9,0.9524 ± 0.0000,9.2645 ± 1.5659
13_image,knn,10,1.0000 ± 0.0000,9.4244 ± 1.5611
13_image,knn,11,0.9286 ± 0.0000,9.1557 ± 1.7139
13_image,knn,12,1.0000 ± 0.0000,9.1686 ± 1.6415
13_image,knn,13,0.9286 ± 0.0000,9.1944 ± 1.5796
13_image,knn,14,1.0000 ± 0.0000,9.0932 ± 1.5652
13_image,knn,15,0.9286 ± 0.0000,9.0511 ± 1.5204
13_image,knn,16,0.9524 ± 0.0000,8.9110 ± 1.5688
13_image,knn,17,0.9524 ± 0.0000,9.0116 ± 1.5743
13_image,knn,18,0.9524 ± 0.0000,9.1791 ± 1.6785
13_image,knn,19,0.9048 ± 0.0000,9.3074 ± 1.7220
13_image,knn,20,1.0000 ± 0.0000,9.2951 ± 1.6793
13_image,knn,21,1.0000 ± 0.0000,9.2281 ± 1.6660
13_image,knn,22,0.9762 ± 0.0000,9.0925 ± 1.7422
13_image,knn,23,0.9762 ± 0.0000,9.0713 ± 1.7068
13_image,knn,24,0.9048 ± 0.0000,9.1526 ± 1.7158
13_image,knn,25,0.8571 ± 0.0000,9.1794 ± 1.6862
13_image,knn,26,0.9762 ± 0.0000,9.3024 ± 1.7642
13_image,knn,27,0.9524 ± 0.0000,9.3523 ± 1.7498
13_image,knn,28,0.9762 ± 0.0000,9.3843 ± 1.7263
13_image,knn,29,0.9762 ± 0.0000,9.2884 ± 1.7704
13_image,knn,30,0.9762 ± 0.0000,9.2496 ± 1.7532
13_image,zero,1,0.8571 ± 0.0000,24.7795 ± 0.0000
13_image,zero,2,0.8333 ± 0.0000,24.5227 ± 0.2567
13_image,zero,3,0.7619 ± 0.0000,23.9749 ± 0.8025
13_image,zero,4,0.8333 ± 0.0000,23.7257 ± 0.8182
13_image,zero,5,0.8810 ± 0.0000,23.7094 ± 0.7326
13_image,zero,6,0.8571 ± 0.0000,23.4986 ± 0.8181
13_image,zero,7,0.7857 ± 0.0000,23.2701 ± 0.9419
13_image,zero,8,0.8810 ± 0.0000,23.0506 ± 1.0552
13_image,zero,9,0.9286 ± 0.0000,23.2802 ± 1.1880
13_image,zero,10,0.8810 ± 0.0000,23.0405 ± 1.3368
13_image,zero,11,0.8333 ± 0.0000,22.6691 ± 1.7332
13_image,zero,12,0.8571 ± 0.0000,22.7639 ± 1.6889
13_image,zero,13,0.8095 ± 0.0000,22.6865 ± 1.6446
13_image,zero,14,0.8810 ± 0.0000,22.7670 ± 1.6112
13_image,zero,15,0.8333 ± 0.0000,22.5548 ± 1.7475
13_image,zero,16,0.9048 ± 0.0000,22.5826 ± 1.6954
13_image,zero,17,0.9524 ± 0.0000,22.8193 ± 1.8979
13_image,zero,18,0.9048 ± 0.0000,22.9453 ± 1.9162
13_image,zero,19,0.8095 ± 0.0000,23.0792 ± 1.9497
13_image,zero,20,0.9286 ± 0.0000,23.1582 ± 1.9312
13_image,zero,21,0.9524 ± 0.0000,23.1817 ± 1.8876
13_image,zero,22,0.8333 ± 0.0000,23.1643 ± 1.8460
13_image,zero,23,0.8095 ± 0.0000,23.2403 ± 1.8402
13_image,zero,24,0.9286 ± 0.0000,23.4171 ± 1.9911
13_image,zero,25,0.8571 ± 0.0000,23.4211 ± 1.9510
13_image,zero,26,0.8810 ± 0.0000,23.5059 ± 1.9595
13_image,zero,27,0.8810 ± 0.0000,23.6194 ± 2.0081
13_image,zero,28,0.8571 ± 0.0000,23.4294 ± 2.2052
13_image,zero,29,0.9048 ± 0.0000,23.4712 ± 2.1781
13_image,zero,30,0.9762 ± 0.0000,23.4558 ± 2.1431
