Dataset,method,Experiment,Accuracy,RMSE
14_national,dynamic,1,0.8443 ± 0.0000,0.9633 ± 0.0000
14_national,dynamic,2,0.8728 ± 0.0000,0.9097 ± 0.0536
14_national,dynamic,3,0.8662 ± 0.0000,0.9268 ± 0.0501
14_national,dynamic,4,0.8684 ± 0.0000,0.9517 ± 0.0611
14_national,dynamic,5,0.8509 ± 0.0000,0.9427 ± 0.0576
14_national,dynamic,6,0.8487 ± 0.0000,0.9468 ± 0.0534
14_national,dynamic,7,0.8268 ± 0.0000,0.9518 ± 0.0509
14_national,dynamic,8,0.8487 ± 0.0000,0.9506 ± 0.0478
14_national,dynamic,9,0.8180 ± 0.0000,0.9580 ± 0.0496
14_national,dynamic,10,0.8311 ± 0.0000,0.9558 ± 0.0475
14_national,dynamic,11,0.8640 ± 0.0000,0.9566 ± 0.0454
14_national,dynamic,12,0.8553 ± 0.0000,0.9581 ± 0.0437
14_national,dynamic,13,0.8596 ± 0.0000,0.9544 ± 0.0439
14_national,dynamic,14,0.8311 ± 0.0000,0.9590 ± 0.0455
14_national,dynamic,15,0.8465 ± 0.0000,0.9600 ± 0.0441
14_national,dynamic,16,0.8158 ± 0.0000,0.9610 ± 0.0429
14_national,dynamic,17,0.8333 ± 0.0000,0.9649 ± 0.0445
14_national,dynamic,18,0.8421 ± 0.0000,0.9632 ± 0.0438
14_national,dynamic,19,0.8180 ± 0.0000,0.9688 ± 0.0488
14_national,dynamic,20,0.8509 ± 0.0000,0.9700 ± 0.0478
14_national,dynamic,21,0.8706 ± 0.0000,0.9726 ± 0.0482
14_national,dynamic,22,0.8443 ± 0.0000,0.9702 ± 0.0483
14_national,dynamic,23,0.8268 ± 0.0000,0.9718 ± 0.0478
14_national,dynamic,24,0.8531 ± 0.0000,0.9726 ± 0.0470
14_national,dynamic,25,0.8289 ± 0.0000,0.9737 ± 0.0464
14_national,dynamic,26,0.8421 ± 0.0000,0.9750 ± 0.0460
14_national,dynamic,27,0.8114 ± 0.0000,0.9786 ± 0.0486
14_national,dynamic,28,0.8246 ± 0.0000,0.9770 ± 0.0485
14_national,dynamic,29,0.8289 ± 0.0000,0.9799 ± 0.0500
14_national,dynamic,30,0.8311 ± 0.0000,0.9801 ± 0.0492
14_national,zero,1,0.9101 ± 0.0000,0.5474 ± 0.0000
14_national,zero,2,0.9232 ± 0.0000,0.5673 ± 0.0199
14_national,zero,3,0.9167 ± 0.0000,0.5689 ± 0.0164
14_national,zero,4,0.9276 ± 0.0000,0.5469 ± 0.0406
14_national,zero,5,0.8904 ± 0.0000,0.5508 ± 0.0371
14_national,zero,6,0.9101 ± 0.0000,0.5509 ± 0.0339
14_national,zero,7,0.9189 ± 0.0000,0.5527 ± 0.0317
14_national,zero,8,0.8838 ± 0.0000,0.5580 ± 0.0327
14_national,zero,9,0.8772 ± 0.0000,0.5578 ± 0.0308
14_national,zero,10,0.9057 ± 0.0000,0.5627 ± 0.0328
14_national,zero,11,0.9101 ± 0.0000,0.5621 ± 0.0313
14_national,zero,12,0.8947 ± 0.0000,0.5548 ± 0.0385
14_national,zero,13,0.9364 ± 0.0000,0.5573 ± 0.0380
14_national,zero,14,0.9035 ± 0.0000,0.5511 ± 0.0429
14_national,zero,15,0.8947 ± 0.0000,0.5540 ± 0.0429
14_national,zero,16,0.8882 ± 0.0000,0.5555 ± 0.0419
14_national,zero,17,0.8969 ± 0.0000,0.5498 ± 0.0466
14_national,zero,18,0.9035 ± 0.0000,0.5508 ± 0.0455
14_national,zero,19,0.9101 ± 0.0000,0.5477 ± 0.0461
14_national,zero,20,0.9167 ± 0.0000,0.5490 ± 0.0453
14_national,zero,21,0.9232 ± 0.0000,0.5515 ± 0.0457
14_national,zero,22,0.8947 ± 0.0000,0.5535 ± 0.0455
14_national,zero,23,0.8991 ± 0.0000,0.5504 ± 0.0468
14_national,zero,24,0.9057 ± 0.0000,0.5504 ± 0.0459
14_national,zero,25,0.9145 ± 0.0000,0.5508 ± 0.0450
14_national,zero,26,0.9013 ± 0.0000,0.5483 ± 0.0458
14_national,zero,27,0.8728 ± 0.0000,0.5488 ± 0.0451
14_national,zero,28,0.8925 ± 0.0000,0.5497 ± 0.0445
14_national,zero,29,0.8684 ± 0.0000,0.5495 ± 0.0437
14_national,zero,30,0.8991 ± 0.0000,0.5478 ± 0.0439
14_national,knn,1,0.9298 ± 0.0000,0.2491 ± 0.0000
14_national,knn,2,0.9408 ± 0.0000,0.2477 ± 0.0013
14_national,knn,3,0.9342 ± 0.0000,0.2516 ± 0.0056
14_national,knn,4,0.9474 ± 0.0000,0.2430 ± 0.0158
14_national,knn,5,0.9320 ± 0.0000,0.2445 ± 0.0145
14_national,knn,6,0.9364 ± 0.0000,0.2462 ± 0.0137
14_national,knn,7,0.9254 ± 0.0000,0.2482 ± 0.0137
14_national,knn,8,0.9101 ± 0.0000,0.2497 ± 0.0134
14_national,knn,9,0.9320 ± 0.0000,0.2492 ± 0.0127
14_national,knn,10,0.9430 ± 0.0000,0.2501 ± 0.0124
14_national,knn,11,0.9408 ± 0.0000,0.2490 ± 0.0123
14_national,knn,12,0.9298 ± 0.0000,0.2458 ± 0.0160
14_national,knn,13,0.9474 ± 0.0000,0.2464 ± 0.0155
14_national,knn,14,0.9298 ± 0.0000,0.2438 ± 0.0178
14_national,knn,15,0.9189 ± 0.0000,0.2440 ± 0.0172
14_national,knn,16,0.9079 ± 0.0000,0.2446 ± 0.0168
14_national,knn,17,0.9298 ± 0.0000,0.2420 ± 0.0195
14_national,knn,18,0.9276 ± 0.0000,0.2423 ± 0.0190
14_national,knn,19,0.9254 ± 0.0000,0.2411 ± 0.0193
14_national,knn,20,0.9298 ± 0.0000,0.2423 ± 0.0195
14_national,knn,21,0.9276 ± 0.0000,0.2426 ± 0.0191
14_national,knn,22,0.9408 ± 0.0000,0.2438 ± 0.0195
14_national,knn,23,0.9342 ± 0.0000,0.2426 ± 0.0199
14_national,knn,24,0.9408 ± 0.0000,0.2428 ± 0.0195
14_national,knn,25,0.9298 ± 0.0000,0.2432 ± 0.0193
14_national,knn,26,0.9254 ± 0.0000,0.2420 ± 0.0199
14_national,knn,27,0.8860 ± 0.0000,0.2425 ± 0.0197
14_national,knn,28,0.9211 ± 0.0000,0.2433 ± 0.0199
