Dataset,method,Experiment,Accuracy,RMSE
15_magic,zero,1,0.7800 ± 0.0000,35.0935 ± 0.0000
15_magic,zero,2,0.7810 ± 0.0000,34.7741 ± 0.3195
15_magic,zero,3,0.7815 ± 0.0000,34.4209 ± 0.5634
15_magic,zero,4,0.7876 ± 0.0000,34.2396 ± 0.5803
15_magic,zero,5,0.7776 ± 0.0000,34.1744 ± 0.5352
15_magic,zero,6,0.7758 ± 0.0000,34.1566 ± 0.4902
15_magic,zero,7,0.7689 ± 0.0000,34.1349 ± 0.4569
15_magic,zero,8,0.7768 ± 0.0000,34.0727 ± 0.4580
15_magic,zero,9,0.7750 ± 0.0000,34.2439 ± 0.6488
15_magic,zero,10,0.7894 ± 0.0000,34.2224 ± 0.6188
15_magic,zero,11,0.7723 ± 0.0000,34.1628 ± 0.6195
15_magic,zero,12,0.7805 ± 0.0000,34.1087 ± 0.6196
15_magic,zero,13,0.7868 ± 0.0000,34.1329 ± 0.6012
15_magic,zero,14,0.7760 ± 0.0000,34.1429 ± 0.5805
15_magic,zero,15,0.7834 ± 0.0000,34.1673 ± 0.5682
15_magic,zero,16,0.7752 ± 0.0000,34.1739 ± 0.5507
15_magic,zero,17,0.7902 ± 0.0000,34.1518 ± 0.5415
15_magic,zero,18,0.7789 ± 0.0000,34.1738 ± 0.5341
15_magic,zero,19,0.7928 ± 0.0000,34.1783 ± 0.5202
15_magic,zero,20,0.7865 ± 0.0000,34.1935 ± 0.5113
15_magic,zero,21,0.7860 ± 0.0000,34.1893 ± 0.4993
15_magic,zero,22,0.7821 ± 0.0000,34.1711 ± 0.4949
15_magic,zero,23,0.7760 ± 0.0000,34.1437 ± 0.5008
15_magic,zero,24,0.7755 ± 0.0000,34.1573 ± 0.4946
15_magic,zero,25,0.7695 ± 0.0000,34.1371 ± 0.4947
15_magic,zero,26,0.7902 ± 0.0000,34.1445 ± 0.4865
15_magic,zero,27,0.7787 ± 0.0000,34.1665 ± 0.4904
15_magic,zero,28,0.7629 ± 0.0000,34.1927 ± 0.5005
15_magic,zero,29,0.7897 ± 0.0000,34.1704 ± 0.5058
15_magic,zero,30,0.7821 ± 0.0000,34.1700 ± 0.4973
15_magic,knn,1,0.8097 ± 0.0000,17.5113 ± 0.0000
15_magic,knn,2,0.8139 ± 0.0000,17.4670 ± 0.0443
15_magic,knn,3,0.8120 ± 0.0000,17.3666 ± 0.1465
15_magic,knn,4,0.8194 ± 0.0000,17.2083 ± 0.3022
15_magic,knn,5,0.8178 ± 0.0000,17.2684 ± 0.2958
15_magic,knn,6,0.8047 ± 0.0000,17.3969 ± 0.3943
15_magic,knn,7,0.8162 ± 0.0000,17.4197 ± 0.3693
15_magic,knn,8,0.8134 ± 0.0000,17.3753 ± 0.3648
15_magic,knn,9,0.8113 ± 0.0000,17.3793 ± 0.3441
