Dataset,method,Experiment,Accuracy,RMSE
16_rice,zero,1,0.5591 ± 0.0000,3250.0929 ± 0.0000
16_rice,zero,2,0.5564 ± 0.0000,3245.5458 ± 4.5472
16_rice,zero,3,0.5801 ± 0.0000,3237.5022 ± 11.9659
16_rice,zero,4,0.5840 ± 0.0000,3190.3007 ± 82.4096
16_rice,zero,5,0.5748 ± 0.0000,3161.4580 ± 93.5984
16_rice,zero,6,0.5761 ± 0.0000,3147.2671 ± 91.1453
16_rice,zero,7,0.5748 ± 0.0000,3162.9007 ± 92.6668
16_rice,zero,8,0.5302 ± 0.0000,3153.5812 ± 90.1205
16_rice,zero,9,0.5656 ± 0.0000,3142.2797 ± 90.7804
16_rice,zero,10,0.5486 ± 0.0000,3128.3195 ± 95.7651
16_rice,zero,11,0.5538 ± 0.0000,3129.0679 ± 91.3391
16_rice,zero,12,0.5984 ± 0.0000,3139.1800 ± 93.6611
16_rice,zero,13,0.5906 ± 0.0000,3141.7720 ± 90.4335
16_rice,zero,14,0.5420 ± 0.0000,3129.7199 ± 97.3774
16_rice,zero,15,0.5472 ± 0.0000,3137.6587 ± 98.6536
16_rice,zero,16,0.5682 ± 0.0000,3136.4367 ± 95.6382
16_rice,zero,17,0.5630 ± 0.0000,3143.2545 ± 96.7075
16_rice,zero,18,0.5433 ± 0.0000,3134.6754 ± 100.4191
16_rice,zero,19,0.5551 ± 0.0000,3138.8992 ± 99.3699
16_rice,zero,20,0.5604 ± 0.0000,3138.6547 ± 96.8597
16_rice,zero,21,0.5617 ± 0.0000,3135.3930 ± 95.6442
16_rice,zero,22,0.5643 ± 0.0000,3137.9870 ± 94.1983
16_rice,zero,23,0.5801 ± 0.0000,3134.1230 ± 93.8935
16_rice,zero,24,0.5682 ± 0.0000,3132.5687 ± 92.2184
16_rice,zero,25,0.5696 ± 0.0000,3129.7438 ± 91.4089
16_rice,zero,26,0.5722 ± 0.0000,3126.7173 ± 90.9022
16_rice,zero,27,0.5433 ± 0.0000,3126.0747 ± 89.2631
16_rice,zero,28,0.5643 ± 0.0000,3126.6320 ± 87.7024
