Dataset,method,Experiment,Accuracy,RMSE
17_bank,dynamic,1,0.8762 ± 0.0000,0.9823 ± 0.0000
17_bank,dynamic,2,0.8729 ± 0.0000,0.9946 ± 0.0123
17_bank,dynamic,3,0.8994 ± 0.0000,0.9937 ± 0.0101
17_bank,dynamic,4,0.8895 ± 0.0000,0.9993 ± 0.0131
17_bank,dynamic,5,0.8906 ± 0.0000,0.9998 ± 0.0117
17_bank,dynamic,6,0.8873 ± 0.0000,0.9940 ± 0.0168
17_bank,dynamic,7,0.8718 ± 0.0000,0.9939 ± 0.0156
17_bank,dynamic,8,0.8851 ± 0.0000,0.9952 ± 0.0149
17_bank,dynamic,9,0.8751 ± 0.0000,0.9967 ± 0.0147
17_bank,dynamic,10,0.8674 ± 0.0000,0.9962 ± 0.0140
17_bank,dynamic,11,0.8796 ± 0.0000,0.9988 ± 0.0158
17_bank,dynamic,12,0.8939 ± 0.0000,0.9974 ± 0.0158
17_bank,dynamic,13,0.8751 ± 0.0000,0.9975 ± 0.0152
17_bank,dynamic,14,0.8873 ± 0.0000,0.9983 ± 0.0149
17_bank,dynamic,15,0.8762 ± 0.0000,0.9969 ± 0.0153
17_bank,dynamic,16,0.8751 ± 0.0000,0.9964 ± 0.0149
17_bank,dynamic,17,0.8751 ± 0.0000,0.9987 ± 0.0172
17_bank,dynamic,18,0.8884 ± 0.0000,0.9993 ± 0.0169
17_bank,dynamic,19,0.8785 ± 0.0000,1.0008 ± 0.0177
17_bank,dynamic,20,0.8950 ± 0.0000,1.0003 ± 0.0174
17_bank,dynamic,21,0.9006 ± 0.0000,1.0010 ± 0.0173
17_bank,dynamic,22,0.8762 ± 0.0000,1.0009 ± 0.0169
17_bank,dynamic,23,0.9028 ± 0.0000,1.0006 ± 0.0166
17_bank,dynamic,24,0.8983 ± 0.0000,0.9996 ± 0.0169
17_bank,dynamic,25,0.8575 ± 0.0000,0.9987 ± 0.0171
17_bank,dynamic,26,0.8773 ± 0.0000,0.9991 ± 0.0169
17_bank,dynamic,27,0.8840 ± 0.0000,0.9989 ± 0.0166
17_bank,dynamic,28,0.8906 ± 0.0000,0.9993 ± 0.0165
17_bank,dynamic,29,0.8729 ± 0.0000,0.9995 ± 0.0162
17_bank,dynamic,30,0.8994 ± 0.0000,1.0003 ± 0.0165
17_bank,zero,1,0.8729 ± 0.0000,0.4429 ± 0.0000
17_bank,zero,2,0.8707 ± 0.0000,0.4354 ± 0.0075
17_bank,zero,3,0.8818 ± 0.0000,0.4403 ± 0.0092
17_bank,zero,4,0.8873 ± 0.0000,0.4401 ± 0.0080
17_bank,zero,5,0.8829 ± 0.0000,0.4406 ± 0.0072
17_bank,zero,6,0.8696 ± 0.0000,0.4416 ± 0.0070
17_bank,zero,7,0.8630 ± 0.0000,0.4419 ± 0.0065
17_bank,zero,8,0.8862 ± 0.0000,0.4408 ± 0.0067
17_bank,zero,9,0.8674 ± 0.0000,0.4398 ± 0.0068
17_bank,zero,10,0.8608 ± 0.0000,0.4402 ± 0.0066
17_bank,zero,11,0.8751 ± 0.0000,0.4390 ± 0.0073
17_bank,zero,12,0.8807 ± 0.0000,0.4399 ± 0.0077
17_bank,zero,13,0.8663 ± 0.0000,0.4396 ± 0.0075
17_bank,zero,14,0.8773 ± 0.0000,0.4396 ± 0.0072
17_bank,zero,15,0.8729 ± 0.0000,0.4396 ± 0.0069
17_bank,zero,16,0.8519 ± 0.0000,0.4399 ± 0.0068
17_bank,zero,17,0.8729 ± 0.0000,0.4397 ± 0.0067
17_bank,zero,18,0.8906 ± 0.0000,0.4394 ± 0.0066
17_bank,zero,19,0.8829 ± 0.0000,0.4389 ± 0.0068
17_bank,zero,20,0.8818 ± 0.0000,0.4391 ± 0.0068
17_bank,zero,21,0.8972 ± 0.0000,0.4388 ± 0.0067
17_bank,zero,22,0.8641 ± 0.0000,0.4387 ± 0.0066
17_bank,zero,23,0.9028 ± 0.0000,0.4386 ± 0.0065
17_bank,zero,24,0.8818 ± 0.0000,0.4388 ± 0.0065
17_bank,zero,25,0.8519 ± 0.0000,0.4388 ± 0.0064
17_bank,zero,26,0.8718 ± 0.0000,0.4389 ± 0.0063
17_bank,zero,27,0.8707 ± 0.0000,0.4391 ± 0.0063
17_bank,zero,28,0.8906 ± 0.0000,0.4391 ± 0.0062
17_bank,zero,29,0.8674 ± 0.0000,0.4389 ± 0.0062
17_bank,zero,30,0.8906 ± 0.0000,0.4394 ± 0.0067
17_bank,knn,1,0.8751 ± 0.0000,0.2489 ± 0.0000
17_bank,knn,2,0.8751 ± 0.0000,0.2456 ± 0.0033
17_bank,knn,3,0.8840 ± 0.0000,0.2471 ± 0.0034
17_bank,knn,4,0.8917 ± 0.0000,0.2480 ± 0.0033
17_bank,knn,5,0.8906 ± 0.0000,0.2482 ± 0.0030
17_bank,knn,6,0.8796 ± 0.0000,0.2484 ± 0.0028
17_bank,knn,7,0.8674 ± 0.0000,0.2489 ± 0.0028
17_bank,knn,8,0.8862 ± 0.0000,0.2490 ± 0.0026
17_bank,knn,9,0.8707 ± 0.0000,0.2491 ± 0.0025
17_bank,knn,10,0.8663 ± 0.0000,0.2495 ± 0.0026
17_bank,knn,11,0.8773 ± 0.0000,0.2499 ± 0.0028
17_bank,knn,12,0.8917 ± 0.0000,0.2502 ± 0.0029
17_bank,knn,13,0.8740 ± 0.0000,0.2500 ± 0.0028
17_bank,knn,14,0.8895 ± 0.0000,0.2504 ± 0.0030
17_bank,knn,15,0.8751 ± 0.0000,0.2505 ± 0.0029
17_bank,knn,16,0.8740 ± 0.0000,0.2508 ± 0.0030
17_bank,knn,17,0.8729 ± 0.0000,0.2503 ± 0.0034
17_bank,knn,18,0.8884 ± 0.0000,0.2496 ± 0.0043
17_bank,knn,19,0.8807 ± 0.0000,0.2494 ± 0.0044
17_bank,knn,20,0.8917 ± 0.0000,0.2495 ± 0.0043
17_bank,knn,21,0.9006 ± 0.0000,0.2494 ± 0.0042
17_bank,knn,22,0.8762 ± 0.0000,0.2490 ± 0.0044
17_bank,knn,23,0.9039 ± 0.0000,0.2487 ± 0.0047
17_bank,knn,24,0.8961 ± 0.0000,0.2484 ± 0.0048
17_bank,knn,25,0.8586 ± 0.0000,0.2481 ± 0.0048
17_bank,knn,26,0.8740 ± 0.0000,0.2483 ± 0.0048
17_bank,knn,27,0.8762 ± 0.0000,0.2485 ± 0.0048
17_bank,knn,28,0.8773 ± 0.0000,0.2486 ± 0.0048
17_bank,knn,29,0.8707 ± 0.0000,0.2487 ± 0.0047
17_bank,knn,30,0.8950 ± 0.0000,0.2488 ± 0.0047
17_bank,datawig,1,0.8751 ± 0.0000,0.2628 ± 0.0000
17_bank,datawig,2,0.8751 ± 0.0000,0.2633 ± 0.0005
17_bank,datawig,3,0.8939 ± 0.0000,0.2664 ± 0.0044
17_bank,datawig,4,0.8895 ± 0.0000,0.2662 ± 0.0039
17_bank,datawig,5,0.8884 ± 0.0000,0.2638 ± 0.0058
17_bank,datawig,6,0.8740 ± 0.0000,0.2629 ± 0.0057
17_bank,datawig,7,0.8707 ± 0.0000,0.2630 ± 0.0053
17_bank,datawig,8,0.8818 ± 0.0000,0.2621 ± 0.0055
17_bank,datawig,9,0.8762 ± 0.0000,0.2618 ± 0.0052
17_bank,datawig,10,0.8663 ± 0.0000,0.2615 ± 0.0050
17_bank,datawig,11,0.8773 ± 0.0000,0.2616 ± 0.0048
17_bank,datawig,12,0.8928 ± 0.0000,0.2624 ± 0.0053
17_bank,datawig,13,0.8718 ± 0.0000,0.2628 ± 0.0053
17_bank,datawig,14,0.8862 ± 0.0000,0.2629 ± 0.0051
17_bank,datawig,15,0.8829 ± 0.0000,0.2627 ± 0.0050
17_bank,datawig,16,0.8773 ± 0.0000,0.2625 ± 0.0048
17_bank,datawig,17,0.8773 ± 0.0000,0.2623 ± 0.0048
17_bank,datawig,18,0.8895 ± 0.0000,0.2617 ± 0.0053
17_bank,datawig,19,0.8785 ± 0.0000,0.2611 ± 0.0056
17_bank,datawig,20,0.8796 ± 0.0000,0.2610 ± 0.0055
17_bank,datawig,21,0.9039 ± 0.0000,0.2608 ± 0.0055
17_bank,datawig,22,0.8674 ± 0.0000,0.2607 ± 0.0054
17_bank,datawig,23,0.9028 ± 0.0000,0.2608 ± 0.0053
17_bank,datawig,24,0.8983 ± 0.0000,0.2609 ± 0.0052
17_bank,datawig,25,0.8586 ± 0.0000,0.2610 ± 0.0051
17_bank,datawig,26,0.8663 ± 0.0000,0.2610 ± 0.0050
17_bank,datawig,27,0.8851 ± 0.0000,0.2609 ± 0.0050
17_bank,datawig,28,0.8917 ± 0.0000,0.2610 ± 0.0049
17_bank,datawig,29,0.8740 ± 0.0000,0.2611 ± 0.0048
17_bank,datawig,30,0.8994 ± 0.0000,0.2614 ± 0.0052
