Dataset,method,Experiment,Accuracy,RMSE
18_maternal,knn,1,0.8719 ± 0.0000,3.7712 ± 0.0000
18_maternal,knn,2,0.8768 ± 0.0000,3.7489 ± 0.0222
18_maternal,knn,3,0.9015 ± 0.0000,3.9142 ± 0.2344
18_maternal,knn,4,0.8966 ± 0.0000,3.9367 ± 0.2067
18_maternal,knn,5,0.8424 ± 0.0000,3.8440 ± 0.2619
18_maternal,knn,6,0.9212 ± 0.0000,3.7879 ± 0.2700
18_maternal,knn,7,0.9064 ± 0.0000,3.7622 ± 0.2577
18_maternal,knn,8,0.8916 ± 0.0000,3.8130 ± 0.2760
18_maternal,knn,9,0.8276 ± 0.0000,3.7966 ± 0.2644
18_maternal,knn,10,0.9163 ± 0.0000,3.8251 ± 0.2649
18_maternal,knn,11,0.8966 ± 0.0000,3.8480 ± 0.2629
18_maternal,knn,12,0.8768 ± 0.0000,3.8369 ± 0.2544
18_maternal,knn,13,0.9409 ± 0.0000,3.8008 ± 0.2745
18_maternal,knn,14,0.9015 ± 0.0000,3.7680 ± 0.2898
18_maternal,knn,15,0.8916 ± 0.0000,3.7885 ± 0.2903
18_maternal,knn,16,0.8966 ± 0.0000,3.7913 ± 0.2813
18_maternal,knn,17,0.9113 ± 0.0000,3.7776 ± 0.2783
18_maternal,knn,18,0.8768 ± 0.0000,3.7930 ± 0.2778
18_maternal,knn,19,0.8867 ± 0.0000,3.8052 ± 0.2753
18_maternal,knn,20,0.9113 ± 0.0000,3.8049 ± 0.2683
18_maternal,knn,21,0.8719 ± 0.0000,3.8374 ± 0.2997
18_maternal,knn,22,0.8867 ± 0.0000,3.8428 ± 0.2939
18_maternal,knn,23,0.8916 ± 0.0000,3.8479 ± 0.2884
18_maternal,knn,24,0.8768 ± 0.0000,3.8195 ± 0.3135
18_maternal,knn,25,0.9015 ± 0.0000,3.8196 ± 0.3072
18_maternal,knn,26,0.9261 ± 0.0000,3.8163 ± 0.3017
18_maternal,knn,27,0.8867 ± 0.0000,3.8429 ± 0.3258
18_maternal,knn,28,0.9360 ± 0.0000,3.8333 ± 0.3238
18_maternal,knn,29,0.8621 ± 0.0000,3.8544 ± 0.3372
18_maternal,knn,30,0.8670 ± 0.0000,3.8418 ± 0.3383
18_maternal,zero,1,0.8128 ± 0.0000,35.3275 ± 0.0000
18_maternal,zero,2,0.7833 ± 0.0000,34.4275 ± 0.9000
18_maternal,zero,3,0.8030 ± 0.0000,35.1685 ± 1.2799
18_maternal,zero,4,0.8128 ± 0.0000,35.0815 ± 1.1186
18_maternal,zero,5,0.8177 ± 0.0000,34.6906 ± 1.2697
18_maternal,zero,6,0.7980 ± 0.0000,34.5333 ± 1.2113
18_maternal,zero,7,0.8079 ± 0.0000,34.7452 ± 1.2358
18_maternal,zero,8,0.8227 ± 0.0000,34.6198 ± 1.2027
18_maternal,zero,9,0.7931 ± 0.0000,34.5332 ± 1.1600
18_maternal,zero,10,0.7734 ± 0.0000,34.7098 ± 1.2214
18_maternal,zero,11,0.7783 ± 0.0000,34.8148 ± 1.2110
18_maternal,zero,12,0.8177 ± 0.0000,34.8835 ± 1.1816
18_maternal,zero,13,0.8177 ± 0.0000,35.0145 ± 1.2225
18_maternal,zero,14,0.8374 ± 0.0000,34.9468 ± 1.2031
18_maternal,zero,15,0.7783 ± 0.0000,34.9548 ± 1.1627
18_maternal,zero,16,0.7882 ± 0.0000,34.8780 ± 1.1644
18_maternal,zero,17,0.8128 ± 0.0000,34.9504 ± 1.1662
18_maternal,zero,18,0.8030 ± 0.0000,34.9833 ± 1.1415
18_maternal,zero,19,0.8325 ± 0.0000,35.0001 ± 1.1133
18_maternal,zero,20,0.8276 ± 0.0000,35.0084 ± 1.0857
18_maternal,zero,21,0.7980 ± 0.0000,34.9452 ± 1.0966
18_maternal,zero,22,0.8177 ± 0.0000,35.0109 ± 1.1128
18_maternal,zero,23,0.8030 ± 0.0000,34.9996 ± 1.0896
18_maternal,zero,24,0.7783 ± 0.0000,35.0015 ± 1.0667
18_maternal,zero,25,0.8374 ± 0.0000,34.9847 ± 1.0484
