Dataset,method,Experiment,Accuracy,RMSE
19_contraceptive,knn,1,0.6983 ± 0.0000,1.3575 ± 0.0000
19_contraceptive,knn,2,0.7559 ± 0.0000,1.2760 ± 0.0815
19_contraceptive,knn,3,0.7424 ± 0.0000,1.2485 ± 0.0771
19_contraceptive,knn,4,0.6949 ± 0.0000,1.2698 ± 0.0763
19_contraceptive,knn,5,0.7220 ± 0.0000,1.3029 ± 0.0952
19_contraceptive,knn,6,0.6610 ± 0.0000,1.3008 ± 0.0870
19_contraceptive,knn,7,0.7322 ± 0.0000,1.3330 ± 0.1126
19_contraceptive,knn,8,0.7186 ± 0.0000,1.3247 ± 0.1076
19_contraceptive,knn,9,0.6949 ± 0.0000,1.3318 ± 0.1034
19_contraceptive,knn,10,0.7322 ± 0.0000,1.3285 ± 0.0986
19_contraceptive,knn,11,0.6983 ± 0.0000,1.3224 ± 0.0960
19_contraceptive,knn,12,0.7492 ± 0.0000,1.3158 ± 0.0944
19_contraceptive,knn,13,0.7322 ± 0.0000,1.3191 ± 0.0914
19_contraceptive,knn,14,0.7288 ± 0.0000,1.3178 ± 0.0882
19_contraceptive,knn,15,0.7288 ± 0.0000,1.3259 ± 0.0904
19_contraceptive,knn,16,0.7322 ± 0.0000,1.3238 ± 0.0879
19_contraceptive,knn,17,0.7288 ± 0.0000,1.3298 ± 0.0886
19_contraceptive,knn,18,0.7390 ± 0.0000,1.3288 ± 0.0862
19_contraceptive,knn,19,0.7322 ± 0.0000,1.3274 ± 0.0841
19_contraceptive,knn,20,0.7186 ± 0.0000,1.3259 ± 0.0822
19_contraceptive,knn,21,0.7288 ± 0.0000,1.3273 ± 0.0805
19_contraceptive,knn,22,0.7186 ± 0.0000,1.3316 ± 0.0810
19_contraceptive,knn,23,0.7254 ± 0.0000,1.3315 ± 0.0793
19_contraceptive,knn,24,0.7085 ± 0.0000,1.3347 ± 0.0791
19_contraceptive,knn,25,0.6644 ± 0.0000,1.3385 ± 0.0798
19_contraceptive,knn,26,0.7220 ± 0.0000,1.3419 ± 0.0800
19_contraceptive,knn,27,0.6949 ± 0.0000,1.3474 ± 0.0833
19_contraceptive,knn,28,0.6983 ± 0.0000,1.3466 ± 0.0819
19_contraceptive,knn,29,0.7356 ± 0.0000,1.3457 ± 0.0806
19_contraceptive,knn,30,0.7220 ± 0.0000,1.3424 ± 0.0812
19_contraceptive,zero,1,0.5593 ± 0.0000,5.3488 ± 0.0000
19_contraceptive,zero,2,0.6034 ± 0.0000,5.2637 ± 0.0851
19_contraceptive,zero,3,0.5831 ± 0.0000,5.2735 ± 0.0709
19_contraceptive,zero,4,0.6136 ± 0.0000,5.2890 ± 0.0670
19_contraceptive,zero,5,0.6136 ± 0.0000,5.3888 ± 0.2084
19_contraceptive,zero,6,0.6169 ± 0.0000,5.3575 ± 0.2028
19_contraceptive,zero,7,0.5831 ± 0.0000,5.4135 ± 0.2326
19_contraceptive,zero,8,0.6475 ± 0.0000,5.3589 ± 0.2611
19_contraceptive,zero,9,0.6339 ± 0.0000,5.3635 ± 0.2465
19_contraceptive,zero,10,0.6102 ± 0.0000,5.3666 ± 0.2341
19_contraceptive,zero,11,0.5729 ± 0.0000,5.3570 ± 0.2252
19_contraceptive,zero,12,0.6508 ± 0.0000,5.3335 ± 0.2293
19_contraceptive,zero,13,0.5864 ± 0.0000,5.3398 ± 0.2213
19_contraceptive,zero,14,0.6169 ± 0.0000,5.3413 ± 0.2134
19_contraceptive,zero,15,0.6068 ± 0.0000,5.3548 ± 0.2122
19_contraceptive,zero,16,0.6441 ± 0.0000,5.3496 ± 0.2065
19_contraceptive,zero,17,0.6068 ± 0.0000,5.3225 ± 0.2277
19_contraceptive,zero,18,0.6610 ± 0.0000,5.3214 ± 0.2214
19_contraceptive,zero,19,0.5932 ± 0.0000,5.3289 ± 0.2179
19_contraceptive,zero,20,0.6576 ± 0.0000,5.3345 ± 0.2137
