Dataset,method,Experiment,Accuracy,RMSE
1_breast,datawig,1,0.6491 ± 0.0000,0.5829 ± 0.0000
1_breast,datawig,2,0.7018 ± 0.0000,0.5696 ± 0.0134
1_breast,datawig,3,0.7018 ± 0.0000,0.5924 ± 0.0341
1_breast,datawig,4,0.7544 ± 0.0000,0.5748 ± 0.0424
1_breast,datawig,5,0.7368 ± 0.0000,0.5444 ± 0.0716
1_breast,datawig,6,0.6491 ± 0.0000,0.5507 ± 0.0668
1_breast,datawig,7,0.6316 ± 0.0000,0.5610 ± 0.0669
1_breast,datawig,8,0.7193 ± 0.0000,0.5593 ± 0.0627
1_breast,datawig,9,0.6667 ± 0.0000,0.5559 ± 0.0599
1_breast,datawig,10,0.7018 ± 0.0000,0.5527 ± 0.0577
1_breast,datawig,11,0.7193 ± 0.0000,0.5552 ± 0.0556
1_breast,datawig,12,0.6842 ± 0.0000,0.5645 ± 0.0614
1_breast,datawig,13,0.6667 ± 0.0000,0.5621 ± 0.0596
1_breast,datawig,14,0.7018 ± 0.0000,0.5697 ± 0.0637
1_breast,datawig,15,0.6842 ± 0.0000,0.5704 ± 0.0616
1_breast,datawig,16,0.6842 ± 0.0000,0.5759 ± 0.0633
1_breast,datawig,17,0.7193 ± 0.0000,0.5692 ± 0.0670
1_breast,datawig,18,0.6842 ± 0.0000,0.5690 ± 0.0651
1_breast,datawig,19,0.8070 ± 0.0000,0.5676 ± 0.0637
1_breast,datawig,20,0.6842 ± 0.0000,0.5693 ± 0.0625
1_breast,datawig,21,0.7544 ± 0.0000,0.5653 ± 0.0636
1_breast,datawig,22,0.7544 ± 0.0000,0.5656 ± 0.0621
1_breast,datawig,23,0.6667 ± 0.0000,0.5624 ± 0.0627
1_breast,datawig,24,0.7193 ± 0.0000,0.5574 ± 0.0659
1_breast,datawig,25,0.7895 ± 0.0000,0.5582 ± 0.0647
1_breast,datawig,26,0.7018 ± 0.0000,0.5576 ± 0.0635
1_breast,datawig,27,0.7719 ± 0.0000,0.5590 ± 0.0627
1_breast,datawig,28,0.6316 ± 0.0000,0.5597 ± 0.0617
1_breast,datawig,29,0.7368 ± 0.0000,0.5608 ± 0.0609
1_breast,datawig,30,0.6140 ± 0.0000,0.5617 ± 0.0601
1_breast,dynamic,1,0.6316 ± 0.0000,nan ± nan,2.3576 ± 0.0000
1_breast,dynamic,2,0.7544 ± 0.0000,nan ± nan,2.2826 ± 0.0750
1_breast,dynamic,3,0.6667 ± 0.0000,nan ± nan,2.2988 ± 0.0654
1_breast,dynamic,4,0.7895 ± 0.0000,nan ± nan,2.2831 ± 0.0629
1_breast,dynamic,5,0.7368 ± 0.0000,nan ± nan,2.2801 ± 0.0565
1_breast,dynamic,6,0.6667 ± 0.0000,nan ± nan,2.2781 ± 0.0518
1_breast,dynamic,7,0.6316 ± 0.0000,nan ± nan,2.2832 ± 0.0496
1_breast,dynamic,8,0.7193 ± 0.0000,nan ± nan,2.2838 ± 0.0464
1_breast,dynamic,9,0.6316 ± 0.0000,nan ± nan,2.2900 ± 0.0471
1_breast,dynamic,10,0.7368 ± 0.0000,nan ± nan,2.2883 ± 0.0450
1_breast,dynamic,11,0.7018 ± 0.0000,nan ± nan,2.2852 ± 0.0440
1_breast,dynamic,12,0.7018 ± 0.0000,nan ± nan,2.2894 ± 0.0445
1_breast,dynamic,13,0.7018 ± 0.0000,nan ± nan,2.2903 ± 0.0428
1_breast,dynamic,14,0.7018 ± 0.0000,nan ± nan,2.3002 ± 0.0545
1_breast,dynamic,15,0.7018 ± 0.0000,nan ± nan,2.3049 ± 0.0556
1_breast,dynamic,16,0.6140 ± 0.0000,nan ± nan,2.3080 ± 0.0551
1_breast,dynamic,17,0.6491 ± 0.0000,nan ± nan,2.3046 ± 0.0552
1_breast,dynamic,18,0.7368 ± 0.0000,nan ± nan,2.3031 ± 0.0539
1_breast,dynamic,19,0.7544 ± 0.0000,nan ± nan,2.3015 ± 0.0529
1_breast,dynamic,20,0.6667 ± 0.0000,nan ± nan,2.3000 ± 0.0520
1_breast,dynamic,21,0.7368 ± 0.0000,nan ± nan,2.2986 ± 0.0511
1_breast,dynamic,22,0.6842 ± 0.0000,nan ± nan,2.3009 ± 0.0511
1_breast,dynamic,23,0.5965 ± 0.0000,nan ± nan,2.3035 ± 0.0515
1_breast,dynamic,24,0.7895 ± 0.0000,nan ± nan,2.3026 ± 0.0506
1_breast,dynamic,25,0.7193 ± 0.0000,nan ± nan,2.3047 ± 0.0507
1_breast,dynamic,26,0.7193 ± 0.0000,nan ± nan,2.3074 ± 0.0515
1_breast,dynamic,27,0.7368 ± 0.0000,nan ± nan,2.3077 ± 0.0505
1_breast,dynamic,28,0.6667 ± 0.0000,nan ± nan,2.3062 ± 0.0502
1_breast,dynamic,29,0.6316 ± 0.0000,nan ± nan,2.3088 ± 0.0511
1_breast,dynamic,30,0.5789 ± 0.0000,nan ± nan,2.3111 ± 0.0518
1_breast,knn,1,0.6491 ± 0.0000,0.5427 ± 0.0000
1_breast,knn,2,0.7368 ± 0.0000,0.5345 ± 0.0081
1_breast,knn,3,0.6667 ± 0.0000,0.5559 ± 0.0309
1_breast,knn,4,0.8246 ± 0.0000,0.5346 ± 0.0456
1_breast,knn,5,0.7368 ± 0.0000,0.5106 ± 0.0630
1_breast,knn,6,0.7193 ± 0.0000,0.5122 ± 0.0577
1_breast,knn,7,0.6842 ± 0.0000,0.5182 ± 0.0554
1_breast,knn,8,0.7193 ± 0.0000,0.5211 ± 0.0524
1_breast,knn,9,0.6842 ± 0.0000,0.5199 ± 0.0495
1_breast,knn,10,0.6667 ± 0.0000,0.5148 ± 0.0494
1_breast,knn,11,0.7544 ± 0.0000,0.5236 ± 0.0546
1_breast,knn,12,0.7368 ± 0.0000,0.5293 ± 0.0556
1_breast,knn,13,0.7544 ± 0.0000,0.5281 ± 0.0536
1_breast,knn,14,0.6667 ± 0.0000,0.5394 ± 0.0658
1_breast,knn,15,0.7368 ± 0.0000,0.5402 ± 0.0636
1_breast,knn,16,0.6842 ± 0.0000,0.5479 ± 0.0685
1_breast,knn,17,0.7193 ± 0.0000,0.5444 ± 0.0679
1_breast,knn,18,0.7544 ± 0.0000,0.5459 ± 0.0663
1_breast,knn,19,0.8070 ± 0.0000,0.5427 ± 0.0659
1_breast,knn,20,0.6842 ± 0.0000,0.5434 ± 0.0643
1_breast,knn,21,0.6667 ± 0.0000,0.5405 ± 0.0641
1_breast,knn,22,0.7544 ± 0.0000,0.5405 ± 0.0627
1_breast,knn,23,0.6842 ± 0.0000,0.5357 ± 0.0653
1_breast,knn,24,0.7719 ± 0.0000,0.5301 ± 0.0694
1_breast,knn,25,0.7368 ± 0.0000,0.5317 ± 0.0684
1_breast,knn,26,0.6842 ± 0.0000,0.5337 ± 0.0678
1_breast,knn,27,0.7719 ± 0.0000,0.5379 ± 0.0699
1_breast,knn,28,0.6316 ± 0.0000,0.5386 ± 0.0687
1_breast,knn,29,0.7018 ± 0.0000,0.5378 ± 0.0677
1_breast,knn,30,0.6316 ± 0.0000,0.5361 ± 0.0672
1_breast,zero,1,0.6491 ± 0.0000,1.1099 ± 0.0000
1_breast,zero,2,0.7544 ± 0.0000,1.0778 ± 0.0321
1_breast,zero,3,0.6842 ± 0.0000,1.1192 ± 0.0641
1_breast,zero,4,0.7368 ± 0.0000,1.0720 ± 0.0988
1_breast,zero,5,0.7544 ± 0.0000,1.0455 ± 0.1030
1_breast,zero,6,0.6491 ± 0.0000,1.0405 ± 0.0947
1_breast,zero,7,0.6316 ± 0.0000,1.0726 ± 0.1177
1_breast,zero,8,0.8070 ± 0.0000,1.0672 ± 0.1110
1_breast,zero,9,0.6667 ± 0.0000,1.0655 ± 0.1048
1_breast,zero,10,0.6491 ± 0.0000,1.0705 ± 0.1006
1_breast,zero,11,0.7018 ± 0.0000,1.0757 ± 0.0973
1_breast,zero,12,0.7193 ± 0.0000,1.0913 ± 0.1065
1_breast,zero,13,0.6316 ± 0.0000,1.0860 ± 0.1039
1_breast,zero,14,0.7368 ± 0.0000,1.1068 ± 0.1251
1_breast,zero,15,0.6316 ± 0.0000,1.1077 ± 0.1209
1_breast,zero,16,0.6491 ± 0.0000,1.1153 ± 0.1207
1_breast,zero,17,0.6842 ± 0.0000,1.1048 ± 0.1244
1_breast,zero,18,0.7018 ± 0.0000,1.1069 ± 0.1212
1_breast,zero,19,0.7895 ± 0.0000,1.1031 ± 0.1191
1_breast,zero,20,0.6842 ± 0.0000,1.1082 ± 0.1183
1_breast,zero,21,0.7193 ± 0.0000,1.1056 ± 0.1160
1_breast,zero,22,0.7895 ± 0.0000,1.1036 ± 0.1137
1_breast,zero,23,0.6140 ± 0.0000,1.1025 ± 0.1114
1_breast,zero,24,0.6842 ± 0.0000,1.1001 ± 0.1096
1_breast,zero,25,0.7368 ± 0.0000,1.1016 ± 0.1077
1_breast,zero,26,0.7895 ± 0.0000,1.0989 ± 0.1065
1_breast,zero,27,0.7544 ± 0.0000,1.0981 ± 0.1046
1_breast,zero,28,0.6667 ± 0.0000,1.0949 ± 0.1040
1_breast,zero,29,0.7018 ± 0.0000,1.0952 ± 0.1022
1_breast,zero,30,0.7018 ± 0.0000,1.0925 ± 0.1015
