Dataset,method,Experiment,Accuracy,RMSE
20_obesity,knn,1,0.9551 ± 0.0000,2.1119 ± 0.0000
20_obesity,knn,2,0.9882 ± 0.0000,2.1391 ± 0.0271
20_obesity,knn,3,0.9764 ± 0.0000,2.1158 ± 0.0397
20_obesity,knn,4,0.9740 ± 0.0000,2.1088 ± 0.0364
20_obesity,knn,5,0.9764 ± 0.0000,2.1464 ± 0.0819
20_obesity,knn,6,0.9716 ± 0.0000,2.1619 ± 0.0824
20_obesity,knn,7,0.9764 ± 0.0000,2.2259 ± 0.1742
20_obesity,knn,8,0.9645 ± 0.0000,2.1838 ± 0.1973
20_obesity,knn,9,0.9551 ± 0.0000,2.2040 ± 0.1946
20_obesity,knn,10,0.9456 ± 0.0000,2.2199 ± 0.1907
20_obesity,knn,11,0.9905 ± 0.0000,2.1901 ± 0.2047
20_obesity,knn,12,0.9882 ± 0.0000,2.1793 ± 0.1992
20_obesity,knn,13,0.9716 ± 0.0000,2.1543 ± 0.2101
20_obesity,knn,14,0.9835 ± 0.0000,2.1346 ± 0.2146
20_obesity,knn,15,0.9905 ± 0.0000,2.1564 ± 0.2229
20_obesity,knn,16,0.9693 ± 0.0000,2.1633 ± 0.2175
20_obesity,knn,17,0.9764 ± 0.0000,2.1441 ± 0.2245
20_obesity,knn,18,0.9764 ± 0.0000,2.1699 ± 0.2427
20_obesity,knn,19,0.9787 ± 0.0000,2.1649 ± 0.2372
20_obesity,knn,20,0.9740 ± 0.0000,2.1522 ± 0.2377
20_obesity,knn,21,0.9693 ± 0.0000,2.1404 ± 0.2379
20_obesity,knn,22,0.9551 ± 0.0000,2.1347 ± 0.2339
20_obesity,knn,23,0.9740 ± 0.0000,2.1368 ± 0.2290
20_obesity,knn,24,0.9693 ± 0.0000,2.1431 ± 0.2262
20_obesity,knn,25,0.9693 ± 0.0000,2.1482 ± 0.2230
20_obesity,knn,26,0.9693 ± 0.0000,2.1481 ± 0.2187
20_obesity,knn,27,0.9787 ± 0.0000,2.1448 ± 0.2152
20_obesity,knn,28,0.9716 ± 0.0000,2.1336 ± 0.2192
20_obesity,knn,29,0.9835 ± 0.0000,2.1356 ± 0.2156
20_obesity,knn,30,0.9693 ± 0.0000,2.1341 ± 0.2122
20_obesity,zero,1,0.9149 ± 0.0000,10.5863 ± 0.0000
20_obesity,zero,2,0.9385 ± 0.0000,10.5867 ± 0.0005
20_obesity,zero,3,0.9409 ± 0.0000,10.7119 ± 0.1770
20_obesity,zero,4,0.9362 ± 0.0000,10.6159 ± 0.2261
20_obesity,zero,5,0.9456 ± 0.0000,10.5709 ± 0.2213
20_obesity,zero,6,0.8936 ± 0.0000,10.5667 ± 0.2023
20_obesity,zero,7,0.9338 ± 0.0000,10.6547 ± 0.2856
