Dataset,method,Experiment,Accuracy,RMSE
21_yeast,knn,1,0.6936 ± 0.0000,0.0426 ± 0.0000
21_yeast,knn,2,0.7239 ± 0.0000,0.0420 ± 0.0006
21_yeast,knn,3,0.6869 ± 0.0000,0.0415 ± 0.0008
21_yeast,knn,4,0.7374 ± 0.0000,0.0424 ± 0.0016
21_yeast,knn,5,0.7138 ± 0.0000,0.0437 ± 0.0030
21_yeast,knn,6,0.7306 ± 0.0000,0.0440 ± 0.0028
21_yeast,knn,7,0.7239 ± 0.0000,0.0449 ± 0.0034
21_yeast,knn,8,0.7104 ± 0.0000,0.0449 ± 0.0032
21_yeast,knn,9,0.6970 ± 0.0000,0.0446 ± 0.0031
21_yeast,knn,10,0.7441 ± 0.0000,0.0450 ± 0.0032
21_yeast,knn,11,0.6869 ± 0.0000,0.0448 ± 0.0031
21_yeast,knn,12,0.7407 ± 0.0000,0.0446 ± 0.0030
21_yeast,knn,13,0.7071 ± 0.0000,0.0445 ± 0.0030
21_yeast,knn,14,0.6566 ± 0.0000,0.0449 ± 0.0032
21_yeast,knn,15,0.7374 ± 0.0000,0.0447 ± 0.0032
21_yeast,knn,16,0.7172 ± 0.0000,0.0445 ± 0.0031
21_yeast,knn,17,0.7138 ± 0.0000,0.0446 ± 0.0030
21_yeast,knn,18,0.7003 ± 0.0000,0.0445 ± 0.0030
21_yeast,knn,19,0.6835 ± 0.0000,0.0444 ± 0.0030
21_yeast,knn,20,0.7273 ± 0.0000,0.0442 ± 0.0030
21_yeast,knn,21,0.7104 ± 0.0000,0.0444 ± 0.0031
21_yeast,knn,22,0.7239 ± 0.0000,0.0445 ± 0.0031
21_yeast,knn,23,0.6970 ± 0.0000,0.0448 ± 0.0034
21_yeast,knn,24,0.6431 ± 0.0000,0.0446 ± 0.0035
21_yeast,knn,25,0.6734 ± 0.0000,0.0444 ± 0.0035
21_yeast,knn,26,0.7239 ± 0.0000,0.0443 ± 0.0035
21_yeast,knn,27,0.6667 ± 0.0000,0.0442 ± 0.0035
21_yeast,knn,28,0.7273 ± 0.0000,0.0441 ± 0.0035
21_yeast,knn,29,0.7172 ± 0.0000,0.0442 ± 0.0034
21_yeast,knn,30,0.7273 ± 0.0000,0.0442 ± 0.0034
21_yeast,zero,1,0.7003 ± 0.0000,0.1890 ± 0.0000
21_yeast,zero,2,0.7037 ± 0.0000,0.1859 ± 0.0031
21_yeast,zero,3,0.6768 ± 0.0000,0.1886 ± 0.0046
21_yeast,zero,4,0.6801 ± 0.0000,0.1896 ± 0.0044
21_yeast,zero,5,0.6734 ± 0.0000,0.1920 ± 0.0061
21_yeast,zero,6,0.7104 ± 0.0000,0.1924 ± 0.0056
21_yeast,zero,7,0.6936 ± 0.0000,0.1926 ± 0.0052
21_yeast,zero,8,0.6768 ± 0.0000,0.1922 ± 0.0050
21_yeast,zero,9,0.6801 ± 0.0000,0.1910 ± 0.0058
21_yeast,zero,10,0.6667 ± 0.0000,0.1910 ± 0.0055
21_yeast,zero,11,0.6465 ± 0.0000,0.1912 ± 0.0052
21_yeast,zero,12,0.6734 ± 0.0000,0.1912 ± 0.0050
21_yeast,zero,13,0.6970 ± 0.0000,0.1912 ± 0.0048
21_yeast,zero,14,0.6633 ± 0.0000,0.1910 ± 0.0047
21_yeast,zero,15,0.6902 ± 0.0000,0.1910 ± 0.0045
21_yeast,zero,16,0.7138 ± 0.0000,0.1910 ± 0.0044
21_yeast,zero,17,0.6801 ± 0.0000,0.1910 ± 0.0043
21_yeast,zero,18,0.7172 ± 0.0000,0.1909 ± 0.0042
21_yeast,zero,19,0.7205 ± 0.0000,0.1909 ± 0.0041
21_yeast,zero,20,0.6498 ± 0.0000,0.1905 ± 0.0044
21_yeast,zero,21,0.6902 ± 0.0000,0.1903 ± 0.0044
21_yeast,zero,22,0.6970 ± 0.0000,0.1902 ± 0.0043
21_yeast,zero,23,0.6970 ± 0.0000,0.1901 ± 0.0042
21_yeast,zero,24,0.6835 ± 0.0000,0.1901 ± 0.0042
21_yeast,zero,25,0.6835 ± 0.0000,0.1896 ± 0.0047
21_yeast,zero,26,0.6768 ± 0.0000,0.1895 ± 0.0046
21_yeast,zero,27,0.6801 ± 0.0000,0.1895 ± 0.0046
21_yeast,zero,28,0.7172 ± 0.0000,0.1898 ± 0.0047
21_yeast,zero,29,0.6734 ± 0.0000,0.1900 ± 0.0047
21_yeast,zero,30,0.7172 ± 0.0000,0.1901 ± 0.0047
21_yeast,datawig,1,0.6667 ± 0.0000,0.0419 ± 0.0000
21_yeast,datawig,2,0.6970 ± 0.0000,0.0409 ± 0.0010
21_yeast,datawig,3,0.6835 ± 0.0000,0.0398 ± 0.0017
21_yeast,datawig,4,0.7138 ± 0.0000,0.0413 ± 0.0030
21_yeast,datawig,5,0.6869 ± 0.0000,0.0430 ± 0.0043
21_yeast,datawig,6,0.7104 ± 0.0000,0.0432 ± 0.0040
21_yeast,datawig,7,0.6801 ± 0.0000,0.0440 ± 0.0041
21_yeast,datawig,8,0.6599 ± 0.0000,0.0440 ± 0.0038
21_yeast,datawig,9,0.6397 ± 0.0000,0.0436 ± 0.0037
21_yeast,datawig,10,0.6970 ± 0.0000,0.0441 ± 0.0038
21_yeast,datawig,11,0.6633 ± 0.0000,0.0440 ± 0.0037
21_yeast,datawig,12,0.6902 ± 0.0000,0.0439 ± 0.0035
21_yeast,datawig,13,0.6936 ± 0.0000,0.0437 ± 0.0035
21_yeast,datawig,14,0.6498 ± 0.0000,0.0442 ± 0.0039
21_yeast,datawig,15,0.6936 ± 0.0000,0.0440 ± 0.0038
21_yeast,datawig,16,0.6936 ± 0.0000,0.0438 ± 0.0037
21_yeast,datawig,17,0.6768 ± 0.0000,0.0439 ± 0.0037
21_yeast,datawig,18,0.6902 ± 0.0000,0.0440 ± 0.0036
21_yeast,datawig,19,0.7037 ± 0.0000,0.0439 ± 0.0035
21_yeast,datawig,20,0.6936 ± 0.0000,0.0438 ± 0.0035
21_yeast,datawig,21,0.7104 ± 0.0000,0.0439 ± 0.0035
21_yeast,datawig,22,0.6700 ± 0.0000,0.0440 ± 0.0034
21_yeast,datawig,23,0.6599 ± 0.0000,0.0443 ± 0.0036
21_yeast,datawig,24,0.6364 ± 0.0000,0.0442 ± 0.0036
21_yeast,datawig,25,0.6431 ± 0.0000,0.0440 ± 0.0037
21_yeast,datawig,26,0.6700 ± 0.0000,0.0438 ± 0.0037
21_yeast,datawig,27,0.6296 ± 0.0000,0.0438 ± 0.0036
21_yeast,datawig,28,0.7071 ± 0.0000,0.0436 ± 0.0036
21_yeast,datawig,29,0.6330 ± 0.0000,0.0437 ± 0.0036
21_yeast,datawig,30,0.7172 ± 0.0000,0.0437 ± 0.0035
21_yeast,dynamic,1,0.6700 ± 0.0000,1.0290 ± 0.0000
21_yeast,dynamic,2,0.7037 ± 0.0000,0.9972 ± 0.0318
21_yeast,dynamic,3,0.6768 ± 0.0000,1.0153 ± 0.0364
21_yeast,dynamic,4,0.6936 ± 0.0000,1.0159 ± 0.0316
21_yeast,dynamic,5,0.6869 ± 0.0000,1.0174 ± 0.0284
21_yeast,dynamic,6,0.7003 ± 0.0000,1.0173 ± 0.0259
21_yeast,dynamic,7,0.6970 ± 0.0000,1.0184 ± 0.0241
21_yeast,dynamic,8,0.6801 ± 0.0000,1.0170 ± 0.0229
21_yeast,dynamic,9,0.6667 ± 0.0000,1.0172 ± 0.0216
21_yeast,dynamic,10,0.6734 ± 0.0000,1.0205 ± 0.0227
21_yeast,dynamic,11,0.6532 ± 0.0000,1.0181 ± 0.0230
21_yeast,dynamic,12,0.7003 ± 0.0000,1.0206 ± 0.0235
21_yeast,dynamic,13,0.7071 ± 0.0000,1.0185 ± 0.0237
21_yeast,dynamic,14,0.6397 ± 0.0000,1.0175 ± 0.0231
21_yeast,dynamic,15,0.7003 ± 0.0000,1.0186 ± 0.0227
21_yeast,dynamic,16,0.7104 ± 0.0000,1.0201 ± 0.0227
21_yeast,dynamic,17,0.6835 ± 0.0000,1.0222 ± 0.0237
21_yeast,dynamic,18,0.7037 ± 0.0000,1.0213 ± 0.0234
21_yeast,dynamic,19,0.7138 ± 0.0000,1.0235 ± 0.0247
21_yeast,dynamic,20,0.6667 ± 0.0000,1.0232 ± 0.0241
21_yeast,dynamic,21,0.6902 ± 0.0000,1.0247 ± 0.0244
21_yeast,dynamic,22,0.7071 ± 0.0000,1.0246 ± 0.0238
21_yeast,dynamic,23,0.6936 ± 0.0000,1.0235 ± 0.0239
21_yeast,dynamic,24,0.6869 ± 0.0000,1.0227 ± 0.0237
21_yeast,dynamic,25,0.6532 ± 0.0000,1.0216 ± 0.0238
21_yeast,dynamic,26,0.6768 ± 0.0000,1.0211 ± 0.0235
21_yeast,dynamic,27,0.6835 ± 0.0000,1.0212 ± 0.0230
21_yeast,dynamic,28,0.7205 ± 0.0000,1.0205 ± 0.0229
21_yeast,dynamic,29,0.6734 ± 0.0000,1.0211 ± 0.0228
21_yeast,dynamic,30,0.7273 ± 0.0000,1.0210 ± 0.0224
