Dataset,method,Experiment,Accuracy,RMSE
22_seeds,dynamic,1,0.7143 ± 0.0000,0.5554 ± 0.0000
22_seeds,dynamic,2,0.5238 ± 0.0000,0.5467 ± 0.0087
22_seeds,dynamic,3,0.5952 ± 0.0000,0.5306 ± 0.0238
22_seeds,dynamic,4,0.6429 ± 0.0000,0.5445 ± 0.0317
22_seeds,dynamic,5,0.7381 ± 0.0000,0.5468 ± 0.0287
22_seeds,dynamic,6,0.6905 ± 0.0000,0.5469 ± 0.0262
22_seeds,dynamic,7,0.6190 ± 0.0000,0.5532 ± 0.0287
22_seeds,dynamic,8,0.7619 ± 0.0000,0.5717 ± 0.0558
22_seeds,dynamic,9,0.7143 ± 0.0000,0.5653 ± 0.0556
22_seeds,dynamic,10,0.5714 ± 0.0000,0.5645 ± 0.0528
22_seeds,dynamic,11,0.6429 ± 0.0000,0.5612 ± 0.0514
22_seeds,dynamic,12,0.5476 ± 0.0000,0.5631 ± 0.0496
22_seeds,dynamic,13,0.7143 ± 0.0000,0.5609 ± 0.0483
22_seeds,dynamic,14,0.8095 ± 0.0000,0.5648 ± 0.0486
22_seeds,dynamic,15,0.6667 ± 0.0000,0.5689 ± 0.0494
22_seeds,dynamic,16,0.6905 ± 0.0000,0.5722 ± 0.0495
22_seeds,dynamic,17,0.6429 ± 0.0000,0.5727 ± 0.0481
22_seeds,dynamic,18,0.7381 ± 0.0000,0.5737 ± 0.0469
22_seeds,dynamic,19,0.6190 ± 0.0000,0.5756 ± 0.0463
22_seeds,dynamic,20,0.7143 ± 0.0000,0.5766 ± 0.0454
22_seeds,dynamic,21,0.7619 ± 0.0000,0.5797 ± 0.0465
22_seeds,dynamic,22,0.6667 ± 0.0000,0.5817 ± 0.0463
22_seeds,dynamic,23,0.7381 ± 0.0000,0.5800 ± 0.0460
22_seeds,dynamic,24,0.6429 ± 0.0000,0.5773 ± 0.0468
22_seeds,dynamic,25,0.7381 ± 0.0000,0.5747 ± 0.0477
22_seeds,dynamic,26,0.6905 ± 0.0000,0.5753 ± 0.0468
22_seeds,dynamic,27,0.6190 ± 0.0000,0.5751 ± 0.0460
22_seeds,dynamic,28,0.7381 ± 0.0000,0.5768 ± 0.0460
22_seeds,dynamic,29,0.7143 ± 0.0000,0.5774 ± 0.0453
22_seeds,dynamic,30,0.7857 ± 0.0000,0.5800 ± 0.0467
22_seeds,zero,1,0.7381 ± 0.0000,0.9283 ± 0.0000
22_seeds,zero,2,0.6429 ± 0.0000,0.9260 ± 0.0023
22_seeds,zero,3,0.6667 ± 0.0000,0.9116 ± 0.0204
22_seeds,zero,4,0.5952 ± 0.0000,0.9143 ± 0.0183
22_seeds,zero,5,0.7143 ± 0.0000,0.9026 ± 0.0285
22_seeds,zero,6,0.7381 ± 0.0000,0.9017 ± 0.0261
22_seeds,zero,7,0.7619 ± 0.0000,0.9032 ± 0.0244
22_seeds,zero,8,0.6905 ± 0.0000,0.8997 ± 0.0246
22_seeds,zero,9,0.6429 ± 0.0000,0.9055 ± 0.0283
22_seeds,zero,10,0.6667 ± 0.0000,0.9053 ± 0.0269
22_seeds,zero,11,0.7619 ± 0.0000,0.9034 ± 0.0263
22_seeds,zero,12,0.5238 ± 0.0000,0.9026 ± 0.0254
22_seeds,zero,13,0.6190 ± 0.0000,0.9017 ± 0.0246
