Dataset,method,Experiment,Accuracy,RMSE
2_heart,datawig,1,0.8033 ± 0.0000,7.6303 ± 0.0000
2_heart,datawig,2,0.7213 ± 0.0000,7.1551 ± 0.4753
2_heart,datawig,3,0.6721 ± 0.0000,7.2743 ± 0.4231
2_heart,datawig,4,0.6066 ± 0.0000,7.0779 ± 0.5001
2_heart,datawig,5,0.8361 ± 0.0000,6.9953 ± 0.4768
2_heart,datawig,6,0.7541 ± 0.0000,7.0552 ± 0.4553
2_heart,datawig,7,0.6885 ± 0.0000,7.1182 ± 0.4489
2_heart,datawig,8,0.6885 ± 0.0000,7.2508 ± 0.5472
2_heart,datawig,9,0.6885 ± 0.0000,7.3639 ± 0.6070
2_heart,datawig,10,0.7049 ± 0.0000,7.2368 ± 0.6905
2_heart,datawig,11,0.7049 ± 0.0000,7.2394 ± 0.6584
2_heart,datawig,12,0.5902 ± 0.0000,7.2454 ± 0.6307
2_heart,datawig,13,0.8525 ± 0.0000,7.2562 ± 0.6071
2_heart,datawig,14,0.6721 ± 0.0000,7.3052 ± 0.6112
2_heart,datawig,15,0.6230 ± 0.0000,7.3537 ± 0.6178
2_heart,datawig,16,0.5738 ± 0.0000,7.3384 ± 0.6011
2_heart,datawig,17,0.7049 ± 0.0000,7.2591 ± 0.6639
2_heart,datawig,18,0.7869 ± 0.0000,7.4162 ± 0.9144
2_heart,datawig,19,0.6885 ± 0.0000,7.3974 ± 0.8936
2_heart,datawig,20,0.7541 ± 0.0000,7.4023 ± 0.8712
2_heart,datawig,21,0.7705 ± 0.0000,7.4249 ± 0.8562
2_heart,datawig,22,0.7541 ± 0.0000,7.4746 ± 0.8670
2_heart,datawig,23,0.8525 ± 0.0000,7.4909 ± 0.8514
2_heart,datawig,24,0.8033 ± 0.0000,7.5117 ± 0.8394
2_heart,datawig,25,0.6885 ± 0.0000,7.5290 ± 0.8268
2_heart,datawig,26,0.7049 ± 0.0000,7.5333 ± 0.8110
2_heart,datawig,27,0.8033 ± 0.0000,7.5731 ± 0.8213
2_heart,datawig,28,0.6885 ± 0.0000,7.5858 ± 0.8092
2_heart,datawig,29,0.7705 ± 0.0000,7.5887 ± 0.7953
2_heart,datawig,30,0.6721 ± 0.0000,7.5605 ± 0.7965
2_heart,dynamic,1,0.4590 ± 0.0000,88.8311 ± 0.0000
2_heart,dynamic,2,0.5246 ± 0.0000,89.9301 ± 1.0991
2_heart,dynamic,3,0.4918 ± 0.0000,89.7756 ± 0.9236
2_heart,dynamic,4,0.4590 ± 0.0000,90.1723 ± 1.0544
2_heart,dynamic,5,0.5410 ± 0.0000,89.9131 ± 1.0761
2_heart,dynamic,6,0.3770 ± 0.0000,89.9660 ± 0.9894
2_heart,dynamic,7,0.4590 ± 0.0000,89.7553 ± 1.0514
2_heart,dynamic,8,0.4262 ± 0.0000,89.8318 ± 1.0041
2_heart,dynamic,9,0.5246 ± 0.0000,90.1961 ± 1.3992
2_heart,dynamic,10,0.4918 ± 0.0000,90.4113 ± 1.4762
2_heart,dynamic,11,0.5082 ± 0.0000,90.6499 ± 1.5970
2_heart,dynamic,12,0.3607 ± 0.0000,90.4769 ± 1.6331
2_heart,dynamic,13,0.5410 ± 0.0000,90.4021 ± 1.5903
2_heart,dynamic,14,0.4754 ± 0.0000,90.3889 ± 1.5332
2_heart,dynamic,15,0.4754 ± 0.0000,90.3820 ± 1.4814
2_heart,dynamic,16,0.4590 ± 0.0000,90.3845 ± 1.4344
2_heart,dynamic,17,0.4918 ± 0.0000,90.3425 ± 1.4017
2_heart,dynamic,18,0.5082 ± 0.0000,90.2896 ± 1.3795
2_heart,dynamic,19,0.4426 ± 0.0000,90.2962 ± 1.3430
2_heart,dynamic,20,0.4262 ± 0.0000,90.3287 ± 1.3166
2_heart,dynamic,21,0.4262 ± 0.0000,90.4395 ± 1.3772
2_heart,dynamic,22,0.4426 ± 0.0000,90.3929 ± 1.3624
2_heart,dynamic,23,0.5574 ± 0.0000,90.3466 ± 1.3500
2_heart,dynamic,24,0.4426 ± 0.0000,90.4671 ± 1.4423
2_heart,dynamic,25,0.3443 ± 0.0000,90.4356 ± 1.4215
2_heart,dynamic,26,0.4426 ± 0.0000,90.3954 ± 1.4084
2_heart,dynamic,27,0.3443 ± 0.0000,90.3918 ± 1.3822
2_heart,dynamic,28,0.4754 ± 0.0000,90.4089 ± 1.3602
2_heart,dynamic,29,0.3770 ± 0.0000,90.3940 ± 1.3389
2_heart,dynamic,30,0.4426 ± 0.0000,90.4409 ± 1.3404
2_heart,knn,1,0.7869 ± 0.0000,8.3450 ± 0.0000
2_heart,knn,2,0.7541 ± 0.0000,7.1987 ± 1.1462
2_heart,knn,3,0.7541 ± 0.0000,7.3626 ± 0.9641
2_heart,knn,4,0.7213 ± 0.0000,7.1705 ± 0.8988
2_heart,knn,5,0.8033 ± 0.0000,6.9754 ± 0.8936
2_heart,knn,6,0.7869 ± 0.0000,7.0073 ± 0.8189
2_heart,knn,7,0.7705 ± 0.0000,6.9999 ± 0.7584
2_heart,knn,8,0.7049 ± 0.0000,7.0595 ± 0.7267
2_heart,knn,9,0.7049 ± 0.0000,7.1095 ± 0.6996
2_heart,knn,10,0.7541 ± 0.0000,6.9549 ± 0.8097
2_heart,knn,11,0.6721 ± 0.0000,6.9504 ± 0.7722
2_heart,knn,12,0.8361 ± 0.0000,7.0281 ± 0.7829
2_heart,knn,13,0.7705 ± 0.0000,7.0178 ± 0.7530
2_heart,knn,14,0.7869 ± 0.0000,7.0230 ± 0.7259
2_heart,knn,15,0.7049 ± 0.0000,7.0886 ± 0.7430
2_heart,knn,16,0.6721 ± 0.0000,7.0494 ± 0.7352
2_heart,knn,17,0.7049 ± 0.0000,7.0002 ± 0.7399
2_heart,knn,18,0.7541 ± 0.0000,7.1451 ± 0.9348
2_heart,knn,19,0.6393 ± 0.0000,7.0938 ± 0.9356
2_heart,knn,20,0.8525 ± 0.0000,7.1135 ± 0.9159
2_heart,knn,21,0.7869 ± 0.0000,7.1108 ± 0.8940
2_heart,knn,22,0.7213 ± 0.0000,7.1293 ± 0.8775
2_heart,knn,23,0.7541 ± 0.0000,7.1277 ± 0.8582
2_heart,knn,24,0.8852 ± 0.0000,7.1420 ± 0.8430
2_heart,knn,25,0.7377 ± 0.0000,7.1326 ± 0.8272
2_heart,knn,26,0.6230 ± 0.0000,7.1586 ± 0.8215
2_heart,knn,27,0.7049 ± 0.0000,7.2207 ± 0.8660
2_heart,knn,28,0.7869 ± 0.0000,7.2117 ± 0.8517
2_heart,knn,29,0.6393 ± 0.0000,7.2174 ± 0.8374
2_heart,knn,30,0.7705 ± 0.0000,7.1982 ± 0.8298
2_heart,zero,1,0.6885 ± 0.0000,43.4488 ± 0.0000
2_heart,zero,2,0.7049 ± 0.0000,40.7009 ± 2.7479
2_heart,zero,3,0.6885 ± 0.0000,41.0524 ± 2.2980
2_heart,zero,4,0.5902 ± 0.0000,41.7549 ± 2.3326
2_heart,zero,5,0.6721 ± 0.0000,41.5321 ± 2.1334
2_heart,zero,6,0.6721 ± 0.0000,41.8568 ± 2.0784
2_heart,zero,7,0.7049 ± 0.0000,42.4557 ± 2.4197
2_heart,zero,8,0.6885 ± 0.0000,42.6939 ± 2.3495
2_heart,zero,9,0.6885 ± 0.0000,42.4613 ± 2.3107
2_heart,zero,10,0.6721 ± 0.0000,41.7647 ± 3.0286
2_heart,zero,11,0.6393 ± 0.0000,41.8763 ± 2.9092
2_heart,zero,12,0.7213 ± 0.0000,41.8039 ± 2.7956
2_heart,zero,13,0.6393 ± 0.0000,41.5927 ± 2.7838
2_heart,zero,14,0.6721 ± 0.0000,41.6271 ± 2.6854
2_heart,zero,15,0.5738 ± 0.0000,41.6872 ± 2.6041
2_heart,zero,16,0.6557 ± 0.0000,41.3370 ± 2.8631
2_heart,zero,17,0.5902 ± 0.0000,41.1366 ± 2.8910
2_heart,zero,18,0.6885 ± 0.0000,41.6822 ± 3.5991
2_heart,zero,19,0.6885 ± 0.0000,41.4855 ± 3.6011
2_heart,zero,20,0.7377 ± 0.0000,41.5104 ± 3.5116
2_heart,zero,21,0.6721 ± 0.0000,41.3930 ± 3.4669
2_heart,zero,22,0.6393 ± 0.0000,41.3975 ± 3.3873
2_heart,zero,23,0.6885 ± 0.0000,41.2884 ± 3.3521
2_heart,zero,24,0.7049 ± 0.0000,41.2752 ± 3.2822
2_heart,zero,25,0.7705 ± 0.0000,41.3537 ± 3.2387
2_heart,zero,26,0.6557 ± 0.0000,41.4304 ± 3.1989
2_heart,zero,27,0.6885 ± 0.0000,41.5384 ± 3.1871
2_heart,zero,28,0.7377 ± 0.0000,41.5607 ± 3.1318
2_heart,zero,29,0.6885 ± 0.0000,41.5922 ± 3.0818
2_heart,zero,30,0.7377 ± 0.0000,41.5489 ± 3.0390
8_liver,datawig,1,0.8696 ± 0.0000,7.0958 ± 0.0000
8_liver,datawig,2,0.9275 ± 0.0000,7.7553 ± 0.6595
8_liver,datawig,3,0.9275 ± 0.0000,7.3027 ± 0.8363
8_liver,datawig,4,0.9710 ± 0.0000,7.6153 ± 0.9043
8_liver,datawig,5,0.9130 ± 0.0000,8.4741 ± 1.8984
8_liver,datawig,6,0.9565 ± 0.0000,8.0524 ± 1.9729
8_liver,datawig,7,0.9130 ± 0.0000,8.5195 ± 2.1553
8_liver,datawig,8,0.9420 ± 0.0000,8.7917 ± 2.1409
8_liver,datawig,9,0.9420 ± 0.0000,9.5288 ± 2.9019
8_liver,datawig,10,0.9710 ± 0.0000,9.6499 ± 2.7769
8_liver,datawig,11,0.9420 ± 0.0000,9.4518 ± 2.7208
