Dataset,method,Experiment,Accuracy,RMSE
3_adult,dynamic,1,0.7615 ± 0.0000,0.9811 ± 0.0000
3_adult,dynamic,2,0.7666 ± 0.0000,0.9798 ± 0.0013
3_adult,dynamic,3,0.7647 ± 0.0000,0.9800 ± 0.0011
3_adult,dynamic,4,0.7578 ± 0.0000,0.9790 ± 0.0021
3_adult,dynamic,5,0.7634 ± 0.0000,0.9783 ± 0.0023
3_adult,dynamic,6,0.7687 ± 0.0000,0.9786 ± 0.0022
3_adult,dynamic,7,0.7541 ± 0.0000,0.9802 ± 0.0044
3_adult,dynamic,8,0.7560 ± 0.0000,0.9802 ± 0.0041
3_adult,dynamic,9,0.7623 ± 0.0000,0.9803 ± 0.0039
3_adult,dynamic,10,0.7652 ± 0.0000,0.9802 ± 0.0037
3_adult,dynamic,11,0.7650 ± 0.0000,0.9804 ± 0.0036
3_adult,dynamic,12,0.7578 ± 0.0000,0.9805 ± 0.0034
3_adult,dynamic,13,0.7512 ± 0.0000,0.9801 ± 0.0035
3_adult,dynamic,14,0.7508 ± 0.0000,0.9803 ± 0.0034
3_adult,dynamic,15,0.7581 ± 0.0000,0.9803 ± 0.0033
3_adult,dynamic,16,0.7641 ± 0.0000,0.9805 ± 0.0033
3_adult,dynamic,17,0.7607 ± 0.0000,0.9806 ± 0.0033
3_adult,dynamic,18,0.7549 ± 0.0000,0.9802 ± 0.0036
3_adult,dynamic,19,0.7647 ± 0.0000,0.9802 ± 0.0035
3_adult,dynamic,20,0.7568 ± 0.0000,0.9805 ± 0.0039
3_adult,dynamic,21,0.7571 ± 0.0000,0.9804 ± 0.0038
3_adult,dynamic,22,0.7574 ± 0.0000,0.9805 ± 0.0038
3_adult,dynamic,23,0.7620 ± 0.0000,0.9805 ± 0.0037
3_adult,dynamic,24,0.7658 ± 0.0000,0.9804 ± 0.0036
3_adult,dynamic,25,0.7581 ± 0.0000,0.9805 ± 0.0035
3_adult,dynamic,26,0.7598 ± 0.0000,0.9805 ± 0.0035
3_adult,dynamic,27,0.7597 ± 0.0000,0.9802 ± 0.0036
3_adult,dynamic,28,0.7571 ± 0.0000,0.9804 ± 0.0036
3_adult,dynamic,29,0.7580 ± 0.0000,0.9803 ± 0.0036
3_adult,dynamic,30,0.7611 ± 0.0000,0.9803 ± 0.0035
3_adult,knn,1,0.7678 ± 0.0000,0.1985 ± 0.0000
3_adult,knn,2,0.7733 ± 0.0000,0.1991 ± 0.0006
3_adult,zero,1,0.7697 ± 0.0000,0.5221 ± 0.0000
3_adult,zero,2,0.7789 ± 0.0000,0.5204 ± 0.0017
3_adult,zero,3,0.7680 ± 0.0000,0.5198 ± 0.0016
3_adult,zero,4,0.7681 ± 0.0000,0.5191 ± 0.0018
3_adult,zero,5,0.7744 ± 0.0000,0.5187 ± 0.0019
3_adult,zero,6,0.7683 ± 0.0000,0.5192 ± 0.0021
3_adult,zero,7,0.7674 ± 0.0000,0.5200 ± 0.0029
3_adult,zero,8,0.7621 ± 0.0000,0.5196 ± 0.0029
3_adult,zero,9,0.7729 ± 0.0000,0.5201 ± 0.0030
3_adult,zero,10,0.7732 ± 0.0000,0.5205 ± 0.0031
3_adult,zero,11,0.7778 ± 0.0000,0.5208 ± 0.0031
3_adult,zero,12,0.7666 ± 0.0000,0.5211 ± 0.0031
3_adult,zero,13,0.7611 ± 0.0000,0.5213 ± 0.0031
3_adult,zero,14,0.7632 ± 0.0000,0.5214 ± 0.0030
3_adult,zero,15,0.7629 ± 0.0000,0.5216 ± 0.0030
3_adult,zero,16,0.7689 ± 0.0000,0.5214 ± 0.0030
3_adult,zero,17,0.7695 ± 0.0000,0.5215 ± 0.0029
3_adult,zero,18,0.7658 ± 0.0000,0.5216 ± 0.0028
3_adult,zero,19,0.7753 ± 0.0000,0.5213 ± 0.0030
3_adult,zero,20,0.7657 ± 0.0000,0.5215 ± 0.0030
3_adult,zero,21,0.7670 ± 0.0000,0.5217 ± 0.0031
3_adult,zero,22,0.7689 ± 0.0000,0.5217 ± 0.0030
3_adult,zero,23,0.7709 ± 0.0000,0.5217 ± 0.0029
3_adult,zero,24,0.7749 ± 0.0000,0.5218 ± 0.0029
3_adult,zero,25,0.7615 ± 0.0000,0.5217 ± 0.0029
3_adult,zero,26,0.7744 ± 0.0000,0.5218 ± 0.0029
3_adult,zero,27,0.7667 ± 0.0000,0.5218 ± 0.0029
3_adult,zero,28,0.7741 ± 0.0000,0.5218 ± 0.0028
3_adult,zero,29,0.7664 ± 0.0000,0.5219 ± 0.0028
3_adult,zero,30,0.7695 ± 0.0000,0.5219 ± 0.0028
3_adult,knn,1,0.7690 ± 0.0000,0.1985 ± 0.0000
3_adult,knn,2,0.7718 ± 0.0000,0.1991 ± 0.0006
3_adult,knn,3,0.7715 ± 0.0000,0.1994 ± 0.0006
3_adult,knn,4,0.7647 ± 0.0000,0.1988 ± 0.0011
3_adult,knn,5,0.7700 ± 0.0000,0.1990 ± 0.0010
3_adult,knn,6,0.7752 ± 0.0000,0.1991 ± 0.0010
3_adult,knn,7,0.7581 ± 0.0000,0.1992 ± 0.0009
3_adult,knn,8,0.7632 ± 0.0000,0.1991 ± 0.0009
3_adult,knn,9,0.7701 ± 0.0000,0.1989 ± 0.0010
3_adult,knn,10,0.7741 ± 0.0000,0.1989 ± 0.0010
3_adult,knn,11,0.7723 ± 0.0000,0.1990 ± 0.0010
3_adult,knn,12,0.7635 ± 0.0000,0.1987 ± 0.0015
3_adult,knn,13,0.7606 ± 0.0000,0.1988 ± 0.0014
3_adult,knn,14,0.7552 ± 0.0000,0.1988 ± 0.0014
3_adult,knn,15,0.7643 ± 0.0000,0.1989 ± 0.0014
3_adult,knn,16,0.7687 ± 0.0000,0.1990 ± 0.0014
3_adult,knn,17,0.7683 ± 0.0000,0.1990 ± 0.0014
3_adult,knn,18,0.7623 ± 0.0000,0.1991 ± 0.0014
3_adult,knn,19,0.7718 ± 0.0000,0.1989 ± 0.0014
3_adult,knn,20,0.7637 ± 0.0000,0.1990 ± 0.0014
3_adult,knn,21,0.7635 ± 0.0000,0.1992 ± 0.0016
3_adult,knn,22,0.7670 ± 0.0000,0.1993 ± 0.0016
3_adult,knn,23,0.7667 ± 0.0000,0.1992 ± 0.0016
3_adult,knn,24,0.7726 ± 0.0000,0.1993 ± 0.0016
3_adult,knn,25,0.7660 ± 0.0000,0.1992 ± 0.0016
3_adult,knn,26,0.7667 ± 0.0000,0.1993 ± 0.0016
3_adult,knn,27,0.7654 ± 0.0000,0.1992 ± 0.0016
3_adult,knn,28,0.7657 ± 0.0000,0.1992 ± 0.0015
3_adult,knn,29,0.7701 ± 0.0000,0.1992 ± 0.0015
3_adult,knn,30,0.7707 ± 0.0000,0.1992 ± 0.0015
3_adult,datawig,1,0.7670 ± 0.0000,0.2123 ± 0.0000
3_adult,datawig,2,0.7793 ± 0.0000,0.2185 ± 0.0062
3_adult,datawig,3,0.7715 ± 0.0000,0.2167 ± 0.0057
3_adult,datawig,4,0.7637 ± 0.0000,0.2149 ± 0.0059
3_adult,datawig,5,0.7724 ± 0.0000,0.2156 ± 0.0054
3_adult,datawig,6,0.7744 ± 0.0000,0.2152 ± 0.0050
3_adult,datawig,7,0.7618 ± 0.0000,0.2154 ± 0.0047
3_adult,datawig,8,0.7617 ± 0.0000,0.2165 ± 0.0053
3_adult,datawig,9,0.7686 ± 0.0000,0.2163 ± 0.0051
3_adult,datawig,10,0.7727 ± 0.0000,0.2158 ± 0.0050
3_adult,datawig,11,0.7701 ± 0.0000,0.2156 ± 0.0048
3_adult,datawig,12,0.7649 ± 0.0000,0.2150 ± 0.0050
3_adult,datawig,13,0.7594 ± 0.0000,0.2147 ± 0.0050
3_adult,datawig,14,0.7581 ± 0.0000,0.2144 ± 0.0049
3_adult,datawig,15,0.7634 ± 0.0000,0.2143 ± 0.0047
3_adult,datawig,16,0.7723 ± 0.0000,0.2141 ± 0.0046
3_adult,datawig,17,0.7660 ± 0.0000,0.2139 ± 0.0046
3_adult,datawig,18,0.7603 ± 0.0000,0.2139 ± 0.0044
3_adult,datawig,19,0.7721 ± 0.0000,0.2137 ± 0.0044
3_adult,datawig,20,0.7629 ± 0.0000,0.2136 ± 0.0043
3_adult,datawig,21,0.7652 ± 0.0000,0.2137 ± 0.0042
3_adult,datawig,22,0.7672 ± 0.0000,0.2136 ± 0.0041
3_adult,datawig,23,0.7695 ± 0.0000,0.2136 ± 0.0040
3_adult,datawig,24,0.7735 ± 0.0000,0.2136 ± 0.0039
3_adult,datawig,25,0.7641 ± 0.0000,0.2135 ± 0.0038
3_adult,datawig,26,0.7667 ± 0.0000,0.2137 ± 0.0039
3_adult,datawig,27,0.7669 ± 0.0000,0.2137 ± 0.0038
3_adult,datawig,28,0.7641 ± 0.0000,0.2137 ± 0.0037
3_adult,datawig,29,0.7666 ± 0.0000,0.2138 ± 0.0037
3_adult,datawig,30,0.7663 ± 0.0000,0.2137 ± 0.0037
