Dataset,method,Experiment,Accuracy,RMSE
4_wine,dynamic,1,0.6111 ± 0.0000,0.6234 ± 0.0000
4_wine,dynamic,2,0.6111 ± 0.0000,0.6895 ± 0.0000
4_wine,dynamic,3,0.5000 ± 0.0000,0.7825 ± 0.0000
4_wine,dynamic,4,0.6111 ± 0.0000,0.7461 ± 0.0000
4_wine,dynamic,5,0.7222 ± 0.0000,0.7119 ± 0.0000
4_wine,dynamic,6,0.4722 ± 0.0000,0.6227 ± 0.0000
4_wine,dynamic,7,0.6389 ± 0.0000,0.7722 ± 0.0000
4_wine,dynamic,8,0.8056 ± 0.0000,0.7161 ± 0.0000
4_wine,dynamic,9,0.6389 ± 0.0000,0.7143 ± 0.0000
4_wine,dynamic,10,0.5556 ± 0.0000,0.7338 ± 0.0000
4_wine,dynamic,11,0.7222 ± 0.0000,0.6568 ± 0.0000
4_wine,dynamic,12,0.5556 ± 0.0000,0.5752 ± 0.0000
4_wine,dynamic,13,0.5833 ± 0.0000,0.7368 ± 0.0000
4_wine,dynamic,14,0.6667 ± 0.0000,0.7003 ± 0.0000
4_wine,dynamic,15,0.6389 ± 0.0000,0.6981 ± 0.0000
4_wine,dynamic,16,0.6944 ± 0.0000,0.7184 ± 0.0000
4_wine,dynamic,17,0.7222 ± 0.0000,0.7048 ± 0.0000
4_wine,dynamic,18,0.8333 ± 0.0000,0.7442 ± 0.0000
4_wine,dynamic,19,0.5556 ± 0.0000,0.7776 ± 0.0000
4_wine,dynamic,20,0.7222 ± 0.0000,0.7936 ± 0.0000
4_wine,dynamic,21,0.7222 ± 0.0000,0.7364 ± 0.0000
4_wine,dynamic,22,0.5833 ± 0.0000,0.7335 ± 0.0000
4_wine,dynamic,23,0.7500 ± 0.0000,0.7888 ± 0.0000
4_wine,dynamic,24,0.6944 ± 0.0000,0.7089 ± 0.0000
4_wine,dynamic,25,0.6389 ± 0.0000,0.7683 ± 0.0000
4_wine,dynamic,26,0.6667 ± 0.0000,0.6970 ± 0.0000
4_wine,dynamic,27,0.7500 ± 0.0000,0.7446 ± 0.0000
4_wine,dynamic,28,0.7778 ± 0.0000,0.7516 ± 0.0000
4_wine,dynamic,29,0.7500 ± 0.0000,0.7195 ± 0.0000
4_wine,dynamic,30,0.7500 ± 0.0000,0.7244 ± 0.0000
4_wine,knn,1,1.0000 ± 0.0000,0.2330 ± 0.0000
4_wine,knn,2,0.8611 ± 0.0000,0.2437 ± 0.0107
4_wine,knn,3,0.8611 ± 0.0000,0.2329 ± 0.0176
4_wine,knn,4,0.9167 ± 0.0000,0.2366 ± 0.0165
4_wine,knn,5,0.9722 ± 0.0000,0.2347 ± 0.0152
4_wine,knn,6,0.8056 ± 0.0000,0.2222 ± 0.0312
4_wine,knn,7,0.9167 ± 0.0000,0.2212 ± 0.0290
4_wine,knn,8,0.9444 ± 0.0000,0.2252 ± 0.0292
4_wine,knn,9,0.9167 ± 0.0000,0.2273 ± 0.0281
4_wine,knn,10,0.9167 ± 0.0000,0.2282 ± 0.0268
4_wine,knn,11,0.9167 ± 0.0000,0.2321 ± 0.0283
4_wine,knn,12,0.9167 ± 0.0000,0.2312 ± 0.0273
4_wine,knn,13,0.9444 ± 0.0000,0.2329 ± 0.0269
4_wine,knn,14,0.8611 ± 0.0000,0.2359 ± 0.0281
4_wine,knn,15,0.8889 ± 0.0000,0.2353 ± 0.0272
4_wine,knn,16,1.0000 ± 0.0000,0.2359 ± 0.0264
4_wine,knn,17,0.8611 ± 0.0000,0.2381 ± 0.0271
4_wine,knn,18,0.9444 ± 0.0000,0.2372 ± 0.0266
4_wine,knn,19,0.8611 ± 0.0000,0.2372 ± 0.0259
4_wine,knn,20,1.0000 ± 0.0000,0.2400 ± 0.0279
