Dataset,method,Experiment,Accuracy,RMSE
5_spambase,dynamic,1,0.5848 ± 0.0000,1.3808 ± 0.0000
5_spambase,dynamic,2,0.6120 ± 0.0000,1.3351 ± 0.0457
5_spambase,dynamic,3,0.5924 ± 0.0000,1.3382 ± 0.0376
5_spambase,dynamic,4,0.6250 ± 0.0000,1.3288 ± 0.0363
5_spambase,dynamic,5,0.6098 ± 0.0000,1.3286 ± 0.0325
5_spambase,dynamic,6,0.6054 ± 0.0000,1.3290 ± 0.0297
5_spambase,dynamic,7,0.6011 ± 0.0000,1.3284 ± 0.0275
5_spambase,dynamic,8,0.6043 ± 0.0000,1.3288 ± 0.0258
5_spambase,dynamic,9,0.5815 ± 0.0000,1.3245 ± 0.0272
5_spambase,dynamic,10,0.6152 ± 0.0000,1.3293 ± 0.0295
5_spambase,dynamic,11,0.6130 ± 0.0000,1.3313 ± 0.0289
5_spambase,dynamic,12,0.6022 ± 0.0000,1.3300 ± 0.0280
5_spambase,dynamic,13,0.6228 ± 0.0000,1.3277 ± 0.0280
5_spambase,dynamic,14,0.5957 ± 0.0000,1.3299 ± 0.0280
5_spambase,dynamic,15,0.6043 ± 0.0000,1.3284 ± 0.0276
5_spambase,dynamic,16,0.6228 ± 0.0000,1.3269 ± 0.0274
5_spambase,dynamic,17,0.6022 ± 0.0000,1.3279 ± 0.0268
5_spambase,dynamic,18,0.5935 ± 0.0000,1.3262 ± 0.0270
5_spambase,dynamic,19,0.5826 ± 0.0000,1.3250 ± 0.0267
5_spambase,dynamic,20,0.5978 ± 0.0000,1.3246 ± 0.0261
5_spambase,dynamic,21,0.5913 ± 0.0000,1.3230 ± 0.0265
5_spambase,dynamic,22,0.6076 ± 0.0000,1.3221 ± 0.0262
5_spambase,dynamic,23,0.6043 ± 0.0000,1.3208 ± 0.0264
5_spambase,dynamic,24,0.5902 ± 0.0000,1.3211 ± 0.0259
5_spambase,dynamic,25,0.5978 ± 0.0000,1.3206 ± 0.0255
5_spambase,dynamic,26,0.6272 ± 0.0000,1.3204 ± 0.0250
5_spambase,dynamic,27,0.6011 ± 0.0000,1.3203 ± 0.0245
5_spambase,dynamic,28,0.5924 ± 0.0000,1.3204 ± 0.0241
5_spambase,dynamic,29,0.6250 ± 0.0000,1.3210 ± 0.0239
5_spambase,dynamic,30,0.5902 ± 0.0000,1.3214 ± 0.0236
5_spambase,zero,1,0.8935 ± 0.0000,0.0838 ± 0.0000
5_spambase,zero,2,0.9130 ± 0.0000,0.0887 ± 0.0049
5_spambase,zero,3,0.9163 ± 0.0000,0.0880 ± 0.0042
5_spambase,zero,4,0.8989 ± 0.0000,0.0871 ± 0.0039
5_spambase,zero,5,0.8641 ± 0.0000,0.0867 ± 0.0036
5_spambase,zero,6,0.9141 ± 0.0000,0.0864 ± 0.0034
5_spambase,zero,7,0.8989 ± 0.0000,0.0861 ± 0.0032
5_spambase,zero,8,0.9120 ± 0.0000,0.0859 ± 0.0030
5_spambase,zero,9,0.9022 ± 0.0000,0.0856 ± 0.0030
5_spambase,zero,10,0.9130 ± 0.0000,0.0852 ± 0.0031
5_spambase,zero,11,0.9076 ± 0.0000,0.0845 ± 0.0037
5_spambase,zero,12,0.9043 ± 0.0000,0.0841 ± 0.0038
5_spambase,zero,13,0.9141 ± 0.0000,0.0842 ± 0.0037
5_spambase,zero,14,0.9011 ± 0.0000,0.0839 ± 0.0037
5_spambase,zero,15,0.8957 ± 0.0000,0.0842 ± 0.0038
5_spambase,zero,16,0.9011 ± 0.0000,0.0846 ± 0.0039
5_spambase,zero,17,0.9120 ± 0.0000,0.0844 ± 0.0039
5_spambase,zero,18,0.9109 ± 0.0000,0.0851 ± 0.0045
5_spambase,zero,19,0.9065 ± 0.0000,0.0850 ± 0.0044
5_spambase,zero,20,0.9130 ± 0.0000,0.0850 ± 0.0043
5_spambase,zero,21,0.9054 ± 0.0000,0.0851 ± 0.0043
5_spambase,zero,22,0.9261 ± 0.0000,0.0853 ± 0.0043
5_spambase,zero,23,0.9033 ± 0.0000,0.0850 ± 0.0044
5_spambase,zero,24,0.8859 ± 0.0000,0.0850 ± 0.0044
5_spambase,zero,25,0.9043 ± 0.0000,0.0849 ± 0.0043
5_spambase,zero,26,0.9076 ± 0.0000,0.0851 ± 0.0043
5_spambase,zero,27,0.9043 ± 0.0000,0.0850 ± 0.0042
5_spambase,zero,28,0.9087 ± 0.0000,0.0851 ± 0.0042
5_spambase,zero,29,0.9087 ± 0.0000,0.0850 ± 0.0041
5_spambase,zero,30,0.8946 ± 0.0000,0.0849 ± 0.0041
5_spambase,knn,1,0.9402 ± 0.0000,0.0732 ± 0.0000
5_spambase,knn,2,0.9141 ± 0.0000,0.0801 ± 0.0068
5_spambase,knn,3,0.9141 ± 0.0000,0.0786 ± 0.0060
5_spambase,knn,4,0.8826 ± 0.0000,0.0783 ± 0.0052
5_spambase,knn,5,0.9217 ± 0.0000,0.0787 ± 0.0047
5_spambase,knn,6,0.9304 ± 0.0000,0.0784 ± 0.0044
5_spambase,knn,7,0.9272 ± 0.0000,0.0780 ± 0.0041
5_spambase,knn,8,0.9304 ± 0.0000,0.0776 ± 0.0040
5_spambase,knn,9,0.9152 ± 0.0000,0.0773 ± 0.0039
5_spambase,knn,10,0.9054 ± 0.0000,0.0766 ± 0.0042
5_spambase,knn,11,0.9348 ± 0.0000,0.0760 ± 0.0045
5_spambase,knn,12,0.9217 ± 0.0000,0.0756 ± 0.0044
5_spambase,knn,13,0.9435 ± 0.0000,0.0758 ± 0.0043
5_spambase,knn,14,0.9283 ± 0.0000,0.0755 ± 0.0043
5_spambase,knn,15,0.9228 ± 0.0000,0.0759 ± 0.0044
5_spambase,knn,16,0.9261 ± 0.0000,0.0761 ± 0.0043
5_spambase,knn,17,0.9000 ± 0.0000,0.0759 ± 0.0042
5_spambase,knn,18,0.9022 ± 0.0000,0.0766 ± 0.0050
5_spambase,knn,19,0.9326 ± 0.0000,0.0767 ± 0.0049
5_spambase,knn,20,0.9239 ± 0.0000,0.0767 ± 0.0048
5_spambase,knn,21,0.9250 ± 0.0000,0.0771 ± 0.0049
5_spambase,knn,22,0.9272 ± 0.0000,0.0772 ± 0.0048
5_spambase,knn,23,0.8793 ± 0.0000,0.0770 ± 0.0048
5_spambase,knn,24,0.9380 ± 0.0000,0.0769 ± 0.0048
5_spambase,knn,25,0.9348 ± 0.0000,0.0768 ± 0.0047
5_spambase,knn,26,0.9174 ± 0.0000,0.0769 ± 0.0046
5_spambase,knn,27,0.9196 ± 0.0000,0.0769 ± 0.0045
5_spambase,knn,28,0.9033 ± 0.0000,0.0769 ± 0.0044
5_spambase,knn,29,0.9337 ± 0.0000,0.0770 ± 0.0044
5_spambase,knn,30,0.9152 ± 0.0000,0.0769 ± 0.0043
5_spambase,datawig,1,0.9076 ± 0.0000,0.1983 ± 0.0000
5_spambase,datawig,2,0.8989 ± 0.0000,0.1865 ± 0.0119
5_spambase,datawig,3,0.8826 ± 0.0000,0.2522 ± 0.0934
5_spambase,datawig,4,0.9022 ± 0.0000,0.2580 ± 0.0815
5_spambase,datawig,5,0.9087 ± 0.0000,0.2620 ± 0.0733
5_spambase,datawig,6,0.8924 ± 0.0000,0.2539 ± 0.0694
5_spambase,datawig,7,0.8587 ± 0.0000,0.2606 ± 0.0663
5_spambase,datawig,8,0.9141 ± 0.0000,0.2687 ± 0.0657
5_spambase,datawig,9,0.8957 ± 0.0000,0.2725 ± 0.0628
5_spambase,datawig,10,0.8902 ± 0.0000,0.2658 ± 0.0630
5_spambase,datawig,11,0.8728 ± 0.0000,0.2665 ± 0.0601
5_spambase,datawig,12,0.8772 ± 0.0000,0.2655 ± 0.0576
5_spambase,datawig,13,0.8978 ± 0.0000,0.2625 ± 0.0563
5_spambase,datawig,14,0.9000 ± 0.0000,0.2617 ± 0.0544
5_spambase,datawig,15,0.8935 ± 0.0000,0.2626 ± 0.0526
5_spambase,datawig,16,0.9054 ± 0.0000,0.2625 ± 0.0510
5_spambase,datawig,17,0.9011 ± 0.0000,0.2600 ± 0.0504
5_spambase,datawig,18,0.9065 ± 0.0000,0.2562 ± 0.0514
5_spambase,datawig,19,0.9109 ± 0.0000,0.2559 ± 0.0501
5_spambase,datawig,20,0.8924 ± 0.0000,0.2511 ± 0.0531
5_spambase,datawig,21,0.8957 ± 0.0000,0.2517 ± 0.0519
5_spambase,datawig,22,0.8826 ± 0.0000,0.2505 ± 0.0510
5_spambase,datawig,23,0.9196 ± 0.0000,0.2475 ± 0.0518
5_spambase,datawig,24,0.8620 ± 0.0000,0.2457 ± 0.0515
5_spambase,datawig,25,0.8804 ± 0.0000,0.2451 ± 0.0505
5_spambase,datawig,26,0.8761 ± 0.0000,0.2472 ± 0.0507
5_spambase,datawig,27,0.8989 ± 0.0000,0.2434 ± 0.0533
5_spambase,datawig,28,0.9141 ± 0.0000,0.2431 ± 0.0524
5_spambase,datawig,29,0.9217 ± 0.0000,0.2453 ± 0.0527
5_spambase,datawig,30,0.9033 ± 0.0000,0.2467 ± 0.0524
