Dataset,method,Experiment,Accuracy,RMSE
6_chess,datawig,1,0.9284 ± 0.0000,0.8689 ± 0.0000
6_chess,datawig,2,0.9227 ± 0.0000,0.8617 ± 0.0000
6_chess,datawig,3,0.9257 ± 0.0000,0.8549 ± 0.0000
6_chess,datawig,4,0.9278 ± 0.0000,0.8641 ± 0.0000
6_chess,datawig,5,0.9280 ± 0.0000,0.8696 ± 0.0000
6_chess,datawig,6,0.9259 ± 0.0000,0.8663 ± 0.0000
6_chess,datawig,7,0.9284 ± 0.0000,0.8718 ± 0.0000
6_chess,datawig,8,0.9268 ± 0.0000,0.8757 ± 0.0000
6_chess,datawig,9,0.9314 ± 0.0000,0.8577 ± 0.0000
6_chess,datawig,10,0.9312 ± 0.0000,0.8726 ± 0.0000
6_chess,datawig,11,0.9285 ± 0.0000,0.8609 ± 0.0000
6_chess,datawig,12,0.9260 ± 0.0000,0.8748 ± 0.0000
6_chess,datawig,13,0.9264 ± 0.0000,0.8721 ± 0.0000
6_chess,datawig,14,0.9326 ± 0.0000,0.8648 ± 0.0000
6_chess,datawig,15,0.9243 ± 0.0000,0.8729 ± 0.0000
6_chess,datawig,16,0.9349 ± 0.0000,0.8722 ± 0.0000
6_chess,datawig,17,0.9248 ± 0.0000,0.8614 ± 0.0000
6_chess,datawig,18,0.9321 ± 0.0000,0.8709 ± 0.0000
6_chess,datawig,19,0.9319 ± 0.0000,0.8657 ± 0.0000
6_chess,datawig,20,0.9346 ± 0.0000,0.8501 ± 0.0000
6_chess,datawig,21,0.9291 ± 0.0000,0.8584 ± 0.0000
6_chess,datawig,22,0.9212 ± 0.0000,0.8609 ± 0.0000
6_chess,datawig,23,0.9312 ± 0.0000,0.8617 ± 0.0000
6_chess,datawig,24,0.9310 ± 0.0000,0.8625 ± 0.0000
6_chess,datawig,25,0.9323 ± 0.0000,0.8684 ± 0.0000
6_chess,datawig,26,0.9284 ± 0.0000,0.8640 ± 0.0000
6_chess,datawig,27,0.9269 ± 0.0000,0.8606 ± 0.0000
6_chess,datawig,28,0.9294 ± 0.0000,0.8633 ± 0.0000
6_chess,datawig,29,0.9291 ± 0.0000,0.8670 ± 0.0000
6_chess,datawig,30,0.9237 ± 0.0000,0.8640 ± 0.0000
6_chess,knn,1,0.9278 ± 0.0000,0.9227 ± 0.0000
6_chess,knn,2,0.9307 ± 0.0000,0.9159 ± 0.0000
6_chess,knn,3,0.9251 ± 0.0000,0.9022 ± 0.0000
6_chess,knn,4,0.9330 ± 0.0000,0.9128 ± 0.0000
6_chess,knn,5,0.9307 ± 0.0000,0.9298 ± 0.0000
6_chess,knn,6,0.9310 ± 0.0000,0.9198 ± 0.0000
6_chess,knn,7,0.9335 ± 0.0000,0.9247 ± 0.0000
6_chess,knn,8,0.9284 ± 0.0000,0.9313 ± 0.0000
6_chess,knn,9,0.9378 ± 0.0000,0.9233 ± 0.0000
6_chess,knn,10,0.9342 ± 0.0000,0.9264 ± 0.0000
6_chess,knn,11,0.9325 ± 0.0000,0.9152 ± 0.0000
6_chess,knn,12,0.9325 ± 0.0000,0.9277 ± 0.0000
6_chess,knn,13,0.9323 ± 0.0000,0.9322 ± 0.0000
6_chess,knn,14,0.9292 ± 0.0000,0.9121 ± 0.0000
6_chess,knn,15,0.9278 ± 0.0000,0.9316 ± 0.0000
6_chess,knn,16,0.9383 ± 0.0000,0.9348 ± 0.0000
6_chess,knn,17,0.9344 ± 0.0000,0.9156 ± 0.0000
6_chess,knn,18,0.9323 ± 0.0000,0.9394 ± 0.0000
6_chess,knn,19,0.9282 ± 0.0000,0.9162 ± 0.0000
6_chess,knn,20,0.9237 ± 0.0000,0.9054 ± 0.0000
6_chess,knn,21,0.9316 ± 0.0000,0.9161 ± 0.0000
6_chess,knn,22,0.9292 ± 0.0000,0.9135 ± 0.0000
6_chess,knn,23,0.9326 ± 0.0000,0.9222 ± 0.0000
6_chess,knn,24,0.9303 ± 0.0000,0.9220 ± 0.0000
6_chess,knn,25,0.9330 ± 0.0000,0.9251 ± 0.0000
6_chess,knn,26,0.9328 ± 0.0000,0.9194 ± 0.0000
6_chess,knn,27,0.9301 ± 0.0000,0.9212 ± 0.0000
6_chess,knn,28,0.9260 ± 0.0000,0.9149 ± 0.0000
6_chess,knn,29,0.9284 ± 0.0000,0.9240 ± 0.0000
6_chess,knn,30,0.9346 ± 0.0000,0.9269 ± 0.0000
6_chess,zero,1,0.9321 ± 0.0000,1.8001 ± 0.0000
6_chess,zero,2,0.9262 ± 0.0000,1.8214 ± 0.0000
6_chess,zero,3,0.9300 ± 0.0000,1.7820 ± 0.0000
6_chess,zero,4,0.9282 ± 0.0000,1.8052 ± 0.0000
6_chess,zero,5,0.9319 ± 0.0000,1.7979 ± 0.0000
6_chess,zero,6,0.9276 ± 0.0000,1.7927 ± 0.0000
6_chess,zero,7,0.9357 ± 0.0000,1.8239 ± 0.0000
6_chess,zero,8,0.9333 ± 0.0000,1.8441 ± 0.0000
6_chess,zero,9,0.9326 ± 0.0000,1.8148 ± 0.0000
6_chess,zero,10,0.9357 ± 0.0000,1.8226 ± 0.0000
6_chess,zero,11,0.9317 ± 0.0000,1.8142 ± 0.0000
6_chess,zero,12,0.9300 ± 0.0000,1.8202 ± 0.0000
6_chess,zero,13,0.9364 ± 0.0000,1.8246 ± 0.0000
6_chess,zero,14,0.9341 ± 0.0000,1.8135 ± 0.0000
6_chess,zero,15,0.9312 ± 0.0000,1.8206 ± 0.0000
6_chess,zero,16,0.9330 ± 0.0000,1.8208 ± 0.0000
6_chess,zero,17,0.9278 ± 0.0000,1.7940 ± 0.0000
6_chess,zero,18,0.9314 ± 0.0000,1.8060 ± 0.0000
6_chess,zero,19,0.9296 ± 0.0000,1.8182 ± 0.0000
6_chess,zero,20,0.9344 ± 0.0000,1.8016 ± 0.0000
6_chess,zero,21,0.9355 ± 0.0000,1.8114 ± 0.0000
6_chess,zero,22,0.9310 ± 0.0000,1.8046 ± 0.0000
6_chess,zero,23,0.9205 ± 0.0000,1.8332 ± 0.0000
6_chess,zero,24,0.9276 ± 0.0000,1.8008 ± 0.0000
6_chess,zero,25,0.9326 ± 0.0000,1.7929 ± 0.0000
6_chess,zero,26,0.9326 ± 0.0000,1.7965 ± 0.0000
6_chess,zero,27,0.9332 ± 0.0000,1.8138 ± 0.0000
6_chess,zero,28,0.9321 ± 0.0000,1.8048 ± 0.0000
6_chess,zero,29,0.9330 ± 0.0000,1.8080 ± 0.0000
6_chess,zero,30,0.9357 ± 0.0000,1.7901 ± 0.0000
6_chess,dynamic,1,0.9025 ± 0.0000,0.7862 ± 0.0000
6_chess,dynamic,2,0.8950 ± 0.0000,0.7914 ± 0.0000
6_chess,dynamic,3,0.8977 ± 0.0000,0.7887 ± 0.0000
6_chess,dynamic,4,0.8959 ± 0.0000,0.7910 ± 0.0000
6_chess,dynamic,5,0.9023 ± 0.0000,0.7873 ± 0.0000
6_chess,dynamic,6,0.8970 ± 0.0000,0.7881 ± 0.0000
6_chess,dynamic,7,0.9020 ± 0.0000,0.7863 ± 0.0000
6_chess,dynamic,8,0.9048 ± 0.0000,0.7839 ± 0.0000
6_chess,dynamic,9,0.9036 ± 0.0000,0.7829 ± 0.0000
6_chess,dynamic,10,0.9057 ± 0.0000,0.7886 ± 0.0000
6_chess,dynamic,11,0.8998 ± 0.0000,0.7886 ± 0.0000
6_chess,dynamic,12,0.8952 ± 0.0000,0.7854 ± 0.0000
6_chess,dynamic,13,0.9020 ± 0.0000,0.7913 ± 0.0000
6_chess,dynamic,14,0.9022 ± 0.0000,0.7937 ± 0.0000
6_chess,dynamic,15,0.9018 ± 0.0000,0.7876 ± 0.0000
6_chess,dynamic,16,0.9068 ± 0.0000,0.7930 ± 0.0000
6_chess,dynamic,17,0.8972 ± 0.0000,0.7926 ± 0.0000
6_chess,dynamic,18,0.9041 ± 0.0000,0.7880 ± 0.0000
6_chess,dynamic,19,0.8998 ± 0.0000,0.7971 ± 0.0000
6_chess,dynamic,20,0.8997 ± 0.0000,0.7830 ± 0.0000
6_chess,dynamic,21,0.9007 ± 0.0000,0.7915 ± 0.0000
6_chess,dynamic,22,0.8998 ± 0.0000,0.7869 ± 0.0000
6_chess,dynamic,23,0.8998 ± 0.0000,0.7870 ± 0.0000
6_chess,dynamic,24,0.9006 ± 0.0000,0.7812 ± 0.0000
6_chess,dynamic,25,0.9034 ± 0.0000,0.7766 ± 0.0000
6_chess,dynamic,26,0.9006 ± 0.0000,0.7894 ± 0.0000
6_chess,dynamic,27,0.9016 ± 0.0000,0.7846 ± 0.0000
