Dataset,method,Experiment,Accuracy,RMSE
7_post_patient,datawig,1,0.4444 ± 0.0000,0.4275 ± 0.0000
7_post_patient,datawig,2,0.6111 ± 0.0000,0.3985 ± 0.0290
7_post_patient,datawig,3,0.5000 ± 0.0000,0.3628 ± 0.0558
7_post_patient,datawig,4,0.6111 ± 0.0000,0.3648 ± 0.0485
7_post_patient,datawig,5,0.6667 ± 0.0000,0.3576 ± 0.0457
7_post_patient,datawig,6,0.6667 ± 0.0000,0.3490 ± 0.0459
7_post_patient,datawig,7,0.6111 ± 0.0000,0.3554 ± 0.0453
7_post_patient,datawig,8,0.6667 ± 0.0000,0.3620 ± 0.0458
7_post_patient,datawig,9,0.6667 ± 0.0000,0.3657 ± 0.0445
7_post_patient,datawig,10,0.5556 ± 0.0000,0.3599 ± 0.0457
7_post_patient,datawig,11,0.7222 ± 0.0000,0.3574 ± 0.0442
7_post_patient,datawig,12,0.6667 ± 0.0000,0.3566 ± 0.0424
7_post_patient,datawig,13,0.7222 ± 0.0000,0.3599 ± 0.0423
7_post_patient,datawig,14,0.6111 ± 0.0000,0.3598 ± 0.0407
7_post_patient,datawig,15,0.7222 ± 0.0000,0.3590 ± 0.0395
7_post_patient,datawig,16,0.4444 ± 0.0000,0.3547 ± 0.0417
7_post_patient,datawig,17,0.7222 ± 0.0000,0.3593 ± 0.0445
7_post_patient,datawig,18,0.5556 ± 0.0000,0.3610 ± 0.0438
7_post_patient,datawig,19,0.5556 ± 0.0000,0.3611 ± 0.0426
7_post_patient,datawig,20,0.6111 ± 0.0000,0.3597 ± 0.0419
7_post_patient,datawig,21,0.4444 ± 0.0000,0.3628 ± 0.0432
7_post_patient,datawig,22,0.8889 ± 0.0000,0.3616 ± 0.0426
7_post_patient,datawig,23,0.7778 ± 0.0000,0.3593 ± 0.0431
7_post_patient,datawig,24,0.7222 ± 0.0000,0.3590 ± 0.0422
7_post_patient,datawig,25,0.6667 ± 0.0000,0.3611 ± 0.0426
7_post_patient,datawig,26,0.7222 ± 0.0000,0.3596 ± 0.0424
7_post_patient,datawig,27,0.3889 ± 0.0000,0.3630 ± 0.0450
7_post_patient,datawig,28,0.5556 ± 0.0000,0.3625 ± 0.0443
7_post_patient,datawig,29,0.6111 ± 0.0000,0.3630 ± 0.0436
7_post_patient,datawig,30,0.6111 ± 0.0000,0.3636 ± 0.0430
7_post_patient,knn,1,0.6111 ± 0.0000,0.3162 ± 0.0000
7_post_patient,knn,2,0.6667 ± 0.0000,0.3058 ± 0.0104
7_post_patient,knn,3,0.6111 ± 0.0000,0.2872 ± 0.0276
7_post_patient,knn,4,0.5556 ± 0.0000,0.2984 ± 0.0308
7_post_patient,knn,5,0.7222 ± 0.0000,0.2883 ± 0.0342
7_post_patient,knn,6,0.6667 ± 0.0000,0.2847 ± 0.0323
7_post_patient,knn,7,0.4444 ± 0.0000,0.2849 ± 0.0299
7_post_patient,knn,8,0.7222 ± 0.0000,0.2897 ± 0.0307
7_post_patient,knn,9,0.8889 ± 0.0000,0.2930 ± 0.0304
7_post_patient,knn,10,0.7222 ± 0.0000,0.2875 ± 0.0333
7_post_patient,knn,11,0.7222 ± 0.0000,0.2795 ± 0.0405
7_post_patient,knn,12,0.7222 ± 0.0000,0.2804 ± 0.0389
7_post_patient,knn,13,0.7222 ± 0.0000,0.2836 ± 0.0390
7_post_patient,knn,14,0.6667 ± 0.0000,0.2847 ± 0.0378
7_post_patient,knn,15,0.5556 ± 0.0000,0.2794 ± 0.0415
7_post_patient,knn,16,0.6111 ± 0.0000,0.2752 ± 0.0434
7_post_patient,knn,17,0.7222 ± 0.0000,0.2806 ± 0.0473
7_post_patient,knn,18,0.5000 ± 0.0000,0.2844 ± 0.0486
7_post_patient,knn,19,0.6111 ± 0.0000,0.2849 ± 0.0473
7_post_patient,knn,20,0.5556 ± 0.0000,0.2822 ± 0.0476
7_post_patient,knn,21,0.4444 ± 0.0000,0.2855 ± 0.0488
7_post_patient,knn,22,0.9444 ± 0.0000,0.2834 ± 0.0487
7_post_patient,knn,23,0.7778 ± 0.0000,0.2826 ± 0.0478
7_post_patient,knn,24,0.7778 ± 0.0000,0.2830 ± 0.0468
7_post_patient,knn,25,0.6667 ± 0.0000,0.2859 ± 0.0480
7_post_patient,knn,26,0.6667 ± 0.0000,0.2853 ± 0.0472
7_post_patient,knn,27,0.3889 ± 0.0000,0.2902 ± 0.0524
7_post_patient,knn,28,0.5556 ± 0.0000,0.2915 ± 0.0519
7_post_patient,knn,29,0.5000 ± 0.0000,0.2930 ± 0.0516
7_post_patient,knn,30,0.6667 ± 0.0000,0.2939 ± 0.0510
7_post_patient,zero,1,0.5556 ± 0.0000,0.5951 ± 0.0000
7_post_patient,zero,2,0.5556 ± 0.0000,0.5832 ± 0.0119
7_post_patient,zero,3,0.6111 ± 0.0000,0.6040 ± 0.0309
7_post_patient,zero,4,0.4444 ± 0.0000,0.6170 ± 0.0350
7_post_patient,zero,5,0.5000 ± 0.0000,0.6029 ± 0.0422
7_post_patient,zero,6,0.6667 ± 0.0000,0.6195 ± 0.0534
7_post_patient,zero,7,0.4444 ± 0.0000,0.6262 ± 0.0521
7_post_patient,zero,8,0.6111 ± 0.0000,0.6338 ± 0.0528
7_post_patient,zero,9,0.7222 ± 0.0000,0.6227 ± 0.0589
7_post_patient,zero,10,0.7778 ± 0.0000,0.6187 ± 0.0571
7_post_patient,zero,11,0.7222 ± 0.0000,0.6128 ± 0.0576
7_post_patient,zero,12,0.3889 ± 0.0000,0.6137 ± 0.0553
7_post_patient,zero,13,0.7222 ± 0.0000,0.6169 ± 0.0543
7_post_patient,zero,14,0.5556 ± 0.0000,0.6166 ± 0.0523
7_post_patient,zero,15,0.3889 ± 0.0000,0.6246 ± 0.0587
7_post_patient,zero,16,0.5000 ± 0.0000,0.6208 ± 0.0586
7_post_patient,zero,17,0.6111 ± 0.0000,0.6153 ± 0.0610
7_post_patient,zero,18,0.3333 ± 0.0000,0.6182 ± 0.0604
7_post_patient,zero,19,0.5556 ± 0.0000,0.6231 ± 0.0624
7_post_patient,zero,20,0.6111 ± 0.0000,0.6263 ± 0.0624
7_post_patient,zero,21,0.3889 ± 0.0000,0.6254 ± 0.0611
7_post_patient,zero,22,0.8333 ± 0.0000,0.6293 ± 0.0623
7_post_patient,zero,23,0.6667 ± 0.0000,0.6254 ± 0.0636
7_post_patient,zero,24,0.7778 ± 0.0000,0.6269 ± 0.0627
7_post_patient,zero,25,0.6667 ± 0.0000,0.6277 ± 0.0615
7_post_patient,zero,26,0.7778 ± 0.0000,0.6327 ± 0.0654
7_post_patient,zero,27,0.5556 ± 0.0000,0.6349 ± 0.0652
7_post_patient,zero,28,0.6111 ± 0.0000,0.6353 ± 0.0640
7_post_patient,zero,29,0.6667 ± 0.0000,0.6375 ± 0.0639
7_post_patient,zero,30,0.7778 ± 0.0000,0.6375 ± 0.0629
7_post_patient,dynamic,1,0.4444 ± 0.0000,0.8874 ± 0.0000
7_post_patient,dynamic,2,0.2778 ± 0.0000,0.8802 ± 0.0072
7_post_patient,dynamic,3,0.3333 ± 0.0000,0.8726 ± 0.0122
7_post_patient,dynamic,4,0.5000 ± 0.0000,0.8832 ± 0.0211
7_post_patient,dynamic,5,0.3889 ± 0.0000,0.8883 ± 0.0215
7_post_patient,dynamic,6,0.3333 ± 0.0000,0.9024 ± 0.0371
7_post_patient,dynamic,7,0.2778 ± 0.0000,0.8864 ± 0.0520
7_post_patient,dynamic,8,0.3889 ± 0.0000,0.8835 ± 0.0493
7_post_patient,dynamic,9,0.2222 ± 0.0000,0.9019 ± 0.0698
7_post_patient,dynamic,10,0.1667 ± 0.0000,0.8922 ± 0.0723
7_post_patient,dynamic,11,0.2778 ± 0.0000,0.8908 ± 0.0690
7_post_patient,dynamic,12,0.2778 ± 0.0000,0.9023 ± 0.0763
7_post_patient,dynamic,13,0.3333 ± 0.0000,0.8966 ± 0.0759
7_post_patient,dynamic,14,0.3889 ± 0.0000,0.8901 ± 0.0769
7_post_patient,dynamic,15,0.3889 ± 0.0000,0.8954 ± 0.0769
7_post_patient,dynamic,16,0.5000 ± 0.0000,0.9055 ± 0.0841
7_post_patient,dynamic,17,0.3333 ± 0.0000,0.9118 ± 0.0854
7_post_patient,dynamic,18,0.5000 ± 0.0000,0.9178 ± 0.0866
7_post_patient,dynamic,19,0.4444 ± 0.0000,0.9160 ± 0.0847
7_post_patient,dynamic,20,0.4444 ± 0.0000,0.9148 ± 0.0827
7_post_patient,dynamic,21,0.5556 ± 0.0000,0.9132 ± 0.0810
7_post_patient,dynamic,22,0.1111 ± 0.0000,0.9064 ± 0.0851
7_post_patient,dynamic,23,0.2778 ± 0.0000,0.9032 ± 0.0845
7_post_patient,dynamic,24,0.2222 ± 0.0000,0.9045 ± 0.0830
7_post_patient,dynamic,25,0.3333 ± 0.0000,0.9030 ± 0.0816
7_post_patient,dynamic,26,0.2778 ± 0.0000,0.9095 ± 0.0863
7_post_patient,dynamic,27,0.5000 ± 0.0000,0.9117 ± 0.0855
7_post_patient,dynamic,28,0.3889 ± 0.0000,0.9087 ± 0.0854
7_post_patient,dynamic,29,0.3333 ± 0.0000,0.9114 ± 0.0852
7_post_patient,dynamic,30,0.3333 ± 0.0000,0.9097 ± 0.0843
