Dataset,method,Experiment,Accuracy,RMSE
8_liver,dynamic,1,0.8696 ± 0.0000,53.0477 ± 0.0000
8_liver,dynamic,2,0.9420 ± 0.0000,54.2038 ± 1.1561
8_liver,dynamic,3,0.9275 ± 0.0000,54.1548 ± 0.9465
8_liver,dynamic,4,0.9710 ± 0.0000,54.2722 ± 0.8445
8_liver,dynamic,5,0.9130 ± 0.0000,54.7420 ± 1.2056
8_liver,dynamic,6,0.9565 ± 0.0000,54.7953 ± 1.1070
8_liver,dynamic,7,0.9130 ± 0.0000,55.2282 ± 1.4748
8_liver,dynamic,8,0.9420 ± 0.0000,55.0393 ± 1.4673
8_liver,dynamic,9,0.9420 ± 0.0000,55.3829 ± 1.6907
8_liver,dynamic,10,0.9855 ± 0.0000,55.3044 ± 1.6211
8_liver,dynamic,11,0.9420 ± 0.0000,55.1337 ± 1.6372
8_liver,dynamic,12,0.9565 ± 0.0000,55.0339 ± 1.6021
8_liver,dynamic,13,0.9710 ± 0.0000,55.1045 ± 1.5585
8_liver,dynamic,14,0.9565 ± 0.0000,55.1263 ± 1.5039
8_liver,dynamic,15,0.9565 ± 0.0000,55.1015 ± 1.4558
8_liver,dynamic,16,0.9420 ± 0.0000,55.2192 ± 1.4815
8_liver,dynamic,17,0.9710 ± 0.0000,55.1911 ± 1.4416
8_liver,dynamic,18,0.9420 ± 0.0000,55.1517 ± 1.4104
8_liver,dynamic,19,0.9565 ± 0.0000,55.1586 ± 1.3731
8_liver,dynamic,20,0.9420 ± 0.0000,55.1360 ± 1.3420
8_liver,dynamic,21,0.9565 ± 0.0000,55.1939 ± 1.3350
8_liver,dynamic,22,0.9420 ± 0.0000,55.1879 ± 1.3046
8_liver,dynamic,23,0.9565 ± 0.0000,55.3211 ± 1.4206
8_liver,dynamic,24,0.9420 ± 0.0000,55.3559 ± 1.4007
8_liver,dynamic,25,0.9565 ± 0.0000,55.2982 ± 1.4012
8_liver,dynamic,26,0.9275 ± 0.0000,55.3805 ± 1.4342
8_liver,dynamic,27,0.9710 ± 0.0000,55.2918 ± 1.4782
8_liver,dynamic,28,0.9130 ± 0.0000,55.2484 ± 1.4690
8_liver,dynamic,29,0.9565 ± 0.0000,55.1477 ± 1.5387
8_liver,dynamic,30,0.9420 ± 0.0000,55.0333 ± 1.6334
8_liver,knn,1,0.8696 ± 0.0000,7.5567 ± 0.0000
8_liver,knn,2,0.9420 ± 0.0000,7.7818 ± 0.2252
8_liver,knn,3,0.9130 ± 0.0000,7.3664 ± 0.6156
8_liver,knn,4,0.9565 ± 0.0000,7.5793 ± 0.6481
8_liver,knn,5,0.9130 ± 0.0000,8.2897 ± 1.5346
8_liver,knn,6,0.9565 ± 0.0000,7.9043 ± 1.6447
8_liver,knn,7,0.9130 ± 0.0000,8.2484 ± 1.7404
8_liver,knn,8,0.9275 ± 0.0000,8.4356 ± 1.7016
8_liver,knn,9,0.9420 ± 0.0000,9.1250 ± 2.5250
8_liver,knn,10,0.9855 ± 0.0000,9.2872 ± 2.4444
8_liver,knn,11,0.9420 ± 0.0000,9.1460 ± 2.3730
8_liver,knn,12,0.9565 ± 0.0000,8.8867 ± 2.4292
8_liver,knn,13,0.9420 ± 0.0000,9.0118 ± 2.3738
8_liver,knn,14,0.9420 ± 0.0000,9.3884 ± 2.6601
8_liver,knn,15,0.9565 ± 0.0000,9.4515 ± 2.5808
8_liver,knn,16,0.9420 ± 0.0000,9.5241 ± 2.5146
8_liver,knn,17,0.9710 ± 0.0000,9.2713 ± 2.6408
8_liver,knn,18,0.9420 ± 0.0000,9.3973 ± 2.6184
8_liver,knn,19,0.9420 ± 0.0000,9.4093 ± 2.5491
8_liver,knn,20,0.9420 ± 0.0000,9.2973 ± 2.5321
8_liver,knn,21,0.9565 ± 0.0000,9.2868 ± 2.4715
8_liver,knn,22,0.8841 ± 0.0000,9.4021 ± 2.4718
8_liver,knn,23,0.9565 ± 0.0000,9.4124 ± 2.4179
8_liver,knn,24,0.9420 ± 0.0000,9.5987 ± 2.5300
8_liver,knn,25,0.9275 ± 0.0000,9.4505 ± 2.5831
8_liver,knn,26,0.8986 ± 0.0000,9.3560 ± 2.5766
8_liver,knn,27,0.9710 ± 0.0000,9.2493 ± 2.5863
8_liver,knn,28,0.9130 ± 0.0000,9.3123 ± 2.5607
8_liver,knn,29,0.9565 ± 0.0000,9.2387 ± 2.5461
8_liver,knn,30,0.9420 ± 0.0000,9.0945 ± 2.6210
