Dataset,method,Experiment,Accuracy,RMSE
9_abalone,knn,1,0.6411 ± 0.0000,0.3730 ± 0.0000
9_abalone,knn,2,0.6388 ± 0.0000,0.3885 ± 0.0155
9_abalone,knn,3,0.6483 ± 0.0000,0.3934 ± 0.0145
9_abalone,knn,4,0.6447 ± 0.0000,0.3912 ± 0.0131
9_abalone,knn,5,0.6400 ± 0.0000,0.3982 ± 0.0183
9_abalone,knn,6,0.6077 ± 0.0000,0.3948 ± 0.0183
9_abalone,knn,7,0.6196 ± 0.0000,0.3936 ± 0.0172
9_abalone,knn,8,0.6435 ± 0.0000,0.4015 ± 0.0262
9_abalone,knn,9,0.6220 ± 0.0000,0.4065 ± 0.0284
9_abalone,knn,10,0.6699 ± 0.0000,0.4009 ± 0.0316
9_abalone,knn,11,0.6328 ± 0.0000,0.4011 ± 0.0302
9_abalone,knn,12,0.6411 ± 0.0000,0.4030 ± 0.0296
9_abalone,knn,13,0.6591 ± 0.0000,0.4012 ± 0.0291
9_abalone,knn,14,0.6435 ± 0.0000,0.3974 ± 0.0312
9_abalone,knn,15,0.6603 ± 0.0000,0.3978 ± 0.0302
9_abalone,knn,16,0.6292 ± 0.0000,0.4015 ± 0.0325
9_abalone,knn,17,0.6483 ± 0.0000,0.4007 ± 0.0317
9_abalone,knn,18,0.6256 ± 0.0000,0.4008 ± 0.0308
9_abalone,knn,19,0.6244 ± 0.0000,0.4025 ± 0.0309
9_abalone,knn,20,0.6531 ± 0.0000,0.4008 ± 0.0310
9_abalone,knn,21,0.6029 ± 0.0000,0.4010 ± 0.0303
9_abalone,knn,22,0.6376 ± 0.0000,0.4002 ± 0.0298
9_abalone,knn,23,0.6089 ± 0.0000,0.4000 ± 0.0292
9_abalone,knn,24,0.6244 ± 0.0000,0.3987 ± 0.0292
9_abalone,knn,25,0.6447 ± 0.0000,0.4001 ± 0.0295
9_abalone,knn,26,0.5993 ± 0.0000,0.4015 ± 0.0298
9_abalone,knn,27,0.6292 ± 0.0000,0.4000 ± 0.0302
9_abalone,knn,28,0.6495 ± 0.0000,0.3987 ± 0.0304
9_abalone,knn,29,0.6364 ± 0.0000,0.4000 ± 0.0306
9_abalone,knn,30,0.6376 ± 0.0000,0.4011 ± 0.0306
9_abalone,dynamic,1,0.6459 ± 0.0000,0.7443 ± 0.0000
9_abalone,dynamic,2,0.6483 ± 0.0000,0.7245 ± 0.0198
9_abalone,dynamic,3,0.6459 ± 0.0000,0.7146 ± 0.0213
9_abalone,dynamic,4,0.6471 ± 0.0000,0.7243 ± 0.0249
9_abalone,dynamic,5,0.6364 ± 0.0000,0.7284 ± 0.0238
9_abalone,dynamic,6,0.6316 ± 0.0000,0.7541 ± 0.0614
9_abalone,dynamic,7,0.6208 ± 0.0000,0.7622 ± 0.0602
9_abalone,dynamic,8,0.6495 ± 0.0000,0.7764 ± 0.0677
9_abalone,dynamic,9,0.6124 ± 0.0000,0.7773 ± 0.0639
9_abalone,dynamic,10,0.6196 ± 0.0000,0.7754 ± 0.0609
9_abalone,dynamic,11,0.6220 ± 0.0000,0.7751 ± 0.0581
9_abalone,dynamic,12,0.6376 ± 0.0000,0.7746 ± 0.0556
9_abalone,dynamic,13,0.6256 ± 0.0000,0.7728 ± 0.0538
9_abalone,dynamic,14,0.6411 ± 0.0000,0.7750 ± 0.0525
9_abalone,dynamic,15,0.6675 ± 0.0000,0.7746 ± 0.0507
9_abalone,dynamic,16,0.6220 ± 0.0000,0.7758 ± 0.0493
9_abalone,dynamic,17,0.6280 ± 0.0000,0.7749 ± 0.0480
9_abalone,dynamic,18,0.6112 ± 0.0000,0.7723 ± 0.0479
9_abalone,dynamic,19,0.6268 ± 0.0000,0.7736 ± 0.0469
9_abalone,dynamic,20,0.6531 ± 0.0000,0.7715 ± 0.0466
9_abalone,dynamic,21,0.6531 ± 0.0000,0.7759 ± 0.0495
9_abalone,dynamic,22,0.6328 ± 0.0000,0.7744 ± 0.0488
9_abalone,dynamic,23,0.6172 ± 0.0000,0.7714 ± 0.0498
9_abalone,dynamic,24,0.6148 ± 0.0000,0.7700 ± 0.0492
9_abalone,dynamic,25,0.6447 ± 0.0000,0.7704 ± 0.0483
9_abalone,dynamic,26,0.6041 ± 0.0000,0.7691 ± 0.0478
9_abalone,dynamic,27,0.6376 ± 0.0000,0.7681 ± 0.0472
9_abalone,dynamic,28,0.6567 ± 0.0000,0.7696 ± 0.0470
9_abalone,dynamic,29,0.6172 ± 0.0000,0.7687 ± 0.0464
9_abalone,dynamic,30,0.6352 ± 0.0000,0.7703 ± 0.0464
