Dataset,method,Experiment,RMSE
10_lymphography,chain01_datawig,1,0.4557 ± 0.0000
10_lymphography,chain01_datawig,2,0.4389 ± 0.0168
10_lymphography,chain01_datawig,3,0.4406 ± 0.0139
10_lymphography,chain01_datawig,4,0.4677 ± 0.0484
10_lymphography,chain01_datawig,5,0.4661 ± 0.0434
10_lymphography,chain01_datawig,6,0.4592 ± 0.0425
10_lymphography,chain01_datawig,7,0.4547 ± 0.0409
10_lymphography,chain01_datawig,8,0.4497 ± 0.0405
10_lymphography,chain01_datawig,9,0.4444 ± 0.0410
10_lymphography,chain01_datawig,10,0.4598 ± 0.0602
10_lymphography,chain01_datawig,11,0.4685 ± 0.0638
10_lymphography,chain01_datawig,12,0.4691 ± 0.0611
10_lymphography,chain01_datawig,13,0.4689 ± 0.0587
10_lymphography,chain01_datawig,14,0.4751 ± 0.0608
10_lymphography,chain01_datawig,15,0.4773 ± 0.0594
10_lymphography,chain01_datawig,16,0.4835 ± 0.0622
10_lymphography,chain01_datawig,17,0.4792 ± 0.0627
10_lymphography,chain01_datawig,18,0.4875 ± 0.0700
10_lymphography,chain01_datawig,19,0.4834 ± 0.0703
10_lymphography,chain01_datawig,20,0.4791 ± 0.0711
10_lymphography,chain01_datawig,21,0.4761 ± 0.0707
10_lymphography,chain01_datawig,22,0.4749 ± 0.0693
10_lymphography,chain01_datawig,23,0.4734 ± 0.0681
10_lymphography,chain01_datawig,24,0.4806 ± 0.0750
10_lymphography,chain01_datawig,25,0.4772 ± 0.0754
10_lymphography,chain01_datawig,26,0.4767 ± 0.0740
10_lymphography,chain01_datawig,27,0.4764 ± 0.0726
10_lymphography,chain01_datawig,28,0.4771 ± 0.0714
10_lymphography,chain01_datawig,29,0.4813 ± 0.0735
10_lymphography,chain01_datawig,30,0.4822 ± 0.0724
