Dataset,method,Experiment,RMSE
11_iris,chain01_datawig,1,0.3353 ± 0.0000
11_iris,chain01_datawig,2,0.2886 ± 0.0467
11_iris,chain01_datawig,3,0.2933 ± 0.0387
11_iris,chain01_datawig,4,0.3131 ± 0.0479
11_iris,chain01_datawig,5,0.3373 ± 0.0646
11_iris,chain01_datawig,6,0.3260 ± 0.0642
11_iris,chain01_datawig,7,0.3192 ± 0.0617
11_iris,chain01_datawig,8,0.3148 ± 0.0589
11_iris,chain01_datawig,9,0.3105 ± 0.0569
11_iris,chain01_datawig,10,0.3093 ± 0.0541
11_iris,chain01_datawig,11,0.3094 ± 0.0516
11_iris,chain01_datawig,12,0.3040 ± 0.0525
11_iris,chain01_datawig,13,0.3075 ± 0.0518
11_iris,chain01_datawig,14,0.3029 ± 0.0526
11_iris,chain01_datawig,15,0.3089 ± 0.0556
11_iris,chain01_datawig,16,0.3060 ± 0.0551
11_iris,chain01_datawig,17,0.3023 ± 0.0554
11_iris,chain01_datawig,18,0.2980 ± 0.0567
11_iris,chain01_datawig,19,0.2992 ± 0.0555
11_iris,chain01_datawig,20,0.2962 ± 0.0555
11_iris,chain01_datawig,21,0.2951 ± 0.0544
11_iris,chain01_datawig,22,0.2946 ± 0.0532
11_iris,chain01_datawig,23,0.2959 ± 0.0524
11_iris,chain01_datawig,24,0.2982 ± 0.0525
11_iris,chain01_datawig,25,0.2994 ± 0.0518
11_iris,chain01_datawig,26,0.2990 ± 0.0508
11_iris,chain01_datawig,27,0.2994 ± 0.0499
11_iris,chain01_datawig,28,0.2986 ± 0.0491
11_iris,chain01_datawig,29,0.2957 ± 0.0506
11_iris,chain01_datawig,30,0.2970 ± 0.0502
